CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GGE_vs_CTL,L_bankssts,-0.076786704,0.114563505,-0.301327047,0.14775364,1014,272,0.502695573,0.502695573
GGE_vs_CTL,L_caudalanteriorcingulate,0.086606601,0.083871632,-0.077778778,0.25099198,1042,296,0.301786923,0.301786923
GGE_vs_CTL,L_caudalmiddlefrontal,-0.201827861,0.072028349,-0.34300083,-0.060654892,1047,297,0.00507772,0.00507772
GGE_vs_CTL,L_cuneus,-0.091238518,0.095311223,-0.278045083,0.095568047,1045,297,0.338431292,0.338431292
GGE_vs_CTL,L_entorhinal,-0.187766635,0.081691777,-0.347879575,-0.027653695,820,242,0.02153468,0.02153468
GGE_vs_CTL,L_frontalpole,-0.017363309,0.086273109,-0.186455496,0.151728878,1045,297,0.840495428,0.840495428
GGE_vs_CTL,L_fusiform,-0.107803248,0.093642303,-0.291338789,0.075732293,1044,296,0.249640175,0.249640175
GGE_vs_CTL,L_inferiorparietal,-0.126655085,0.088424787,-0.299964483,0.046654313,1036,297,0.152044194,0.152044194
GGE_vs_CTL,L_inferiortemporal,-0.038233954,0.083036803,-0.200983098,0.124515189,1046,296,0.645196207,0.645196207
GGE_vs_CTL,L_insula,-0.063283618,0.071753912,-0.203918702,0.077351466,1008,293,0.377801925,0.377801925
GGE_vs_CTL,L_isthmuscingulate,0.00429377,0.107510642,-0.206423216,0.215010756,1046,296,0.968142483,0.968142483
GGE_vs_CTL,L_lateraloccipital,-0.125970604,0.151200005,-0.422317169,0.17037596,1047,296,0.404766402,0.404766402
GGE_vs_CTL,L_lateralorbitofrontal,0.092373127,0.071057873,-0.046897745,0.231644,1042,297,0.193611135,0.193611135
GGE_vs_CTL,L_lingual,-0.003375015,0.09720078,-0.193885044,0.187135013,1046,297,0.972301337,0.972301337
GGE_vs_CTL,L_medialorbitofrontal,-0.001451113,0.071749916,-0.142078364,0.139176139,1029,293,0.983864212,0.983864212
GGE_vs_CTL,L_middletemporal,-0.112536233,0.073889736,-0.257357454,0.032284988,963,279,0.127751375,0.127751375
GGE_vs_CTL,L_paracentral,-0.177722391,0.071178288,-0.317229272,-0.038215511,1047,297,0.012529756,0.012529756
GGE_vs_CTL,L_parahippocampal,0.039837857,0.09053779,-0.137612951,0.217288666,1038,294,0.659927272,0.659927272
GGE_vs_CTL,L_parsopercularis,-0.024327257,0.108652966,-0.237283158,0.188628644,1046,297,0.822836134,0.822836134
GGE_vs_CTL,L_parsorbitalis,0.002015583,0.071220923,-0.137574861,0.141606026,1047,296,0.97742254,0.97742254
GGE_vs_CTL,L_parstriangularis,-0.014426605,0.076925491,-0.165197797,0.136344587,1047,297,0.851237283,0.851237283
GGE_vs_CTL,L_pericalcarine,-0.044968137,0.104415791,-0.249619326,0.159683052,1047,297,0.666712595,0.666712595
GGE_vs_CTL,L_postcentral,0.054602226,0.071212319,-0.084971354,0.194175807,1044,296,0.44322866,0.44322866
GGE_vs_CTL,L_posteriorcingulate,0.031313147,0.088190107,-0.141536286,0.20416258,1047,297,0.722541518,0.722541518
GGE_vs_CTL,L_precentral,-0.341509052,0.071441238,-0.481531306,-0.201486799,1043,297,1.75E-06,1.75E-06
GGE_vs_CTL,L_precuneus,-0.035591483,0.08233868,-0.196972329,0.125789364,1046,297,0.665554531,0.665554531
GGE_vs_CTL,L_rostralanteriorcingulate,-0.037878432,0.107141486,-0.247871886,0.172115021,1042,294,0.723686224,0.723686224
GGE_vs_CTL,L_rostralmiddlefrontal,0.018500075,0.086015547,-0.150087299,0.187087448,1046,295,0.829706299,0.829706299
GGE_vs_CTL,L_superiorfrontal,-0.013954155,0.075079564,-0.161107397,0.133199087,1046,297,0.852555941,0.852555941
GGE_vs_CTL,L_superiorparietal,-0.133644549,0.085515291,-0.301251438,0.033962341,1045,297,0.118096199,0.118096199
GGE_vs_CTL,L_superiortemporal,-0.025441525,0.099829564,-0.221103874,0.170220824,944,266,0.79883926,0.79883926
GGE_vs_CTL,L_supramarginal,-0.144071831,0.07826711,-0.297472549,0.009328886,1003,274,0.065655116,0.065655116
GGE_vs_CTL,L_temporalpole,-0.166118724,0.082973517,-0.32874383,-0.003493618,1041,297,0.045277289,0.045277289
GGE_vs_CTL,L_transversetemporal,-0.100955903,0.071140722,-0.240389156,0.03847735,1044,297,0.155869437,0.155869437
GGE_vs_CTL,R_bankssts,0.096771278,0.117481338,-0.133487913,0.327030469,1029,287,0.410100847,0.410100847
GGE_vs_CTL,R_caudalanteriorcingulate,0.05251459,0.086475395,-0.116974069,0.222003249,1047,297,0.543666549,0.543666549
GGE_vs_CTL,R_caudalmiddlefrontal,-0.173867268,0.094795744,-0.359663512,0.011928976,1048,297,0.066635403,0.066635403
GGE_vs_CTL,R_cuneus,-0.079722927,0.080931545,-0.23834584,0.078899987,1047,297,0.324591571,0.324591571
GGE_vs_CTL,R_entorhinal,-0.15266634,0.133748132,-0.414807861,0.109475182,810,240,0.253684156,0.253684156
GGE_vs_CTL,R_frontalpole,0.039081556,0.071037538,-0.10014946,0.178312573,1049,297,0.582214035,0.582214035
GGE_vs_CTL,R_fusiform,0.025053246,0.09702661,-0.165115415,0.215221906,1049,296,0.796244801,0.796244801
GGE_vs_CTL,R_inferiorparietal,-0.026499863,0.087194261,-0.197397474,0.144397747,1038,293,0.76119073,0.76119073
GGE_vs_CTL,R_inferiortemporal,-0.094334737,0.070986573,-0.233465864,0.044796391,1047,297,0.183877806,0.183877806
GGE_vs_CTL,R_insula,-0.030435417,0.072280422,-0.17210244,0.111231607,1010,290,0.673700941,0.673700941
GGE_vs_CTL,R_isthmuscingulate,0.020868308,0.101270214,-0.177617665,0.219354281,1046,297,0.836739665,0.836739665
GGE_vs_CTL,R_lateraloccipital,-0.047134897,0.132978031,-0.307767048,0.213497254,1048,297,0.722996971,0.722996971
GGE_vs_CTL,R_lateralorbitofrontal,-0.107229033,0.071106247,-0.246594717,0.032136651,1046,297,0.131551604,0.131551604
GGE_vs_CTL,R_lingual,-0.060288085,0.101820821,-0.259853226,0.139277057,1048,296,0.55378378,0.55378378
GGE_vs_CTL,R_medialorbitofrontal,-0.106178064,0.071771369,-0.246847363,0.034491234,1031,292,0.139035298,0.139035298
GGE_vs_CTL,R_middletemporal,-0.065275566,0.071082084,-0.20459389,0.074042758,1042,296,0.358455284,0.358455284
GGE_vs_CTL,R_paracentral,-0.133170484,0.100807058,-0.330748687,0.064407719,1049,297,0.186486942,0.186486942
GGE_vs_CTL,R_parahippocampal,0.001024654,0.071423136,-0.138962119,0.141011428,1045,293,0.988553739,0.988553739
GGE_vs_CTL,R_parsopercularis,-0.083900926,0.070980369,-0.223019893,0.05521804,1047,297,0.237193793,0.237193793
GGE_vs_CTL,R_parsorbitalis,-0.12165396,0.071088067,-0.260984011,0.017676092,1049,297,0.087023281,0.087023281
GGE_vs_CTL,R_parstriangularis,-0.021396516,0.070980526,-0.160515791,0.117722759,1047,297,0.763077427,0.763077427
GGE_vs_CTL,R_pericalcarine,-0.074233817,0.116938666,-0.303429392,0.154961757,1049,296,0.525552437,0.525552437
GGE_vs_CTL,R_postcentral,0.057525128,0.08669756,-0.112398967,0.227449224,1043,297,0.5070008,0.5070008
GGE_vs_CTL,R_posteriorcingulate,0.081661626,0.114418163,-0.142593852,0.305917105,1049,296,0.475405228,0.475405228
GGE_vs_CTL,R_precentral,-0.390290772,0.071716832,-0.530853179,-0.249728364,1044,295,5.27E-08,5.27E-08
GGE_vs_CTL,R_precuneus,-0.091829695,0.078038361,-0.244782072,0.061122682,1049,297,0.239305264,0.239305264
GGE_vs_CTL,R_rostralanteriorcingulate,-0.026046869,0.080718338,-0.184251905,0.132158167,1047,297,0.746931262,0.746931262
GGE_vs_CTL,R_rostralmiddlefrontal,-0.046271018,0.074651305,-0.192584887,0.100042851,1049,297,0.535370601,0.535370601
GGE_vs_CTL,R_superiorfrontal,-0.099579702,0.082466624,-0.261211316,0.062051911,1045,297,0.227233795,0.227233795
GGE_vs_CTL,R_superiorparietal,-0.134477781,0.070966409,-0.273569387,0.004613824,1048,297,0.058099055,0.058099055
GGE_vs_CTL,R_superiortemporal,0.042059029,0.09887856,-0.151739389,0.235857446,955,265,0.670573935,0.670573935
GGE_vs_CTL,R_supramarginal,-0.070761724,0.075864597,-0.219453603,0.077930154,993,270,0.350955727,0.350955727
GGE_vs_CTL,R_temporalpole,-0.276039553,0.092431948,-0.457202843,-0.094876263,1045,296,0.002822753,0.002822753
GGE_vs_CTL,R_transversetemporal,-0.072010396,0.101026836,-0.270019357,0.125998564,1049,297,0.475978913,0.475978913
