SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qvsCN,L_bankssts,-0.35,0.08,-0.5,-0.2,,,7.74E-06,1.23E-05
22qvsCN,L_caudalanteriorcingulate,-1.1,0.08,-1.26,-0.94,,,4.04E-41,3.14E-40
22qvsCN,L_caudalmiddlefrontal,-0.04,0.08,-0.19,0.11,,,6.22E-01,6.50E-01
22qvsCN,L_cuneus,-1.53,0.09,-1.7,-1.36,,,3.18E-70,2.23E-68
22qvsCN,L_entorhinal,-0.39,0.08,-0.54,-0.24,,,3.70E-07,6.47E-07
22qvsCN,L_frontalpole,-0.17,0.08,-0.32,-0.03,,,2.30E-02,2.83E-02
22qvsCN,L_fusiform,-1.01,0.08,-1.17,-0.86,,,1.07E-35,4.98E-35
22qvsCN,L_inferiorparietal,-0.1,0.08,-0.25,0.05,,,1.94E-01,2.12E-01
22qvsCN,L_inferiortemporal,-0.7,0.08,-0.86,-0.55,,,6.81E-19,2.07E-18
22qvsCN,L_insula,0.31,0.08,0.16,0.46,,,7.10E-05,1.01E-04
22qvsCN,L_isthmuscingulate,-0.13,0.08,-0.28,0.02,,,8.50E-02,9.60E-02
22qvsCN,L_lateraloccipital,-0.81,0.08,-0.97,-0.66,,,2.58E-24,9.50E-24
22qvsCN,L_lateralorbitofrontal,-0.21,0.08,-0.35,-0.06,,,7.70E-03,9.79E-03
22qvsCN,L_lingual,-1.36,0.08,-1.53,-1.2,,,2.50E-58,4.38E-57
22qvsCN,L_medialorbitofrontal,-0.16,0.08,-0.3,-0.01,,,4.37E-02,5.28E-02
22qvsCN,L_middletemporal,-0.5,0.08,-0.65,-0.35,,,1.89E-10,4.14E-10
22qvsCN,L_paracentral,-0.29,0.08,-0.44,-0.14,,,1.91E-04,2.67E-04
22qvsCN,L_parahippocampal,0.07,0.08,-0.08,0.22,,,3.47E-01,3.74E-01
22qvsCN,L_parsopercularis,-0.19,0.08,-0.34,-0.04,,,1.28E-02,1.60E-02
22qvsCN,L_parsorbitalis,-0.26,0.08,-0.41,-0.11,,,8.05E-04,1.11E-03
22qvsCN,L_parstriangularis,-0.53,0.08,-0.68,-0.38,,,8.78E-12,2.12E-11
22qvsCN,L_pericalcarine,-1.18,0.08,-1.34,-1.02,,,4.88E-46,4.27E-45
22qvsCN,L_postcentral,-0.68,0.08,-0.84,-0.53,,,5.27E-18,1.47E-17
22qvsCN,L_posteriorcingulate,-0.42,0.08,-0.57,-0.27,,,7.19E-08,1.40E-07
22qvsCN,L_precentral,0.41,0.08,0.26,0.56,,,1.58E-07,2.99E-07
22qvsCN,L_precuneus,-1.32,0.08,-1.48,-1.16,,,2.39E-55,3.34E-54
22qvsCN,L_rostralanteriorcingulate,-0.69,0.08,-0.84,-0.54,,,2.04E-18,5.96E-18
22qvsCN,L_rostralmiddlefrontal,-0.86,0.08,-1.01,-0.7,,,8.94E-27,3.68E-26
22qvsCN,L_superiorfrontal,-0.34,0.08,-0.49,-0.19,,,8.33E-06,1.30E-05
22qvsCN,L_superiorparietal,-1.1,0.08,-1.26,-0.94,,,9.02E-41,6.31E-40
22qvsCN,L_superiortemporal,-0.39,0.08,-0.55,-0.24,,,3.51E-07,6.31E-07
22qvsCN,L_supramarginal,-0.15,0.08,-0.3,0,,,4.85E-02,5.66E-02
22qvsCN,L_temporalpole,-0.61,0.08,-0.76,-0.46,,,9.38E-15,2.53E-14
