CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qvsCN,L_bankssts,-0.03,0.08,-0.18,0.12,,,6.70E-01,7.11E-01
22qvsCN,L_caudalanteriorcingulate,-0.21,0.08,-0.36,-0.06,,,5.68E-03,7.36E-03
22qvsCN,L_caudalmiddlefrontal,0.51,0.08,0.36,0.66,,,6.79E-11,2.07E-10
22qvsCN,L_cuneus,0.52,0.08,0.37,0.67,,,2.55E-11,8.12E-11
22qvsCN,L_entorhinal,0.16,0.08,0.01,0.31,,,4.10E-02,4.95E-02
22qvsCN,L_frontalpole,0.1,0.08,-0.05,0.25,,,1.78E-01,2.01E-01
22qvsCN,L_fusiform,0.19,0.08,0.04,0.34,,,1.17E-02,1.49E-02
22qvsCN,L_inferiorparietal,0.25,0.08,0.1,0.4,,,1.01E-03,1.44E-03
22qvsCN,L_inferiortemporal,0.28,0.08,0.13,0.43,,,3.18E-04,4.74E-04
22qvsCN,L_insula,0.87,0.08,0.71,1.03,,,1.91E-27,1.34E-25
22qvsCN,L_isthmuscingulate,0.3,0.08,0.15,0.45,,,1.23E-04,1.95E-04
22qvsCN,L_lateraloccipital,0.22,0.08,0.07,0.37,,,4.40E-03,6.16E-03
22qvsCN,L_lateralorbitofrontal,0.47,0.08,0.32,0.62,,,1.71E-09,4.27E-09
22qvsCN,L_lingual,0.41,0.08,0.26,0.56,,,1.12E-07,2.18E-07
22qvsCN,L_medialorbitofrontal,0.56,0.08,0.41,0.71,,,7.79E-13,3.03E-12
22qvsCN,L_middletemporal,0.37,0.08,0.22,0.52,,,1.67E-06,3.07E-06
22qvsCN,L_paracentral,0.55,0.08,0.4,0.7,,,2.65E-12,9.47E-12
22qvsCN,L_parahippocampal,-0.59,0.08,-0.74,-0.44,,,6.80E-14,3.40E-13
22qvsCN,L_parsopercularis,0.57,0.08,0.42,0.72,,,2.63E-13,1.15E-12
22qvsCN,L_parsorbitalis,0.44,0.08,0.29,0.59,,,1.71E-08,3.99E-08
22qvsCN,L_parstriangularis,0.5,0.08,0.35,0.66,,,1.00E-10,2.92E-10
22qvsCN,L_pericalcarine,0.72,0.08,0.57,0.87,,,8.68E-20,2.03E-18
22qvsCN,L_postcentral,0.61,0.08,0.46,0.77,,,4.90E-15,3.43E-14
22qvsCN,L_posteriorcingulate,-0.13,0.08,-0.28,0.02,,,9.17E-02,1.05E-01
22qvsCN,L_precentral,0.42,0.08,0.27,0.57,,,6.74E-08,1.39E-07
22qvsCN,L_precuneus,0.37,0.08,0.22,0.52,,,1.35E-06,2.55E-06
22qvsCN,L_rostralanteriorcingulate,0.22,0.08,0.07,0.36,,,5.14E-03,6.79E-03
22qvsCN,L_rostralmiddlefrontal,0.7,0.08,0.54,0.85,,,1.08E-18,1.52E-17
22qvsCN,L_superiorfrontal,0.49,0.08,0.34,0.65,,,2.18E-10,5.87E-10
22qvsCN,L_superiorparietal,0.27,0.08,0.12,0.42,,,4.98E-04,7.27E-04
22qvsCN,L_superiortemporal,-0.5,0.08,-0.65,-0.35,,,1.77E-10,4.95E-10
22qvsCN,L_supramarginal,0.6,0.08,0.45,0.75,,,2.21E-14,1.19E-13
22qvsCN,L_temporalpole,-0.07,0.08,-0.22,0.08,,,3.83E-01,4.19E-01
22qvsCN,L_transversetemporal,-0.22,0.08,-0.37,-0.07,,,5.02E-03,6.76E-03
22qvsCN,R_bankssts,-0.01,0.08,-0.16,0.14,,,9.32E-01,9.42E-01
22qvsCN,R_caudalanteriorcingulate,-0.03,0.08,-0.18,0.12,,,7.28E-01,7.61E-01
22qvsCN,R_caudalmiddlefrontal,0.63,0.08,0.48,0.78,,,9.38E-16,8.21E-15
22qvsCN,R_cuneus,0.58,0.08,0.43,0.73,,,1.32E-13,6.16E-13
22qvsCN,R_entorhinal,-0.01,0.08,-0.15,0.14,,,9.42E-01,9.42E-01
22qvsCN,R_frontalpole,0.14,0.08,-0.01,0.29,,,6.12E-02,7.27E-02
22qvsCN,R_fusiform,0.29,0.08,0.14,0.44,,,1.52E-04,2.31E-04
22qvsCN,R_inferiorparietal,0.22,0.08,0.07,0.37,,,4.69E-03,6.44E-03
22qvsCN,R_inferiortemporal,0.34,0.08,0.19,0.49,,,1.08E-05,1.85E-05
22qvsCN,R_insula,0.63,0.08,0.48,0.78,,,1.13E-15,8.75E-15
22qvsCN,R_isthmuscingulate,-0.09,0.08,-0.24,0.06,,,2.52E-01,2.81E-01
22qvsCN,R_lateraloccipital,0.18,0.08,0.03,0.33,,,1.72E-02,2.15E-02
22qvsCN,R_lateralorbitofrontal,0.42,0.08,0.27,0.57,,,6.54E-08,1.39E-07
22qvsCN,R_lingual,0.55,0.08,0.4,0.7,,,2.70E-12,9.47E-12
22qvsCN,R_medialorbitofrontal,0.61,0.08,0.45,0.76,,,1.06E-14,6.16E-14
22qvsCN,R_middletemporal,0.42,0.08,0.27,0.57,,,4.74E-08,1.04E-07
22qvsCN,R_paracentral,0.56,0.08,0.41,0.71,,,6.65E-13,2.74E-12
22qvsCN,R_parahippocampal,-0.3,0.08,-0.45,-0.15,,,1.30E-04,2.02E-04
22qvsCN,R_parsopercularis,0.34,0.08,0.19,0.49,,,9.77E-06,1.71E-05
22qvsCN,R_parsorbitalis,0.36,0.08,0.21,0.51,,,2.50E-06,4.48E-06
22qvsCN,R_parstriangularis,0.44,0.08,0.29,0.59,,,1.19E-08,2.86E-08
22qvsCN,R_pericalcarine,0.68,0.08,0.52,0.83,,,1.02E-17,1.19E-16
22qvsCN,R_postcentral,0.43,0.08,0.28,0.58,,,3.17E-08,7.15E-08
22qvsCN,R_posteriorcingulate,-0.13,0.08,-0.28,0.02,,,8.36E-02,9.75E-02
22qvsCN,R_precentral,0.42,0.08,0.27,0.57,,,7.18E-08,1.44E-07
22qvsCN,R_precuneus,0.49,0.08,0.34,0.64,,,2.42E-10,6.26E-10
22qvsCN,R_rostralanteriorcingulate,0.16,0.08,0.01,0.31,,,4.09E-02,4.95E-02
22qvsCN,R_rostralmiddlefrontal,0.8,0.08,0.64,0.95,,,1.13E-23,3.97E-22
22qvsCN,R_superiorfrontal,0.53,0.08,0.38,0.68,,,1.25E-11,4.16E-11
22qvsCN,R_superiorparietal,0.3,0.08,0.15,0.45,,,1.05E-04,1.71E-04
22qvsCN,R_superiortemporal,-0.32,0.08,-0.47,-0.17,,,3.88E-05,6.47E-05
22qvsCN,R_supramarginal,0.71,0.08,0.55,0.86,,,3.79E-19,6.62E-18
