SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qvsCN,Laccumb,0.37,0.07,0.23,0.52,325,428,7.21E-07,3.83E-06
22qvsCN,Lamyg,-0.3,0.07,-0.45,-0.16,329,430,4.85E-05,2.01E-04
22qvsCN,Lcaud,0.44,0.07,0.29,0.58,330,429,5.25E-09,4.06E-08
22qvsCN,Lhippo,-0.79,0.08,-0.95,-0.64,314,357,1.55E-22,3.29E-21
22qvsCN,Lpal,-0.11,0.08,-0.25,0.04,314,410,1.65E-01,2.65E-01
22qvsCN,Lput,-0.30,0.07,-0.45,-0.16,329,431,4.61E-05,2.01E-04
22qvsCN,Lthal,-0.45,0.07,-0.6,-0.3,328,429,2.09E-09,1.78E-08
22qvsCN,LLatVent,0.89,0.08,0.74,1.04,330,437,7.50E-31,3.19E-29
22qvsCN,Raccumb,0.73,0.08,0.58,0.88,326,424,3.19E-21,5.42E-20
22qvsCN,Ramyg,-0.34,0.07,-0.49,-0.2,330,430,4.50E-06,2.25E-05
22qvsCN,Rcaud,0.71,0.08,0.56,0.86,324,419,4.00E-20,5.67E-19
22qvsCN,Rhippo,-0.90,0.08,-1.06,-0.75,325,396,4.96E-30,1.41E-28
22qvsCN,Rpal,-0.17,0.07,-0.31,-0.02,329,431,2.52E-02,6.27E-02
22qvsCN,Rput,-0.43,0.07,-0.57,-0.28,329,432,9.88E-09,7.00E-08
22qvsCN,Rthal,0.11,0.07,-0.04,0.26,322,413,1.45E-01,2.37E-01
22qvsCN,RLatVent,0.93,0.08,0.78,1.08,330,437,2.24E-33,1.90E-31
