SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qPsych+vs22Psych-,L_bankssts,-0.039,0.183,-0.4,0.32,,,0.84,
22qPsych+vs22Psych-,L_caudalanteriorcingulate,-0.213,0.183,-0.57,0.15,,,0.276,
22qPsych+vs22Psych-,L_caudalmiddlefrontal,0.046,0.183,-0.31,0.4,,,0.813,
22qPsych+vs22Psych-,L_cuneus,0.039,0.183,-0.32,0.4,,,0.8420000000000001,
22qPsych+vs22Psych-,L_entorhinal,-0.28600000000000003,0.184,-0.65,0.07,,,0.145,
22qPsych+vs22Psych-,L_fusiform,0.09,0.183,-0.27,0.45,,,0.644,
22qPsych+vs22Psych-,L_inferiorparietal,-0.078,0.183,-0.44,0.28,,,0.6890000000000001,
22qPsych+vs22Psych-,L_inferiortemporal,-0.172,0.183,-0.53,0.19,,,0.377,
22qPsych+vs22Psych-,L_isthmuscingulate,0.166,0.183,-0.19,0.52,,,0.39399999999999996,
22qPsych+vs22Psych-,L_lateraloccipital,0.201,0.183,-0.16,0.56,,,0.304,
22qPsych+vs22Psych-,L_lateralorbitofrontal,-0.037000000000000005,0.183,-0.39,0.32,,,0.85,
22qPsych+vs22Psych-,L_lingual,0.159,0.183,-0.2,0.52,,,0.415,
22qPsych+vs22Psych-,L_medialorbitofrontal,-0.16,0.183,-0.52,0.2,,,0.413,
22qPsych+vs22Psych-,L_middletemporal,-0.355,0.184,-0.72,0.01,,,0.071,
22qPsych+vs22Psych-,L_parahippocampal,-0.105,0.183,-0.46,0.25,,,0.591,
22qPsych+vs22Psych-,L_paracentral,0.24,0.183,-0.12,0.6,,,0.22,
22qPsych+vs22Psych-,L_parsopercularis,0.14400000000000002,0.183,-0.21,0.5,,,0.45899999999999996,
22qPsych+vs22Psych-,L_parsorbitalis,-0.039,0.183,-0.4,0.32,,,0.841,
22qPsych+vs22Psych-,L_parstriangularis,0.34700000000000003,0.184,-0.01,0.71,,,0.077,
22qPsych+vs22Psych-,L_pericalcarine,0.168,0.183,-0.19,0.53,,,0.389,
22qPsych+vs22Psych-,L_postcentral,0.126,0.183,-0.23,0.48,,,0.52,
22qPsych+vs22Psych-,L_posteriorcingulate,-0.094,0.183,-0.45,0.26,,,0.63,
22qPsych+vs22Psych-,L_precentral,-0.069,0.183,-0.43,0.29,,,0.723,
