CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qPsych+vs22Psych-,L_bankssts,-0.33,0.169,-0.66,0,,,6.36E-02,1.35E-01
22qPsych+vs22Psych-,L_caudalanteriorcingulate,-0.04,0.168,-0.37,0.29,,,8.11E-01,8.60E-01
22qPsych+vs22Psych-,L_caudalmiddlefrontal,-0.31,0.169,-0.64,0.03,,,8.31E-02,1.66E-01
22qPsych+vs22Psych-,L_cuneus,-0.03,0.168,-0.36,0.3,,,8.73E-01,8.99E-01
22qPsych+vs22Psych-,L_entorhinal,-0.39,0.17,-0.72,-0.06,,,2.79E-02,9.67E-02
22qPsych+vs22Psych-,L_frontalpole,-0.29,0.169,-0.62,0.04,,,1.01E-01,1.81E-01
22qPsych+vs22Psych-,L_fusiform,-0.25,0.169,-0.58,0.08,,,1.50E-01,2.39E-01
22qPsych+vs22Psych-,L_inferiorparietal,-0.34,0.169,-0.67,0,,,5.67E-02,1.24E-01
22qPsych+vs22Psych-,L_inferiortemporal,-0.47,0.171,-0.81,-0.14,,,7.70E-03,3.17E-02
22qPsych+vs22Psych-,L_insula,-0.36,0.17,-0.7,-0.03,,,3.98E-02,1.09E-01
22qPsych+vs22Psych-,L_isthmuscingulate,-0.14,0.168,-0.47,0.19,,,4.27E-01,5.53E-01
22qPsych+vs22Psych-,L_lateraloccipital,-0.26,0.169,-0.59,0.08,,,1.47E-01,2.39E-01
22qPsych+vs22Psych-,L_lateralorbitofrontal,-0.25,0.169,-0.58,0.08,,,1.51E-01,2.39E-01
22qPsych+vs22Psych-,L_lingual,0.11,0.168,-0.22,0.44,,,5.24E-01,6.12E-01
22qPsych+vs22Psych-,L_medialorbitofrontal,-0.21,0.169,-0.54,0.12,,,2.31E-01,3.44E-01
22qPsych+vs22Psych-,L_middletemporal,-0.36,0.17,-0.69,-0.03,,,4.05E-02,1.09E-01
22qPsych+vs22Psych-,L_paracentral,-0.29,0.169,-0.62,0.04,,,1.00E-01,1.81E-01
22qPsych+vs22Psych-,L_parahippocampal,0.08,0.168,-0.25,0.41,,,6.50E-01,7.34E-01
22qPsych+vs22Psych-,L_parsopercularis,-0.56,0.171,-0.89,-0.22,,,1.84E-03,1.62E-02
