CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDadolescent_casevsCN,L_bankssts,0.16,-0.07,,,328,402,0.03,0.6
ADHDadolescent_casevsCN,L_caudalanteriorcingulate,-0.05,-0.07,,,347,432,0.54,0.9
ADHDadolescent_casevsCN,L_caudalmiddlefrontal,-0.1,-0.07,,,345,432,0.17,0.87
ADHDadolescent_casevsCN,L_cuneus,-0.01,-0.07,,,346,432,0.85,0.9
ADHDadolescent_casevsCN,L_entorhinal,-0.03,-0.07,,,331,415,0.7,0.9
ADHDadolescent_casevsCN,L_fusiform,-0.03,-0.07,,,345,428,0.66,0.9
ADHDadolescent_casevsCN,L_inferiorparietal,0.09,-0.07,,,345,429,0.24,0.87
ADHDadolescent_casevsCN,L_inferiortemporal,0.05,-0.07,,,336,408,0.5,0.9
ADHDadolescent_casevsCN,L_isthmuscingulate,0.02,-0.07,,,346,431,0.78,0.9
ADHDadolescent_casevsCN,L_lateraloccipital,0.17,-0.07,,,347,432,0.02,0.6
ADHDadolescent_casevsCN,L_lateralorbitofrontal,-0.12,-0.07,,,347,431,0.11,0.8
ADHDadolescent_casevsCN,L_lingual,-0.03,-0.07,,,344,429,0.7,0.9
ADHDadolescent_casevsCN,L_medialorbitofrontal,0.01,-0.07,,,346,431,0.84,0.9
ADHDadolescent_casevsCN,L_middletemporal,0.07,-0.08,,,323,389,0.35,0.9
ADHDadolescent_casevsCN,L_parahippocampal,-0.05,-0.07,,,345,429,0.48,0.9
ADHDadolescent_casevsCN,L_paracentral,-0.08,-0.07,,,347,431,0.29,0.87
ADHDadolescent_casevsCN,L_parsopercularis,-0.03,-0.07,,,346,429,0.7,0.9
ADHDadolescent_casevsCN,L_parsorbitalis,0.03,-0.07,,,346,432,0.64,0.9
ADHDadolescent_casevsCN,L_parstriangularis,0.04,-0.07,,,347,431,0.64,0.9
ADHDadolescent_casevsCN,L_pericalcarine,-0.05,-0.07,,,347,431,0.49,0.9
ADHDadolescent_casevsCN,L_postcentral,-0.01,-0.07,,,345,427,0.91,0.91
ADHDadolescent_casevsCN,L_posteriorcingulate,-0.03,-0.07,,,347,432,0.71,0.9
ADHDadolescent_casevsCN,L_precentral,-0.13,-0.07,,,344,425,0.08,0.8
ADHDadolescent_casevsCN,L_precuneus,0.02,-0.07,,,347,431,0.83,0.9
ADHDadolescent_casevsCN,L_rostralanteriorcingulate,-0.08,-0.07,,,346,430,0.28,0.87
ADHDadolescent_casevsCN,L_rostralmiddlefrontal,-0.02,-0.07,,,347,432,0.84,0.9
ADHDadolescent_casevsCN,L_superiorfrontal,0.07,-0.07,,,347,431,0.37,0.9
ADHDadolescent_casevsCN,L_superiorparietal,0.08,-0.07,,,347,430,0.3,0.87
ADHDadolescent_casevsCN,L_superiortemporal,0.08,-0.08,,,319,378,0.28,0.87
ADHDadolescent_casevsCN,L_supramarginal,0.02,-0.07,,,343,426,0.74,0.9
ADHDadolescent_casevsCN,L_frontalpole,-0.02,-0.07,,,347,432,0.76,0.9
ADHDadolescent_casevsCN,L_temporalpole,-0.12,-0.07,,,345,428,0.11,0.8
ADHDadolescent_casevsCN,L_transversetemporal,-0.08,-0.07,,,345,429,0.3,0.87
ADHDadolescent_casevsCN,L_insula,0.01,-0.07,,,344,428,0.9,0.91
ADHDadolescent_casevsCN,R_bankssts,0.16,-0.07,,,328,402,0.03,0.6
ADHDadolescent_casevsCN,R_caudalanteriorcingulate,-0.05,-0.07,,,347,432,0.54,0.9
ADHDadolescent_casevsCN,R_caudalmiddlefrontal,-0.1,-0.07,,,345,432,0.17,0.87
ADHDadolescent_casevsCN,R_cuneus,-0.01,-0.07,,,346,432,0.85,0.9
ADHDadolescent_casevsCN,R_entorhinal,-0.03,-0.07,,,331,415,0.7,0.9
ADHDadolescent_casevsCN,R_fusiform,-0.03,-0.07,,,345,428,0.66,0.9
ADHDadolescent_casevsCN,R_inferiorparietal,0.09,-0.07,,,345,429,0.24,0.87
ADHDadolescent_casevsCN,R_inferiortemporal,0.05,-0.07,,,336,408,0.5,0.9
ADHDadolescent_casevsCN,R_isthmuscingulate,0.02,-0.07,,,346,431,0.78,0.9
ADHDadolescent_casevsCN,R_lateraloccipital,0.17,-0.07,,,347,432,0.02,0.6
ADHDadolescent_casevsCN,R_lateralorbitofrontal,-0.12,-0.07,,,347,431,0.11,0.8
ADHDadolescent_casevsCN,R_lingual,-0.03,-0.07,,,344,429,0.7,0.9
ADHDadolescent_casevsCN,R_medialorbitofrontal,0.01,-0.07,,,346,431,0.84,0.9
ADHDadolescent_casevsCN,R_middletemporal,0.07,-0.08,,,323,389,0.35,0.9
ADHDadolescent_casevsCN,R_parahippocampal,-0.05,-0.07,,,345,429,0.48,0.9
ADHDadolescent_casevsCN,R_paracentral,-0.08,-0.07,,,347,431,0.29,0.87
ADHDadolescent_casevsCN,R_parsopercularis,-0.03,-0.07,,,346,429,0.7,0.9
ADHDadolescent_casevsCN,R_parsorbitalis,0.03,-0.07,,,346,432,0.64,0.9
ADHDadolescent_casevsCN,R_parstriangularis,0.04,-0.07,,,347,431,0.64,0.9
ADHDadolescent_casevsCN,R_pericalcarine,-0.05,-0.07,,,347,431,0.49,0.9
ADHDadolescent_casevsCN,R_postcentral,-0.01,-0.07,,,345,427,0.91,0.91
ADHDadolescent_casevsCN,R_posteriorcingulate,-0.03,-0.07,,,347,432,0.71,0.9
ADHDadolescent_casevsCN,R_precentral,-0.13,-0.07,,,344,425,0.08,0.8
ADHDadolescent_casevsCN,R_precuneus,0.02,-0.07,,,347,431,0.83,0.9
ADHDadolescent_casevsCN,R_rostralanteriorcingulate,-0.08,-0.07,,,346,430,0.28,0.87
ADHDadolescent_casevsCN,R_rostralmiddlefrontal,-0.02,-0.07,,,347,432,0.84,0.9
ADHDadolescent_casevsCN,R_superiorfrontal,0.07,-0.07,,,347,431,0.37,0.9
ADHDadolescent_casevsCN,R_superiorparietal,0.08,-0.07,,,347,430,0.3,0.87
ADHDadolescent_casevsCN,R_superiortemporal,0.08,-0.08,,,319,378,0.28,0.87
ADHDadolescent_casevsCN,R_supramarginal,0.02,-0.07,,,343,426,0.74,0.9
ADHDadolescent_casevsCN,R_frontalpole,-0.02,-0.07,,,347,432,0.76,0.9
ADHDadolescent_casevsCN,R_temporalpole,-0.12,-0.07,,,345,428,0.11,0.8
ADHDadolescent_casevsCN,R_transversetemporal,-0.08,-0.07,,,345,429,0.3,0.87
ADHDadolescent_casevsCN,R_insula,0.01,-0.07,,,344,428,0.9,0.91
