SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDallages_casevsCN,L_bankssts,-0.07,-0.03,,,1816,2111,0.04,0.04
ADHDallages_casevsCN,L_caudalanteriorcingulate,-0.09,-0.03,,,1925,2241,0.004,0.006999999999999999
ADHDallages_casevsCN,L_caudalmiddlefrontal,-0.13,-0.03,,,1930,2242,0.001,0.001
ADHDallages_casevsCN,L_cuneus,-0.06,-0.03,,,1931,2237,0.05,0.05
ADHDallages_casevsCN,L_entorhinal,-0.07,-0.03,,,1823,2115,0.04,0.05
ADHDallages_casevsCN,L_fusiform,-0.12,-0.03,,,1881,2190,0.001,0.001
ADHDallages_casevsCN,L_inferiorparietal,-0.11,-0.03,,,1923,2235,0.001,0.002
ADHDallages_casevsCN,L_inferiortemporal,-0.1,-0.03,,,1870,2155,0.002,0.003
ADHDallages_casevsCN,L_isthmuscingulate,-0.09,-0.03,,,1926,2244,0.003,0.005
ADHDallages_casevsCN,L_lateraloccipital,-0.11,-0.03,,,1933,2240,0.001,0.002
ADHDallages_casevsCN,L_lateralorbitofrontal,-0.12,-0.03,,,1933,2245,0.001,0.001
ADHDallages_casevsCN,L_lingual,-0.07,-0.03,,,1885,2198,0.03,0.04
ADHDallages_casevsCN,L_medialorbitofrontal,-0.11,-0.03,,,1924,2231,0.001,0.001
ADHDallages_casevsCN,L_middletemporal,-0.1,-0.03,,,1799,2083,0.002,0.003
ADHDallages_casevsCN,L_parahippocampal,-0.08,-0.03,,,1877,2192,0.02,0.02
ADHDallages_casevsCN,L_paracentral,-0.04,-0.03,,,1932,2237,0.24,0.25
ADHDallages_casevsCN,L_parsopercularis,-0.08,-0.03,,,1929,2234,0.006999999999999999,0.01
ADHDallages_casevsCN,L_parsorbitalis,-0.08,-0.03,,,1931,2245,0.009000000000000001,0.01
ADHDallages_casevsCN,L_parstriangularis,-0.12,-0.03,,,1933,2238,0.001,0.001
ADHDallages_casevsCN,L_pericalcarine,-0.08,-0.03,,,1932,2242,0.006999999999999999,0.01
ADHDallages_casevsCN,L_postcentral,-0.1,-0.03,,,1905,2215,0.002,0.005
ADHDallages_casevsCN,L_posteriorcingulate,-0.13,-0.03,,,1928,2243,0.001,0.001
ADHDallages_casevsCN,L_precentral,-0.08,-0.03,,,1923,2219,0.01,0.02
ADHDallages_casevsCN,L_precuneus,-0.1,-0.03,,,1930,2243,0.001,0.003
ADHDallages_casevsCN,L_rostralanteriorcingulate,-0.11,-0.03,,,1922,2227,0.001,0.002
ADHDallages_casevsCN,L_rostralmiddlefrontal,-0.12,-0.03,,,1929,2244,0.001,0.001
ADHDallages_casevsCN,L_superiorfrontal,-0.15,-0.03,,,1926,2235,0.001,0.001
ADHDallages_casevsCN,L_superiorparietal,-0.13,-0.03,,,1931,2233,0.001,0.001
ADHDallages_casevsCN,L_superiortemporal,-0.11,-0.03,,,1782,2030,0.001,0.002
ADHDallages_casevsCN,L_supramarginal,-0.09,-0.03,,,1914,2215,0.004,0.006999999999999999
ADHDallages_casevsCN,L_frontalpole,-0.05,-0.03,,,1933,2246,0.12,0.12
ADHDallages_casevsCN,L_temporalpole,-0.11,-0.03,,,1882,2192,0.001,0.001
ADHDallages_casevsCN,L_transversetemporal,-0.06,-0.03,,,1885,2195,0.05,0.05
ADHDallages_casevsCN,L_insula,-0.12,-0.03,,,1918,2231,0.001,0.001
ADHDallages_casevsCN,R_bankssts,-0.07,-0.03,,,1816,2111,0.04,0.04
ADHDallages_casevsCN,R_caudalanteriorcingulate,-0.09,-0.03,,,1925,2241,0.004,0.006999999999999999
ADHDallages_casevsCN,R_caudalmiddlefrontal,-0.13,-0.03,,,1930,2242,0.001,0.001
ADHDallages_casevsCN,R_cuneus,-0.06,-0.03,,,1931,2237,0.05,0.05
ADHDallages_casevsCN,R_entorhinal,-0.07,-0.03,,,1823,2115,0.04,0.05
ADHDallages_casevsCN,R_fusiform,-0.12,-0.03,,,1881,2190,0.001,0.001
ADHDallages_casevsCN,R_inferiorparietal,-0.11,-0.03,,,1923,2235,0.001,0.002
ADHDallages_casevsCN,R_inferiortemporal,-0.1,-0.03,,,1870,2155,0.002,0.003
ADHDallages_casevsCN,R_isthmuscingulate,-0.09,-0.03,,,1926,2244,0.003,0.005
ADHDallages_casevsCN,R_lateraloccipital,-0.11,-0.03,,,1933,2240,0.001,0.002
ADHDallages_casevsCN,R_lateralorbitofrontal,-0.12,-0.03,,,1933,2245,0.001,0.001
ADHDallages_casevsCN,R_lingual,-0.07,-0.03,,,1885,2198,0.03,0.04
ADHDallages_casevsCN,R_medialorbitofrontal,-0.11,-0.03,,,1924,2231,0.001,0.001
ADHDallages_casevsCN,R_middletemporal,-0.1,-0.03,,,1799,2083,0.002,0.003
ADHDallages_casevsCN,R_parahippocampal,-0.08,-0.03,,,1877,2192,0.02,0.02
ADHDallages_casevsCN,R_paracentral,-0.04,-0.03,,,1932,2237,0.24,0.25
ADHDallages_casevsCN,R_parsopercularis,-0.08,-0.03,,,1929,2234,0.006999999999999999,0.01
ADHDallages_casevsCN,R_parsorbitalis,-0.08,-0.03,,,1931,2245,0.009000000000000001,0.01
ADHDallages_casevsCN,R_parstriangularis,-0.12,-0.03,,,1933,2238,0.001,0.001
ADHDallages_casevsCN,R_pericalcarine,-0.08,-0.03,,,1932,2242,0.006999999999999999,0.01
ADHDallages_casevsCN,R_postcentral,-0.1,-0.03,,,1905,2215,0.002,0.005
ADHDallages_casevsCN,R_posteriorcingulate,-0.13,-0.03,,,1928,2243,0.001,0.001
ADHDallages_casevsCN,R_precentral,-0.08,-0.03,,,1923,2219,0.01,0.02
ADHDallages_casevsCN,R_precuneus,-0.1,-0.03,,,1930,2243,0.001,0.003
