CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDallages_casevsCN,L_bankssts,0.0,-0.03,,,1816,2111,0.97,0.97
ADHDallages_casevsCN,L_caudalanteriorcingulate,-0.04,-0.03,,,1925,2241,0.16,0.61
ADHDallages_casevsCN,L_caudalmiddlefrontal,-0.05,-0.03,,,1931,2241,0.09,0.45
ADHDallages_casevsCN,L_cuneus,0.02,-0.03,,,1932,2240,0.44,0.86
ADHDallages_casevsCN,L_entorhinal,-0.08,-0.03,,,1824,2116,0.02,0.16
ADHDallages_casevsCN,L_fusiform,-0.1,-0.03,,,1882,2192,0.002,0.02
ADHDallages_casevsCN,L_inferiorparietal,0.01,-0.03,,,1926,2238,0.82,0.95
ADHDallages_casevsCN,L_inferiortemporal,-0.03,-0.03,,,1869,2156,0.3,0.75
ADHDallages_casevsCN,L_isthmuscingulate,0.03,-0.03,,,1926,2242,0.4,0.82
ADHDallages_casevsCN,L_lateraloccipital,0.03,-0.03,,,1934,2242,0.33,0.78
ADHDallages_casevsCN,L_lateralorbitofrontal,-0.03,-0.03,,,1933,2245,0.29,0.75
ADHDallages_casevsCN,L_lingual,-0.02,-0.03,,,1884,2198,0.58,0.92
ADHDallages_casevsCN,L_medialorbitofrontal,0.0,-0.03,,,1925,2232,0.9,0.95
ADHDallages_casevsCN,L_middletemporal,-0.02,-0.03,,,1801,2084,0.6,0.92
ADHDallages_casevsCN,L_parahippocampal,-0.06,-0.03,,,1878,2193,0.04,0.3
ADHDallages_casevsCN,L_paracentral,-0.05,-0.03,,,1932,2238,0.09,0.45
ADHDallages_casevsCN,L_parsopercularis,-0.04,-0.03,,,1929,2234,0.18,0.65
ADHDallages_casevsCN,L_parsorbitalis,-0.02,-0.03,,,1931,2245,0.58,0.92
ADHDallages_casevsCN,L_parstriangularis,0.01,-0.03,,,1933,2237,0.85,0.95
ADHDallages_casevsCN,L_pericalcarine,-0.01,-0.03,,,1931,2240,0.73,0.95
ADHDallages_casevsCN,L_postcentral,-0.02,-0.03,,,1907,2213,0.57,0.92
ADHDallages_casevsCN,L_posteriorcingulate,-0.03,-0.03,,,1931,2242,0.26,0.75
ADHDallages_casevsCN,L_precentral,-0.11,-0.03,,,1921,2218,0.001,0.005
ADHDallages_casevsCN,L_precuneus,-0.03,-0.03,,,1930,2243,0.36,0.79
ADHDallages_casevsCN,L_rostralanteriorcingulate,-0.01,-0.03,,,1920,2227,0.73,0.95
ADHDallages_casevsCN,L_rostralmiddlefrontal,0.0,-0.03,,,1930,2244,0.95,0.97
ADHDallages_casevsCN,L_superiorfrontal,0.0,-0.03,,,1926,2235,0.89,0.95
ADHDallages_casevsCN,L_superiorparietal,0.01,-0.03,,,1931,2233,0.65,0.95
ADHDallages_casevsCN,L_superiortemporal,0.0,-0.03,,,1785,2034,0.89,0.95
ADHDallages_casevsCN,L_supramarginal,-0.02,-0.03,,,1917,2218,0.53,0.92
ADHDallages_casevsCN,L_frontalpole,0.01,-0.03,,,1933,2245,0.79,0.95
ADHDallages_casevsCN,L_temporalpole,-0.12,-0.03,,,1881,2191,0.001,0.003
