SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDpediatric_casevsCN,L_bankssts,-0.1,-0.05,,,974,999,0.02,0.04
ADHDpediatric_casevsCN,L_caudalanteriorcingulate,-0.08,-0.04,,,1040,1079,0.08,0.1
ADHDpediatric_casevsCN,L_caudalmiddlefrontal,-0.15,-0.04,,,1046,1077,0.001,0.003
ADHDpediatric_casevsCN,L_cuneus,-0.06,-0.04,,,1046,1075,0.16,0.18
ADHDpediatric_casevsCN,L_entorhinal,-0.05,-0.04,,,1013,1031,0.31,0.33
ADHDpediatric_casevsCN,L_fusiform,-0.13,-0.04,,,1043,1075,0.004,0.01
ADHDpediatric_casevsCN,L_inferiorparietal,-0.12,-0.04,,,1041,1078,0.009000000000000001,0.02
ADHDpediatric_casevsCN,L_inferiortemporal,-0.12,-0.04,,,1041,1064,0.005,0.01
ADHDpediatric_casevsCN,L_isthmuscingulate,-0.13,-0.04,,,1040,1079,0.002,0.008
ADHDpediatric_casevsCN,L_lateraloccipital,-0.12,-0.04,,,1047,1078,0.005,0.01
ADHDpediatric_casevsCN,L_lateralorbitofrontal,-0.17,-0.04,,,1047,1081,0.001,0.001
ADHDpediatric_casevsCN,L_lingual,-0.09,-0.04,,,1047,1081,0.04,0.06
ADHDpediatric_casevsCN,L_medialorbitofrontal,-0.16,-0.04,,,1039,1070,0.001,0.002
ADHDpediatric_casevsCN,L_middletemporal,-0.13,-0.04,,,1001,1024,0.004,0.01
ADHDpediatric_casevsCN,L_parahippocampal,-0.04,-0.04,,,1040,1075,0.32,0.33
ADHDpediatric_casevsCN,L_paracentral,-0.07,-0.04,,,1047,1075,0.12,0.14
ADHDpediatric_casevsCN,L_parsopercularis,-0.09,-0.04,,,1044,1074,0.04,0.06
ADHDpediatric_casevsCN,L_parsorbitalis,-0.07,-0.04,,,1046,1081,0.1,0.12
ADHDpediatric_casevsCN,L_parstriangularis,-0.1,-0.04,,,1048,1074,0.02,0.04
ADHDpediatric_casevsCN,L_pericalcarine,-0.04,-0.04,,,1046,1079,0.35,0.35
ADHDpediatric_casevsCN,L_postcentral,-0.1,-0.04,,,1032,1060,0.03,0.05
ADHDpediatric_casevsCN,L_posteriorcingulate,-0.16,-0.04,,,1042,1078,0.001,0.002
ADHDpediatric_casevsCN,L_precentral,-0.1,-0.04,,,1041,1064,0.02,0.03
ADHDpediatric_casevsCN,L_precuneus,-0.12,-0.04,,,1044,1080,0.008,0.02
ADHDpediatric_casevsCN,L_rostralanteriorcingulate,-0.16,-0.04,,,1041,1067,0.001,0.002
ADHDpediatric_casevsCN,L_rostralmiddlefrontal,-0.13,-0.04,,,1044,1079,0.004,0.01
ADHDpediatric_casevsCN,L_superiorfrontal,-0.19,-0.04,,,1044,1074,0.001,0.001
ADHDpediatric_casevsCN,L_superiorparietal,-0.12,-0.04,,,1045,1073,0.004,0.01
ADHDpediatric_casevsCN,L_superiortemporal,-0.15,-0.05,,,987,993,0.001,0.003
ADHDpediatric_casevsCN,L_supramarginal,-0.13,-0.04,,,1036,1063,0.002,0.008
ADHDpediatric_casevsCN,L_frontalpole,-0.05,-0.04,,,1047,1081,0.21,0.23
ADHDpediatric_casevsCN,L_temporalpole,-0.1,-0.04,,,1043,1075,0.03,0.04
ADHDpediatric_casevsCN,L_transversetemporal,-0.07,-0.04,,,1046,1078,0.11,0.13
ADHDpediatric_casevsCN,L_insula,-0.12,-0.04,,,1042,1078,0.006,0.01
ADHDpediatric_casevsCN,R_bankssts,-0.1,-0.05,,,974,999,0.02,0.04
ADHDpediatric_casevsCN,R_caudalanteriorcingulate,-0.08,-0.04,,,1040,1079,0.08,0.1
ADHDpediatric_casevsCN,R_caudalmiddlefrontal,-0.15,-0.04,,,1046,1077,0.001,0.003
ADHDpediatric_casevsCN,R_cuneus,-0.06,-0.04,,,1046,1075,0.16,0.18
ADHDpediatric_casevsCN,R_entorhinal,-0.05,-0.04,,,1013,1031,0.31,0.33
ADHDpediatric_casevsCN,R_fusiform,-0.13,-0.04,,,1043,1075,0.004,0.01
ADHDpediatric_casevsCN,R_inferiorparietal,-0.12,-0.04,,,1041,1078,0.009000000000000001,0.02
ADHDpediatric_casevsCN,R_inferiortemporal,-0.12,-0.04,,,1041,1064,0.005,0.01
ADHDpediatric_casevsCN,R_isthmuscingulate,-0.13,-0.04,,,1040,1079,0.002,0.008
ADHDpediatric_casevsCN,R_lateraloccipital,-0.12,-0.04,,,1047,1078,0.005,0.01
ADHDpediatric_casevsCN,R_lateralorbitofrontal,-0.17,-0.04,,,1047,1081,0.001,0.001
ADHDpediatric_casevsCN,R_lingual,-0.09,-0.04,,,1047,1081,0.04,0.06
ADHDpediatric_casevsCN,R_medialorbitofrontal,-0.16,-0.04,,,1039,1070,0.001,0.002
ADHDpediatric_casevsCN,R_middletemporal,-0.13,-0.04,,,1001,1024,0.004,0.01
ADHDpediatric_casevsCN,R_parahippocampal,-0.04,-0.04,,,1040,1075,0.32,0.33
ADHDpediatric_casevsCN,R_paracentral,-0.07,-0.04,,,1047,1075,0.12,0.14
ADHDpediatric_casevsCN,R_parsopercularis,-0.09,-0.04,,,1044,1074,0.04,0.06
ADHDpediatric_casevsCN,R_parsorbitalis,-0.07,-0.04,,,1046,1081,0.1,0.12
ADHDpediatric_casevsCN,R_parstriangularis,-0.1,-0.04,,,1048,1074,0.02,0.04
ADHDpediatric_casevsCN,R_pericalcarine,-0.04,-0.04,,,1046,1079,0.35,0.35
ADHDpediatric_casevsCN,R_postcentral,-0.1,-0.04,,,1032,1060,0.03,0.05
ADHDpediatric_casevsCN,R_posteriorcingulate,-0.16,-0.04,,,1042,1078,0.001,0.002
ADHDpediatric_casevsCN,R_precentral,-0.1,-0.04,,,1041,1064,0.02,0.03
ADHDpediatric_casevsCN,R_precuneus,-0.12,-0.04,,,1044,1080,0.008,0.02
ADHDpediatric_casevsCN,R_rostralanteriorcingulate,-0.16,-0.04,,,1041,1067,0.001,0.002
ADHDpediatric_casevsCN,R_rostralmiddlefrontal,-0.13,-0.04,,,1044,1079,0.004,0.01
ADHDpediatric_casevsCN,R_superiorfrontal,-0.19,-0.04,,,1044,1074,0.001,0.001
ADHDpediatric_casevsCN,R_superiorparietal,-0.12,-0.04,,,1045,1073,0.004,0.01
ADHDpediatric_casevsCN,R_superiortemporal,-0.15,-0.05,,,987,993,0.001,0.003
ADHDpediatric_casevsCN,R_supramarginal,-0.13,-0.04,,,1036,1063,0.002,0.008
ADHDpediatric_casevsCN,R_frontalpole,-0.05,-0.04,,,1047,1081,0.21,0.23
ADHDpediatric_casevsCN,R_temporalpole,-0.1,-0.04,,,1043,1075,0.03,0.04
ADHDpediatric_casevsCN,R_transversetemporal,-0.07,-0.04,,,1046,1078,0.11,0.13
ADHDpediatric_casevsCN,R_insula,-0.12,-0.04,,,1042,1078,0.006,0.01
