SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDpediatric_casevsCN,Laccumb,-0.19,,-0.29,-0.1,827,810,1.00E-04,
ADHDpediatric_casevsCN,Lamyg,-0.18,,-0.28,-0.08,820,767,3.00E-04,
ADHDpediatric_casevsCN,Lcaud,-0.13,,-0.23,-0.04,840,825,6.00E-03,
ADHDpediatric_casevsCN,Lhippo,-0.12,,-0.22,-0.03,802,764,1.20E-02,
ADHDpediatric_casevsCN,Lpal,-0.01,,-0.11,0.08,831,816,7.90E-01,
ADHDpediatric_casevsCN,Lput,-0.18,,-0.28,-0.09,854,836,2.00E-04,
ADHDpediatric_casevsCN,Lthal,0.01,,-0.1,0.06,616,604,8.90E-01,
ADHDpediatric_casevsCN,LLatVent,,,,,,,,
ADHDpediatric_casevsCN,Raccumb,-0.19,,-0.29,-0.1,827,810,1.00E-04,
ADHDpediatric_casevsCN,Ramyg,-0.18,,-0.28,-0.08,820,767,3.00E-04,
ADHDpediatric_casevsCN,Rcaud,-0.13,,-0.23,-0.04,840,825,6.00E-03,
ADHDpediatric_casevsCN,Rhippo,-0.12,,-0.22,-0.03,802,764,1.20E-02,
ADHDpediatric_casevsCN,Rpal,-0.01,,-0.11,0.08,831,816,7.90E-01,
ADHDpediatric_casevsCN,Rput,-0.18,,-0.28,-0.09,854,836,2.00E-04,
ADHDpediatric_casevsCN,Rthal,0.01,,-0.1,0.06,616,604,8.90E-01,
ADHDpediatric_casevsCN,RLatVent,,,,,,,,
