SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_typeI,n_typeII,pobs,fdr_p
BD_typeIvstypeII_adolescent,L_bankssts,-0.136,0.127,,,212,88,3.16E-01,7.45E-01
BD_typeIvstypeII_adolescent,L_caudalanteriorcingulate,0.025,0.126,,,213,89,8.54E-01,9.78E-01
BD_typeIvstypeII_adolescent,L_caudalmiddlefrontal,-0.104,0.126,,,213,90,4.36E-01,8.23E-01
BD_typeIvstypeII_adolescent,L_cuneus,-0.021,0.126,,,213,89,8.73E-01,9.82E-01
BD_typeIvstypeII_adolescent,L_entorhinal,0.017,0.128,,,211,86,9.00E-01,9.83E-01
BD_typeIvstypeII_adolescent,L_fusiform,0.15,0.126,,,213,90,2.64E-01,7.03E-01
BD_typeIvstypeII_adolescent,L_inferiorparietal,0.005,0.126,,,213,89,9.69E-01,9.97E-01
BD_typeIvstypeII_adolescent,L_inferiortemporal,-0.009,0.126,,,213,90,9.44E-01,9.93E-01
BD_typeIvstypeII_adolescent,L_isthmuscingulate,-0.032,0.126,,,212,90,8.13E-01,9.66E-01
BD_typeIvstypeII_adolescent,L_lateraloccipital,-0.003,0.126,,,213,90,9.82E-01,9.97E-01
BD_typeIvstypeII_adolescent,L_lateralorbitofrontal,-0.005,0.126,,,212,89,9.68E-01,9.97E-01
BD_typeIvstypeII_adolescent,L_lingual,0.273,0.127,,,213,89,4.29E-02,3.36E-01
BD_typeIvstypeII_adolescent,L_medialorbitofrontal,-0.082,0.126,,,212,89,5.43E-01,8.57E-01
BD_typeIvstypeII_adolescent,L_middletemporal,-0.104,0.126,,,212,90,4.37E-01,8.23E-01
BD_typeIvstypeII_adolescent,L_parahippocampal,-0.076,0.127,,,213,87,5.77E-01,8.75E-01
BD_typeIvstypeII_adolescent,L_paracentral,-0.046,0.126,,,213,89,7.32E-01,9.36E-01
BD_typeIvstypeII_adolescent,L_parsopercularis,0.176,0.126,,,213,90,1.90E-01,6.43E-01
BD_typeIvstypeII_adolescent,L_parsorbitalis,-0.203,0.126,,,213,90,1.30E-01,5.63E-01
BD_typeIvstypeII_adolescent,L_parstriangularis,0.177,0.126,,,212,90,1.86E-01,6.40E-01
BD_typeIvstypeII_adolescent,L_pericalcarine,0.062,0.126,,,212,90,6.45E-01,9.08E-01
BD_typeIvstypeII_adolescent,L_postcentral,-0.086,0.126,,,212,89,5.21E-01,8.47E-01
BD_typeIvstypeII_adolescent,L_posteriorcingulate,-0.126,0.126,,,212,90,3.47E-01,7.73E-01
BD_typeIvstypeII_adolescent,L_precentral,-0.26,0.127,,,213,89,5.40E-02,3.79E-01
BD_typeIvstypeII_adolescent,L_precuneus,0.126,0.126,,,213,90,3.47E-01,7.73E-01
BD_typeIvstypeII_adolescent,L_rostralanteriorcingulate,-0.119,0.126,,,213,89,3.76E-01,7.84E-01
BD_typeIvstypeII_adolescent,L_rostralmiddlefrontal,0.023,0.126,,,211,90,8.66E-01,9.81E-01
BD_typeIvstypeII_adolescent,L_superiorfrontal,-0.165,0.126,,,212,90,2.19E-01,6.71E-01
BD_typeIvstypeII_adolescent,L_superiorparietal,0.014,0.126,,,213,90,9.16E-01,9.83E-01
BD_typeIvstypeII_adolescent,L_superiortemporal,0.059,0.126,,,211,89,6.59E-01,9.13E-01
BD_typeIvstypeII_adolescent,L_supramarginal,0.249,0.127,,,212,89,6.45E-02,4.12E-01
BD_typeIvstypeII_adolescent,L_frontalpole,0.012,0.126,,,213,90,9.28E-01,9.89E-01
BD_typeIvstypeII_adolescent,L_temporalpole,0.166,0.126,,,213,90,2.16E-01,6.70E-01
BD_typeIvstypeII_adolescent,L_transversetemporal,0.014,0.126,,,213,90,9.17E-01,9.83E-01
BD_typeIvstypeII_adolescent,L_insula,-0.101,0.126,,,212,89,4.55E-01,8.31E-01
BD_typeIvstypeII_adolescent,R_bankssts,0.156,0.127,,,213,88,2.48E-01,6.91E-01
BD_typeIvstypeII_adolescent,R_caudalanteriorcingulate,0.288,0.126,,,212,90,3.25E-02,2.93E-01
BD_typeIvstypeII_adolescent,R_caudalmiddlefrontal,-0.188,0.126,,,213,90,1.60E-01,6.01E-01
BD_typeIvstypeII_adolescent,R_cuneus,0.056,0.126,,,213,90,6.77E-01,9.20E-01
BD_typeIvstypeII_adolescent,R_entorhinal,0.107,0.129,,,212,84,4.37E-01,8.23E-01
BD_typeIvstypeII_adolescent,R_fusiform,0.153,0.126,,,212,90,2.54E-01,6.95E-01
BD_typeIvstypeII_adolescent,R_inferiorparietal,0.022,0.126,,,212,90,8.69E-01,9.81E-01
BD_typeIvstypeII_adolescent,R_inferiortemporal,0.176,0.126,,,213,90,1.88E-01,6.42E-01
BD_typeIvstypeII_adolescent,R_isthmuscingulate,0.116,0.126,,,213,90,3.86E-01,7.87E-01
BD_typeIvstypeII_adolescent,R_lateraloccipital,0.032,0.126,,,213,89,8.12E-01,9.66E-01
BD_typeIvstypeII_adolescent,R_lateralorbitofrontal,-0.057,0.126,,,212,89,6.73E-01,9.20E-01
BD_typeIvstypeII_adolescent,R_lingual,0.262,0.127,,,213,89,5.24E-02,3.78E-01
BD_typeIvstypeII_adolescent,R_medialorbitofrontal,0.08,0.126,,,212,89,5.54E-01,8.63E-01
BD_typeIvstypeII_adolescent,R_middletemporal,-0.04,0.126,,,213,90,7.67E-01,9.47E-01
BD_typeIvstypeII_adolescent,R_parahippocampal,0.069,0.126,,,213,89,6.06E-01,8.88E-01
BD_typeIvstypeII_adolescent,R_paracentral,-0.142,0.126,,,212,89,2.92E-01,7.22E-01
BD_typeIvstypeII_adolescent,R_parsopercularis,0.05,0.126,,,211,90,7.07E-01,9.26E-01
BD_typeIvstypeII_adolescent,R_parsorbitalis,-0.123,0.126,,,213,90,3.60E-01,7.78E-01
BD_typeIvstypeII_adolescent,R_parstriangularis,-0.199,0.126,,,211,90,1.38E-01,5.70E-01
BD_typeIvstypeII_adolescent,R_pericalcarine,0.094,0.126,,,213,90,4.85E-01,8.41E-01
BD_typeIvstypeII_adolescent,R_postcentral,-0.018,0.126,,,212,89,8.92E-01,9.82E-01
