CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_typeI,n_typeII,pobs,fdr_p
BD_typeIvstypeII_adolescent,L_bankssts,0.327,0.127,,,213,88,1.52E-02,1.83E-01
BD_typeIvstypeII_adolescent,L_caudalanteriorcingulate,-0.228,0.127,,,213,89,8.84E-02,4.84E-01
BD_typeIvstypeII_adolescent,L_caudalmiddlefrontal,0.118,0.126,,,214,89,3.76E-01,7.84E-01
BD_typeIvstypeII_adolescent,L_cuneus,0.175,0.126,,,214,89,1.90E-01,6.42E-01
BD_typeIvstypeII_adolescent,L_entorhinal,0.177,0.129,,,213,85,1.93E-01,6.45E-01
BD_typeIvstypeII_adolescent,L_fusiform,0.108,0.126,,,214,90,4.17E-01,8.10E-01
BD_typeIvstypeII_adolescent,L_inferiorparietal,0.121,0.126,,,214,90,3.61E-01,7.78E-01
BD_typeIvstypeII_adolescent,L_inferiortemporal,-0.116,0.126,,,214,90,3.83E-01,7.87E-01
BD_typeIvstypeII_adolescent,L_isthmuscingulate,0.014,0.126,,,213,90,9.16E-01,9.83E-01
BD_typeIvstypeII_adolescent,L_lateraloccipital,0.118,0.126,,,214,90,3.75E-01,7.84E-01
BD_typeIvstypeII_adolescent,L_lateralorbitofrontal,0.149,0.126,,,213,89,2.64E-01,7.03E-01
BD_typeIvstypeII_adolescent,L_lingual,0.14,0.126,,,214,90,2.90E-01,7.22E-01
BD_typeIvstypeII_adolescent,L_medialorbitofrontal,0.227,0.127,,,213,89,8.98E-02,4.87E-01
BD_typeIvstypeII_adolescent,L_middletemporal,0.091,0.126,,,213,90,4.92E-01,8.43E-01
BD_typeIvstypeII_adolescent,L_parahippocampal,0.036,0.127,,,214,87,7.88E-01,9.58E-01
BD_typeIvstypeII_adolescent,L_paracentral,-0.055,0.126,,,214,89,6.81E-01,9.23E-01
BD_typeIvstypeII_adolescent,L_parsopercularis,0.022,0.126,,,214,90,8.66E-01,9.81E-01
BD_typeIvstypeII_adolescent,L_parsorbitalis,0.019,0.126,,,214,90,8.86E-01,9.82E-01
BD_typeIvstypeII_adolescent,L_parstriangularis,0.094,0.126,,,214,90,4.80E-01,8.39E-01
BD_typeIvstypeII_adolescent,L_pericalcarine,0.087,0.126,,,213,89,5.16E-01,8.47E-01
BD_typeIvstypeII_adolescent,L_postcentral,-0.072,0.126,,,213,89,5.90E-01,8.80E-01
BD_typeIvstypeII_adolescent,L_posteriorcingulate,0.069,0.126,,,214,90,6.05E-01,8.88E-01
BD_typeIvstypeII_adolescent,L_precentral,0.098,0.126,,,214,89,4.62E-01,8.33E-01
BD_typeIvstypeII_adolescent,L_precuneus,0.022,0.126,,,214,90,8.69E-01,9.81E-01
BD_typeIvstypeII_adolescent,L_rostralanteriorcingulate,0.175,0.127,,,214,88,1.91E-01,6.43E-01
BD_typeIvstypeII_adolescent,L_rostralmiddlefrontal,-0.033,0.126,,,212,90,8.05E-01,9.62E-01
BD_typeIvstypeII_adolescent,L_superiorfrontal,0.142,0.126,,,213,90,2.85E-01,7.18E-01
BD_typeIvstypeII_adolescent,L_superiorparietal,-0.021,0.126,,,214,90,8.76E-01,9.82E-01
BD_typeIvstypeII_adolescent,L_superiortemporal,0.269,0.126,,,212,90,4.40E-02,3.41E-01
BD_typeIvstypeII_adolescent,L_supramarginal,0.051,0.126,,,214,89,7.01E-01,9.26E-01
BD_typeIvstypeII_adolescent,L_frontalpole,0.29,0.126,,,214,90,2.97E-02,2.75E-01
BD_typeIvstypeII_adolescent,L_temporalpole,0.048,0.126,,,214,90,7.17E-01,9.31E-01
BD_typeIvstypeII_adolescent,L_transversetemporal,0.108,0.126,,,213,90,4.16E-01,8.10E-01
BD_typeIvstypeII_adolescent,L_insula,0.259,0.127,,,213,89,5.34E-02,3.79E-01
BD_typeIvstypeII_adolescent,R_bankssts,0.093,0.127,,,214,88,4.85E-01,8.41E-01
BD_typeIvstypeII_adolescent,R_caudalanteriorcingulate,-0.112,0.126,,,213,89,4.03E-01,8.00E-01
BD_typeIvstypeII_adolescent,R_caudalmiddlefrontal,0.078,0.126,,,214,90,5.59E-01,8.67E-01
BD_typeIvstypeII_adolescent,R_cuneus,0.104,0.126,,,214,90,4.36E-01,8.23E-01
BD_typeIvstypeII_adolescent,R_entorhinal,-0.043,0.129,,,213,84,7.54E-01,9.44E-01
BD_typeIvstypeII_adolescent,R_fusiform,0.135,0.126,,,213,90,3.08E-01,7.39E-01
BD_typeIvstypeII_adolescent,R_inferiorparietal,-0.147,0.126,,,213,90,2.70E-01,7.08E-01
BD_typeIvstypeII_adolescent,R_inferiortemporal,-0.13,0.126,,,214,90,3.28E-01,7.53E-01
BD_typeIvstypeII_adolescent,R_isthmuscingulate,-0.025,0.126,,,214,89,8.50E-01,9.77E-01
BD_typeIvstypeII_adolescent,R_lateraloccipital,0.027,0.126,,,214,90,8.36E-01,9.73E-01
BD_typeIvstypeII_adolescent,R_lateralorbitofrontal,0.105,0.126,,,213,89,4.32E-01,8.22E-01
BD_typeIvstypeII_adolescent,R_lingual,0.058,0.127,,,214,88,6.64E-01,9.16E-01
BD_typeIvstypeII_adolescent,R_medialorbitofrontal,-0.023,0.126,,,213,89,8.63E-01,9.81E-01
BD_typeIvstypeII_adolescent,R_middletemporal,0.062,0.126,,,214,90,6.41E-01,9.06E-01
BD_typeIvstypeII_adolescent,R_parahippocampal,0.09,0.126,,,214,89,4.98E-01,8.43E-01
BD_typeIvstypeII_adolescent,R_paracentral,0.059,0.126,,,213,89,6.59E-01,9.13E-01
BD_typeIvstypeII_adolescent,R_parsopercularis,-0.077,0.126,,,214,90,5.62E-01,8.69E-01
BD_typeIvstypeII_adolescent,R_parsorbitalis,0.129,0.126,,,214,90,3.30E-01,7.55E-01
BD_typeIvstypeII_adolescent,R_parstriangularis,0.133,0.126,,,214,90,3.17E-01,7.46E-01
BD_typeIvstypeII_adolescent,R_pericalcarine,-0.143,0.126,,,214,89,2.85E-01,7.18E-01
BD_typeIvstypeII_adolescent,R_postcentral,-0.076,0.126,,,214,90,5.66E-01,8.71E-01
BD_typeIvstypeII_adolescent,R_posteriorcingulate,0.036,0.126,,,214,89,7.89E-01,9.58E-01
BD_typeIvstypeII_adolescent,R_precentral,0.087,0.126,,,214,89,5.15E-01,8.47E-01
BD_typeIvstypeII_adolescent,R_precuneus,-0.056,0.126,,,214,90,6.75E-01,9.20E-01
BD_typeIvstypeII_adolescent,R_rostralanteriorcingulate,-0.052,0.126,,,214,90,6.94E-01,9.26E-01
BD_typeIvstypeII_adolescent,R_rostralmiddlefrontal,0.092,0.126,,,213,90,4.87E-01,8.42E-01
BD_typeIvstypeII_adolescent,R_superiorfrontal,0.089,0.126,,,213,90,5.03E-01,8.43E-01
BD_typeIvstypeII_adolescent,R_superiorparietal,-0.059,0.126,,,214,90,6.57E-01,9.13E-01
BD_typeIvstypeII_adolescent,R_superiortemporal,0.104,0.126,,,214,90,4.35E-01,8.23E-01
BD_typeIvstypeII_adolescent,R_supramarginal,0.002,0.126,,,214,90,9.90E-01,9.97E-01
BD_typeIvstypeII_adolescent,R_frontalpole,0.059,0.126,,,214,90,6.54E-01,9.13E-01
BD_typeIvstypeII_adolescent,R_temporalpole,0.076,0.126,,,214,90,5.65E-01,8.71E-01
BD_typeIvstypeII_adolescent,R_transversetemporal,0.076,0.126,,,214,90,5.68E-01,8.73E-01
BD_typeIvstypeII_adolescent,R_insula,0.051,0.126,,,213,90,7.01E-01,9.26E-01
