CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GGE_vs_CTL,L_bankssts,-0.076786704,0.114563505,-0.301327047,0.14775364,1014,272,0.502695573,0.502695573
GGE_vs_CTL,L_caudalanteriorcingulate,0.08660660099999999,0.083871632,-0.07777877799999999,0.25099198,1042,296,0.301786923,0.301786923
GGE_vs_CTL,L_caudalmiddlefrontal,-0.20182786100000003,0.072028349,-0.34300083,-0.060654892,1047,297,0.00507772,0.00507772
GGE_vs_CTL,L_cuneus,-0.091238518,0.09531122300000001,-0.278045083,0.09556804699999999,1045,297,0.33843129200000005,0.33843129200000005
GGE_vs_CTL,L_entorhinal,-0.187766635,0.08169177700000001,-0.347879575,-0.027653695,820,242,0.02153468,0.02153468
GGE_vs_CTL,L_fusiform,-0.107803248,0.09364230300000001,-0.291338789,0.07573229299999999,1044,296,0.249640175,0.249640175
GGE_vs_CTL,L_inferiorparietal,-0.126655085,0.08842478699999999,-0.299964483,0.046654312999999996,1036,297,0.152044194,0.152044194
GGE_vs_CTL,L_inferiortemporal,-0.038233954,0.08303680299999999,-0.200983098,0.124515189,1046,296,0.645196207,0.645196207
GGE_vs_CTL,L_isthmuscingulate,0.00429377,0.10751064199999999,-0.20642321600000002,0.21501075600000003,1046,296,0.9681424829999999,0.9681424829999999
GGE_vs_CTL,L_lateraloccipital,-0.125970604,0.151200005,-0.422317169,0.17037596,1047,296,0.404766402,0.404766402
GGE_vs_CTL,L_lateralorbitofrontal,0.092373127,0.071057873,-0.046897745,0.23164400000000002,1042,297,0.193611135,0.193611135
GGE_vs_CTL,L_lingual,-0.003375015,0.09720078,-0.19388504399999998,0.18713501300000002,1046,297,0.972301337,0.972301337
GGE_vs_CTL,L_medialorbitofrontal,-0.001451113,0.071749916,-0.142078364,0.139176139,1029,293,0.9838642120000001,0.9838642120000001
GGE_vs_CTL,L_middletemporal,-0.11253623300000001,0.073889736,-0.257357454,0.032284988,963,279,0.127751375,0.127751375
GGE_vs_CTL,L_parahippocampal,0.039837857000000004,0.09053779,-0.13761295099999998,0.21728866600000002,1038,294,0.659927272,0.659927272
GGE_vs_CTL,L_paracentral,-0.177722391,0.07117828799999999,-0.317229272,-0.038215511,1047,297,0.012529756000000001,0.012529756000000001
GGE_vs_CTL,L_parsopercularis,-0.024327257,0.10865296599999999,-0.237283158,0.18862864399999998,1046,297,0.8228361340000001,0.8228361340000001
GGE_vs_CTL,L_parsorbitalis,0.002015583,0.07122092299999999,-0.137574861,0.141606026,1047,296,0.97742254,0.97742254
GGE_vs_CTL,L_parstriangularis,-0.014426605,0.076925491,-0.16519779699999998,0.136344587,1047,297,0.851237283,0.851237283
GGE_vs_CTL,L_pericalcarine,-0.044968137000000005,0.104415791,-0.249619326,0.159683052,1047,297,0.666712595,0.666712595
GGE_vs_CTL,L_postcentral,0.054602226,0.07121231900000001,-0.084971354,0.194175807,1044,296,0.44322866,0.44322866
GGE_vs_CTL,L_posteriorcingulate,0.031313147,0.08819010699999999,-0.14153628599999998,0.20416258,1047,297,0.722541518,0.722541518
GGE_vs_CTL,L_precentral,-0.34150905200000004,0.071441238,-0.481531306,-0.201486799,1043,297,1.75e-06,1.75e-06
GGE_vs_CTL,L_precuneus,-0.035591483,0.08233868,-0.19697232899999997,0.12578936400000001,1046,297,0.6655545310000001,0.6655545310000001
GGE_vs_CTL,L_rostralanteriorcingulate,-0.037878432000000004,0.107141486,-0.247871886,0.172115021,1042,294,0.723686224,0.723686224
GGE_vs_CTL,L_rostralmiddlefrontal,0.018500075,0.086015547,-0.150087299,0.18708744800000002,1046,295,0.829706299,0.829706299
GGE_vs_CTL,L_superiorfrontal,-0.013954155,0.075079564,-0.16110739699999999,0.133199087,1046,297,0.852555941,0.852555941
GGE_vs_CTL,L_superiorparietal,-0.133644549,0.085515291,-0.301251438,0.033962341,1045,297,0.118096199,0.118096199
GGE_vs_CTL,L_superiortemporal,-0.025441525,0.09982956400000001,-0.22110387399999998,0.170220824,944,266,0.79883926,0.79883926
GGE_vs_CTL,L_supramarginal,-0.14407183099999998,0.07826711,-0.297472549,0.009328886,1003,274,0.065655116,0.065655116
GGE_vs_CTL,L_frontalpole,-0.017363309,0.086273109,-0.18645549600000003,0.151728878,1045,297,0.840495428,0.840495428
GGE_vs_CTL,L_temporalpole,-0.166118724,0.082973517,-0.32874383,-0.003493618,1041,297,0.045277289000000005,0.045277289000000005
GGE_vs_CTL,L_transversetemporal,-0.10095590300000001,0.071140722,-0.24038915600000002,0.03847735,1044,297,0.155869437,0.155869437
GGE_vs_CTL,L_insula,-0.063283618,0.071753912,-0.20391870199999998,0.077351466,1008,293,0.377801925,0.377801925
GGE_vs_CTL,R_bankssts,0.096771278,0.117481338,-0.133487913,0.327030469,1029,287,0.41010084700000005,0.41010084700000005
GGE_vs_CTL,R_caudalanteriorcingulate,0.05251459,0.086475395,-0.116974069,0.22200324899999999,1047,297,0.543666549,0.543666549
GGE_vs_CTL,R_caudalmiddlefrontal,-0.17386726800000002,0.094795744,-0.359663512,0.011928976,1048,297,0.066635403,0.066635403
