SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
gge_subvol,Laccumb,-0.131,0.098,-0.322,0.06,1204,364,1.78E-01,4.70E-01
gge_subvol,Lamyg,-0.05,0.134,-0.312,0.213,1214,353,7.10E-01,8.90E-01
gge_subvol,Lcaud,-0.248,0.076,-0.396,-0.099,1218,362,1.09E-03,1.50E-02
gge_subvol,Lhippo,-0.319,0.136,-0.586,-0.052,1204,363,1.90E-02,1.10E-01
gge_subvol,Lpal,-0.159,0.184,-0.519,0.2,1103,344,3.85E-01,7.00E-01
gge_subvol,Lput,-0.285,0.089,-0.458,-0.111,1130,353,1.32E-03,1.60E-02
gge_subvol,Lthal,-0.401,0.135,-0.666,-0.136,1181,360,2.99E-03,2.80E-02
gge_subvol,LLatVent,0.237,0.085,0.071,0.404,1216,360,5.20E-03,4.00E-02
gge_subvol,Raccumb,-0.148,0.086,-0.317,0.022,1199,364,8.81E-02,3.20E-01
gge_subvol,Ramyg,-0.122,0.091,-0.301,0.056,1187,363,1.78E-01,4.70E-01
gge_subvol,Rcaud,-0.198,0.081,-0.357,-0.038,1219,363,1.53E-02,9.90E-02
gge_subvol,Rhippo,-0.247,0.133,-0.508,0.014,1214,361,6.35E-02,2.70E-01
gge_subvol,Rpal,-0.349,0.097,-0.54,-0.158,1204,363,3.37E-04,7.10E-03
gge_subvol,Rput,-0.234,0.113,-0.456,-0.011,1186,358,3.93E-02,2.10E-01
gge_subvol,Rthal,-0.403,0.087,-0.574,-0.233,1210,363,3.60E-06,1.00E-04
gge_subvol,RLatVent,0.265,0.08,0.108,0.422,1216,362,9.23E-04,1.50E-02
