Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.398,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.268,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.373,,,,,,,
AgevsCortThick,L_cuneus,-0.348,,,,,,,
AgevsCortThick,L_entorhinal,-0.018,,,,,,,
AgevsCortThick,L_fusiform,-0.345,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.499,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.327,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.357,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.342,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.468,,,,,,,
AgevsCortThick,L_lingual,-0.364,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.398,,,,,,,
AgevsCortThick,L_middletemporal,-0.404,,,,,,,
AgevsCortThick,L_parahippocampal,-0.167,,,,,,,
AgevsCortThick,L_paracentral,-0.395,,,,,,,
AgevsCortThick,L_parsopercularis,-0.425,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.377,,,,,,,
AgevsCortThick,L_parstriangularis,-0.432,,,,,,,
AgevsCortThick,L_pericalcarine,-0.244,,,,,,,
AgevsCortThick,L_postcentral,-0.349,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.49,,,,,,,
AgevsCortThick,L_precentral,-0.271,,,,,,,
AgevsCortThick,L_precuneus,-0.518,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.334,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.48,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.48,,,,,,,
AgevsCortThick,L_superiorparietal,-0.451,,,,,,,
AgevsCortThick,L_superiortemporal,-0.328,,,,,,,
AgevsCortThick,L_supramarginal,-0.46,,,,,,,
AgevsCortThick,L_frontalpole,-0.235,,,,,,,
AgevsCortThick,L_temporalpole,-0.012,,,,,,,
AgevsCortThick,L_transversetemporal,-0.259,,,,,,,
AgevsCortThick,L_insula,-0.378,,,,,,,
AgevsCortThick,R_bankssts,-0.385,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.28,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.373,,,,,,,
AgevsCortThick,R_cuneus,-0.368,,,,,,,
AgevsCortThick,R_entorhinal,-0.001,,,,,,,
AgevsCortThick,R_fusiform,-0.366,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.499,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.33,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.369,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.349,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.453,,,,,,,
AgevsCortThick,R_lingual,-0.398,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.425,,,,,,,
AgevsCortThick,R_middletemporal,-0.421,,,,,,,
AgevsCortThick,R_parahippocampal,-0.177,,,,,,,
AgevsCortThick,R_paracentral,-0.381,,,,,,,
AgevsCortThick,R_parsopercularis,-0.414,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.335,,,,,,,
AgevsCortThick,R_parstriangularis,-0.44,,,,,,,
AgevsCortThick,R_pericalcarine,-0.237,,,,,,,
AgevsCortThick,R_postcentral,-0.362,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.459,,,,,,,
AgevsCortThick,R_precentral,-0.274,,,,,,,
AgevsCortThick,R_precuneus,-0.511,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.317,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.47,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.476,,,,,,,
AgevsCortThick,R_superiorparietal,-0.438,,,,,,,
AgevsCortThick,R_superiortemporal,-0.352,,,,,,,
AgevsCortThick,R_supramarginal,-0.473,,,,,,,
AgevsCortThick,R_frontalpole,-0.256,,,,,,,
AgevsCortThick,R_temporalpole,0.052,,,,,,,
AgevsCortThick,R_transversetemporal,-0.278,,,,,,,
AgevsCortThick,R_insula,-0.368,,,,,,,
