Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.244,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.067,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.308,,,,,,,
AgevsCortThick,L_cuneus,-0.18,,,,,,,
AgevsCortThick,L_entorhinal,-0.023,,,,,,,
AgevsCortThick,L_fusiform,-0.218,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.277,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.175,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.286,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.132,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.229,,,,,,,
AgevsCortThick,L_lingual,-0.249,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.178,,,,,,,
AgevsCortThick,L_middletemporal,-0.261,,,,,,,
AgevsCortThick,L_parahippocampal,-0.13,,,,,,,
AgevsCortThick,L_paracentral,-0.236,,,,,,,
AgevsCortThick,L_parsopercularis,-0.38,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.269,,,,,,,
AgevsCortThick,L_parstriangularis,-0.344,,,,,,,
AgevsCortThick,L_pericalcarine,-0.159,,,,,,,
AgevsCortThick,L_postcentral,-0.267,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.29,,,,,,,
AgevsCortThick,L_precentral,-0.326,,,,,,,
AgevsCortThick,L_precuneus,-0.311,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.158,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.285,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.354,,,,,,,
AgevsCortThick,L_superiorparietal,-0.216,,,,,,,
AgevsCortThick,L_superiortemporal,-0.32,,,,,,,
AgevsCortThick,L_supramarginal,-0.333,,,,,,,
AgevsCortThick,L_frontalpole,-0.14,,,,,,,
AgevsCortThick,L_temporalpole,-0.066,,,,,,,
AgevsCortThick,L_transversetemporal,-0.213,,,,,,,
AgevsCortThick,L_insula,-0.291,,,,,,,
AgevsCortThick,R_bankssts,-0.279,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.111,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.293,,,,,,,
AgevsCortThick,R_cuneus,-0.18,,,,,,,
AgevsCortThick,R_entorhinal,-0.009,,,,,,,
AgevsCortThick,R_fusiform,-0.248,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.29,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.179,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.286,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.165,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.254,,,,,,,
AgevsCortThick,R_lingual,-0.261,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.206,,,,,,,
AgevsCortThick,R_middletemporal,-0.25,,,,,,,
AgevsCortThick,R_parahippocampal,-0.148,,,,,,,
AgevsCortThick,R_paracentral,-0.249,,,,,,,
AgevsCortThick,R_parsopercularis,-0.355,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.261,,,,,,,
AgevsCortThick,R_parstriangularis,-0.358,,,,,,,
AgevsCortThick,R_pericalcarine,-0.157,,,,,,,
AgevsCortThick,R_postcentral,-0.264,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.264,,,,,,,
AgevsCortThick,R_precentral,-0.318,,,,,,,
AgevsCortThick,R_precuneus,-0.298,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.19,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.263,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.348,,,,,,,
AgevsCortThick,R_superiorparietal,-0.221,,,,,,,
AgevsCortThick,R_superiortemporal,-0.322,,,,,,,
AgevsCortThick,R_supramarginal,-0.364,,,,,,,
AgevsCortThick,R_frontalpole,-0.165,,,,,,,
AgevsCortThick,R_temporalpole,-0.059,,,,,,,
AgevsCortThick,R_transversetemporal,-0.202,,,,,,,
AgevsCortThick,R_insula,-0.307,,,,,,,
