Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.216,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.056,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.258,,,,,,,
AgevsCortThick,L_cuneus,-0.159,,,,,,,
AgevsCortThick,L_entorhinal,-0.004,,,,,,,
AgevsCortThick,L_fusiform,-0.182,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.23,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.144,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.224,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.088,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.191,,,,,,,
AgevsCortThick,L_lingual,-0.216,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.153,,,,,,,
AgevsCortThick,L_middletemporal,-0.218,,,,,,,
AgevsCortThick,L_parahippocampal,-0.105,,,,,,,
AgevsCortThick,L_paracentral,-0.225,,,,,,,
AgevsCortThick,L_parsopercularis,-0.325,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.214,,,,,,,
AgevsCortThick,L_parstriangularis,-0.29,,,,,,,
AgevsCortThick,L_pericalcarine,-0.142,,,,,,,
AgevsCortThick,L_postcentral,-0.226,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.254,,,,,,,
AgevsCortThick,L_precentral,-0.29,,,,,,,
AgevsCortThick,L_precuneus,-0.262,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.129,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.227,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.31,,,,,,,
AgevsCortThick,L_superiorparietal,-0.176,,,,,,,
AgevsCortThick,L_superiortemporal,-0.285,,,,,,,
AgevsCortThick,L_supramarginal,-0.279,,,,,,,
AgevsCortThick,L_frontalpole,-0.096,,,,,,,
AgevsCortThick,L_temporalpole,-0.035,,,,,,,
AgevsCortThick,L_transversetemporal,-0.206,,,,,,,
AgevsCortThick,L_insula,-0.251,,,,,,,
AgevsCortThick,R_bankssts,-0.234,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.102,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.248,,,,,,,
AgevsCortThick,R_cuneus,-0.169,,,,,,,
AgevsCortThick,R_entorhinal,-0.002,,,,,,,
AgevsCortThick,R_fusiform,-0.2,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.235,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.121,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.24,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.109,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.207,,,,,,,
AgevsCortThick,R_lingual,-0.223,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.177,,,,,,,
AgevsCortThick,R_middletemporal,-0.213,,,,,,,
AgevsCortThick,R_parahippocampal,-0.11,,,,,,,
AgevsCortThick,R_paracentral,-0.229,,,,,,,
AgevsCortThick,R_parsopercularis,-0.315,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.193,,,,,,,
AgevsCortThick,R_parstriangularis,-0.304,,,,,,,
AgevsCortThick,R_pericalcarine,-0.155,,,,,,,
AgevsCortThick,R_postcentral,-0.221,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.224,,,,,,,
AgevsCortThick,R_precentral,-0.278,,,,,,,
AgevsCortThick,R_precuneus,-0.258,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.142,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.213,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.294,,,,,,,
AgevsCortThick,R_superiorparietal,-0.167,,,,,,,
AgevsCortThick,R_superiortemporal,-0.29,,,,,,,
AgevsCortThick,R_supramarginal,-0.281,,,,,,,
AgevsCortThick,R_frontalpole,-0.111,,,,,,,
AgevsCortThick,R_temporalpole,-0.02,,,,,,,
AgevsCortThick,R_transversetemporal,-0.196,,,,,,,
AgevsCortThick,R_insula,-0.26,,,,,,,
