SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadolescent_casevsCN_recurrent,L_bankssts,-0.257,0.159,,,138,91,0.105,0.193
MDDadolescent_casevsCN_recurrent,L_caudalanteriorcingulate,-0.261,0.154,,,140,104,0.089,0.174
MDDadolescent_casevsCN_recurrent,L_caudalmiddlefrontal,-0.471,0.154,,,142,104,0.002,0.021
MDDadolescent_casevsCN_recurrent,L_cuneus,-0.374,0.387,,,142,104,0.333,0.374
MDDadolescent_casevsCN_recurrent,L_entorhinal,-0.2,0.154,,,142,102,0.195,0.273
MDDadolescent_casevsCN_recurrent,L_fusiform,-0.42,0.155,,,141,104,0.007,0.038
MDDadolescent_casevsCN_recurrent,L_inferiorparietal,-0.41,0.154,,,142,104,0.008,0.039
MDDadolescent_casevsCN_recurrent,L_inferiortemporal,-0.165,0.153,,,140,104,0.281,0.356
MDDadolescent_casevsCN_recurrent,L_isthmuscingulate,-0.147,0.153,,,141,104,0.336,0.374
MDDadolescent_casevsCN_recurrent,L_lateraloccipital,-0.44,0.155,,,142,103,0.005,0.034
MDDadolescent_casevsCN_recurrent,L_lateralorbitofrontal,-0.148,0.153,,,142,104,0.334,0.374
MDDadolescent_casevsCN_recurrent,L_lingual,-0.274,0.153,,,142,104,0.074,0.157
MDDadolescent_casevsCN_recurrent,L_medialorbitofrontal,-0.485,0.154,,,142,104,0.002,0.021
MDDadolescent_casevsCN_recurrent,L_middletemporal,-0.226,0.159,,,137,93,0.154,0.235
MDDadolescent_casevsCN_recurrent,L_parahippocampal,-0.083,0.154,,,142,103,0.588,0.633
MDDadolescent_casevsCN_recurrent,L_paracentral,-0.22,0.154,,,142,103,0.153,0.235
MDDadolescent_casevsCN_recurrent,L_parsopercularis,-0.16,0.154,,,141,103,0.298,0.356
MDDadolescent_casevsCN_recurrent,L_parsorbitalis,-0.217,0.154,,,140,104,0.159,0.235
MDDadolescent_casevsCN_recurrent,L_parstriangularis,-0.297,0.276,,,141,104,0.283,0.356
MDDadolescent_casevsCN_recurrent,L_pericalcarine,-0.294,0.195,,,142,104,0.131,0.224
MDDadolescent_casevsCN_recurrent,L_postcentral,-0.312,0.154,,,141,104,0.043,0.107
MDDadolescent_casevsCN_recurrent,L_posteriorcingulate,-0.255,0.239,,,141,104,0.287,0.356
MDDadolescent_casevsCN_recurrent,L_precentral,-0.392,0.156,,,139,103,0.012,0.052
MDDadolescent_casevsCN_recurrent,L_precuneus,-0.413,0.154,,,142,104,0.007,0.039
MDDadolescent_casevsCN_recurrent,L_rostralanteriorcingulate,-0.365,0.181,,,141,104,0.044,0.107
MDDadolescent_casevsCN_recurrent,L_rostralmiddlefrontal,-0.38,0.154,,,142,104,0.013,0.052
MDDadolescent_casevsCN_recurrent,L_superiorfrontal,-0.358,0.155,,,141,103,0.021,0.07
MDDadolescent_casevsCN_recurrent,L_superiorparietal,-0.572,0.156,,,142,104,2.36E-04,0.017
MDDadolescent_casevsCN_recurrent,L_superiortemporal,-0.151,0.156,,,141,96,0.332,0.374
