CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadolescent_casevsCN_recurrent,L_bankssts,0.013,0.286,,,138,91,0.964,0.989
MDDadolescent_casevsCN_recurrent,L_caudalanteriorcingulate,-0.196,0.3,,,140,104,0.514,0.989
MDDadolescent_casevsCN_recurrent,L_caudalmiddlefrontal,-0.115,0.153,,,142,104,0.452,0.989
MDDadolescent_casevsCN_recurrent,L_cuneus,0.321,0.228,,,141,104,0.16,0.989
MDDadolescent_casevsCN_recurrent,L_entorhinal,0.168,0.249,,,142,103,0.5,0.989
MDDadolescent_casevsCN_recurrent,L_fusiform,0.069,0.236,,,141,104,0.77,0.989
MDDadolescent_casevsCN_recurrent,L_inferiorparietal,0.133,0.153,,,142,104,0.384,0.989
MDDadolescent_casevsCN_recurrent,L_inferiortemporal,0.154,0.22,,,141,104,0.485,0.989
MDDadolescent_casevsCN_recurrent,L_isthmuscingulate,-0.343,0.154,,,141,104,0.026,0.901
MDDadolescent_casevsCN_recurrent,L_lateraloccipital,0.228,0.254,,,142,103,0.371,0.989
MDDadolescent_casevsCN_recurrent,L_lateralorbitofrontal,-0.486,0.154,,,142,104,0.002,0.116
MDDadolescent_casevsCN_recurrent,L_lingual,0.044,0.153,,,142,104,0.775,0.989
MDDadolescent_casevsCN_recurrent,L_medialorbitofrontal,-0.228,0.239,,,142,104,0.341,0.989
MDDadolescent_casevsCN_recurrent,L_middletemporal,0.039,0.209,,,138,93,0.852,0.989
MDDadolescent_casevsCN_recurrent,L_parahippocampal,-0.235,0.154,,,142,103,0.128,0.989
MDDadolescent_casevsCN_recurrent,L_paracentral,-0.192,0.154,,,142,103,0.212,0.989
MDDadolescent_casevsCN_recurrent,L_parsopercularis,0.071,0.154,,,141,103,0.646,0.989
MDDadolescent_casevsCN_recurrent,L_parsorbitalis,-0.16,0.334,,,140,104,0.633,0.989
MDDadolescent_casevsCN_recurrent,L_parstriangularis,0.116,0.153,,,141,104,0.45,0.989
MDDadolescent_casevsCN_recurrent,L_pericalcarine,0.028,0.163,,,142,104,0.864,0.989
MDDadolescent_casevsCN_recurrent,L_postcentral,0.002,0.153,,,142,104,0.989,0.989
MDDadolescent_casevsCN_recurrent,L_posteriorcingulate,-0.053,0.178,,,141,104,0.764,0.989
MDDadolescent_casevsCN_recurrent,L_precentral,-0.136,0.154,,,139,103,0.377,0.989
MDDadolescent_casevsCN_recurrent,L_precuneus,0.016,0.286,,,142,104,0.955,0.989
MDDadolescent_casevsCN_recurrent,L_rostralanteriorcingulate,-0.185,0.32,,,142,104,0.563,0.989
MDDadolescent_casevsCN_recurrent,L_rostralmiddlefrontal,-0.14,0.153,,,142,104,0.359,0.989
MDDadolescent_casevsCN_recurrent,L_superiorfrontal,-0.098,0.205,,,141,103,0.631,0.989
MDDadolescent_casevsCN_recurrent,L_superiorparietal,-0.017,0.153,,,142,104,0.911,0.989
