SurfaceArea,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-firstepisode,n-recurrent,pobs,fdr-p
MDDadolescent-firstepisodevsrecurrent,L-bankssts,-0.243,0.168,,,61,89,0.149,0.385
MDDadolescent-firstepisodevsrecurrent,L-caudalanteriorcingulate,0.079,0.158,,,67,102,0.618,0.721
MDDadolescent-firstepisodevsrecurrent,L-caudalmiddlefrontal,-0.253,0.159,,,67,102,0.112,0.375
MDDadolescent-firstepisodevsrecurrent,L-cuneus,0.118,0.302,,,67,102,0.696,0.774
MDDadolescent-firstepisodevsrecurrent,L-entorhinal,0.248,0.16,,,66,100,0.121,0.375
MDDadolescent-firstepisodevsrecurrent,L-fusiform,-0.153,0.159,,,67,102,0.335,0.509
MDDadolescent-firstepisodevsrecurrent,L-inferiorparietal,-0.492,0.183,,,67,102,0.007,0.1
MDDadolescent-firstepisodevsrecurrent,L-inferiortemporal,-0.199,0.159,,,67,102,0.209,0.431
MDDadolescent-firstepisodevsrecurrent,L-isthmuscingulate,-0.532,0.162,,,66,102,0.001,0.072
MDDadolescent-firstepisodevsrecurrent,L-lateraloccipital,-0.101,0.197,,,67,101,0.608,0.721
MDDadolescent-firstepisodevsrecurrent,L-lateralorbitofrontal,-0.159,0.159,,,67,102,0.318,0.495
MDDadolescent-firstepisodevsrecurrent,L-lingual,-0.172,0.159,,,67,102,0.277,0.468
MDDadolescent-firstepisodevsrecurrent,L-medialorbitofrontal,-0.357,0.307,,,66,102,0.245,0.464
MDDadolescent-firstepisodevsrecurrent,L-middletemporal,-0.468,0.166,,,64,91,0.005,0.1
MDDadolescent-firstepisodevsrecurrent,L-parahippocampal,0.15,0.253,,,66,101,0.555,0.671
MDDadolescent-firstepisodevsrecurrent,L-paracentral,-0.346,0.16,,,67,101,0.031,0.248
MDDadolescent-firstepisodevsrecurrent,L-parsopercularis,-0.19,0.16,,,66,101,0.234,0.464
MDDadolescent-firstepisodevsrecurrent,L-parsorbitalis,-0.034,0.159,,,67,102,0.831,0.882
MDDadolescent-firstepisodevsrecurrent,L-parstriangularis,-0.201,0.304,,,67,102,0.508,0.671
MDDadolescent-firstepisodevsrecurrent,L-pericalcarine,-0.031,0.159,,,67,102,0.846,0.884
MDDadolescent-firstepisodevsrecurrent,L-postcentral,-0.236,0.263,,,66,102,0.368,0.526
MDDadolescent-firstepisodevsrecurrent,L-posteriorcingulate,-0.232,0.159,,,67,102,0.144,0.385
MDDadolescent-firstepisodevsrecurrent,L-precentral,-0.317,0.16,,,67,101,0.048,0.281
MDDadolescent-firstepisodevsrecurrent,L-precuneus,-0.245,0.159,,,67,102,0.123,0.375
MDDadolescent-firstepisodevsrecurrent,L-rostralanteriorcingulate,-0.185,0.159,,,67,102,0.244,0.464
MDDadolescent-firstepisodevsrecurrent,L-rostralmiddlefrontal,-0.302,0.212,,,67,102,0.154,0.385
MDDadolescent-firstepisodevsrecurrent,L-superiorfrontal,-0.336,0.16,,,67,101,0.035,0.248
MDDadolescent-firstepisodevsrecurrent,L-superiorparietal,-0.256,0.159,,,67,102,0.108,0.375
MDDadolescent-firstepisodevsrecurrent,L-superiortemporal,-0.097,0.163,,,64,94,0.553,0.671
MDDadolescent-firstepisodevsrecurrent,L-supramarginal,-0.201,0.16,,,67,102,0.207,0.431
MDDadolescent-firstepisodevsrecurrent,L-frontalpole,0.023,0.207,,,67,102,0.911,0.911
MDDadolescent-firstepisodevsrecurrent,L-temporalpole,-0.118,0.184,,,67,102,0.521,0.671
MDDadolescent-firstepisodevsrecurrent,L-transversetemporal,0.097,0.158,,,67,102,0.542,0.671
MDDadolescent-firstepisodevsrecurrent,L-insula,0.063,0.372,,,67,102,0.864,0.89
MDDadolescent-firstepisodevsrecurrent,R-bankssts,-0.449,0.164,,,65,94,0.006,0.1
MDDadolescent-firstepisodevsrecurrent,R-caudalanteriorcingulate,-0.174,0.159,,,67,102,0.273,0.468
MDDadolescent-firstepisodevsrecurrent,R-caudalmiddlefrontal,-0.37,0.161,,,66,101,0.022,0.216
MDDadolescent-firstepisodevsrecurrent,R-cuneus,-0.178,0.302,,,66,102,0.556,0.671
MDDadolescent-firstepisodevsrecurrent,R-entorhinal,-0.233,0.161,,,66,99,0.149,0.385
MDDadolescent-firstepisodevsrecurrent,R-fusiform,-0.072,0.159,,,67,100,0.651,0.735
MDDadolescent-firstepisodevsrecurrent,R-inferiorparietal,-0.165,0.159,,,67,102,0.299,0.475
MDDadolescent-firstepisodevsrecurrent,R-inferiortemporal,-0.149,0.159,,,67,102,0.349,0.518
MDDadolescent-firstepisodevsrecurrent,R-isthmuscingulate,-0.738,0.259,,,67,102,0.004,0.1
MDDadolescent-firstepisodevsrecurrent,R-lateraloccipital,-0.25,0.159,,,67,102,0.115,0.375
