CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_firstepisode,n_recurrent,pobs,fdr_p
MDDadolescent_firstepisodevsrecurrent,L_bankssts,0.031,0.167,,,61,89,0.854,0.97
MDDadolescent_firstepisodevsrecurrent,L_caudalanteriorcingulate,0.018,0.158,,,67,102,0.909,0.97
MDDadolescent_firstepisodevsrecurrent,L_caudalmiddlefrontal,-0.228,0.184,,,67,102,0.215,0.928
MDDadolescent_firstepisodevsrecurrent,L_cuneus,0.192,0.159,,,67,102,0.228,0.928
MDDadolescent_firstepisodevsrecurrent,L_entorhinal,-0.135,0.159,,,66,101,0.398,0.928
MDDadolescent_firstepisodevsrecurrent,L_fusiform,0.133,0.159,,,67,102,0.404,0.928
MDDadolescent_firstepisodevsrecurrent,L_inferiorparietal,0.127,0.158,,,67,102,0.425,0.928
MDDadolescent_firstepisodevsrecurrent,L_inferiortemporal,0.012,0.159,,,67,102,0.937,0.97
MDDadolescent_firstepisodevsrecurrent,L_isthmuscingulate,0.134,0.176,,,66,102,0.446,0.928
MDDadolescent_firstepisodevsrecurrent,L_lateraloccipital,0.112,0.224,,,67,101,0.617,0.939
MDDadolescent_firstepisodevsrecurrent,L_lateralorbitofrontal,-0.156,0.159,,,67,102,0.325,0.928
MDDadolescent_firstepisodevsrecurrent,L_lingual,-0.054,0.158,,,67,102,0.733,0.97
MDDadolescent_firstepisodevsrecurrent,L_medialorbitofrontal,-0.131,0.159,,,66,102,0.412,0.928
MDDadolescent_firstepisodevsrecurrent,L_middletemporal,-0.108,0.164,,,64,91,0.512,0.933
MDDadolescent_firstepisodevsrecurrent,L_parahippocampal,0.146,0.16,,,66,101,0.361,0.928
MDDadolescent_firstepisodevsrecurrent,L_paracentral,-0.196,0.348,,,67,101,0.572,0.933
MDDadolescent_firstepisodevsrecurrent,L_parsopercularis,-0.029,0.16,,,66,101,0.857,0.97
MDDadolescent_firstepisodevsrecurrent,L_parsorbitalis,-0.192,0.251,,,67,102,0.445,0.928
MDDadolescent_firstepisodevsrecurrent,L_parstriangularis,-0.412,0.16,,,67,102,0.01,0.698
MDDadolescent_firstepisodevsrecurrent,L_pericalcarine,-0.029,0.209,,,67,102,0.888,0.97
MDDadolescent_firstepisodevsrecurrent,L_postcentral,0.012,0.172,,,66,102,0.943,0.97
MDDadolescent_firstepisodevsrecurrent,L_posteriorcingulate,0.121,0.159,,,67,102,0.447,0.928
MDDadolescent_firstepisodevsrecurrent,L_precentral,0.05,0.159,,,67,101,0.753,0.97
MDDadolescent_firstepisodevsrecurrent,L_precuneus,0.183,0.159,,,67,102,0.25,0.928
MDDadolescent_firstepisodevsrecurrent,L_rostralanteriorcingulate,0.174,0.159,,,67,102,0.273,0.928
MDDadolescent_firstepisodevsrecurrent,L_rostralmiddlefrontal,-0.243,0.159,,,67,102,0.126,0.928
MDDadolescent_firstepisodevsrecurrent,L_superiorfrontal,-0.144,0.159,,,67,101,0.366,0.928
MDDadolescent_firstepisodevsrecurrent,L_superiorparietal,0.195,0.159,,,67,102,0.219,0.928
MDDadolescent_firstepisodevsrecurrent,L_superiortemporal,-0.122,0.164,,,63,95,0.455,0.928
MDDadolescent_firstepisodevsrecurrent,L_supramarginal,0.204,0.159,,,67,102,0.199,0.928
MDDadolescent_firstepisodevsrecurrent,L_frontalpole,-0.264,0.159,,,67,102,0.097,0.928
MDDadolescent_firstepisodevsrecurrent,L_temporalpole,-0.044,0.159,,,67,102,0.781,0.97
MDDadolescent_firstepisodevsrecurrent,L_transversetemporal,-0.092,0.158,,,67,102,0.561,0.933
MDDadolescent_firstepisodevsrecurrent,L_insula,-0.079,0.282,,,67,102,0.78,0.97
MDDadolescent_firstepisodevsrecurrent,R_bankssts,-0.157,0.163,,,64,95,0.336,0.928
MDDadolescent_firstepisodevsrecurrent,R_caudalanteriorcingulate,0.278,0.194,,,67,102,0.153,0.928
MDDadolescent_firstepisodevsrecurrent,R_caudalmiddlefrontal,-0.322,0.177,,,65,102,0.069,0.928
MDDadolescent_firstepisodevsrecurrent,R_cuneus,-0.068,0.183,,,67,102,0.708,0.97
MDDadolescent_firstepisodevsrecurrent,R_entorhinal,0.098,0.16,,,66,100,0.541,0.933
MDDadolescent_firstepisodevsrecurrent,R_fusiform,0.237,0.16,,,67,100,0.138,0.928
MDDadolescent_firstepisodevsrecurrent,R_inferiorparietal,-0.126,0.159,,,67,102,0.428,0.928
MDDadolescent_firstepisodevsrecurrent,R_inferiortemporal,-0.084,0.159,,,67,102,0.596,0.933
MDDadolescent_firstepisodevsrecurrent,R_isthmuscingulate,0.252,0.182,,,67,102,0.167,0.928
MDDadolescent_firstepisodevsrecurrent,R_lateraloccipital,0.191,0.159,,,67,102,0.229,0.928
MDDadolescent_firstepisodevsrecurrent,R_lateralorbitofrontal,0.109,0.159,,,67,100,0.493,0.933
MDDadolescent_firstepisodevsrecurrent,R_lingual,0.05,0.159,,,67,102,0.754,0.97
MDDadolescent_firstepisodevsrecurrent,R_medialorbitofrontal,0.075,0.158,,,67,102,0.637,0.948
MDDadolescent_firstepisodevsrecurrent,R_middletemporal,0.112,0.199,,,66,96,0.573,0.933
MDDadolescent_firstepisodevsrecurrent,R_parahippocampal,-0.004,0.159,,,67,101,0.979,0.989
MDDadolescent_firstepisodevsrecurrent,R_paracentral,0.046,0.159,,,67,102,0.771,0.97
MDDadolescent_firstepisodevsrecurrent,R_parsopercularis,0.139,0.159,,,67,102,0.382,0.928
MDDadolescent_firstepisodevsrecurrent,R_parsorbitalis,0.003,0.19,,,66,100,0.989,0.989
MDDadolescent_firstepisodevsrecurrent,R_parstriangularis,0.093,0.159,,,67,102,0.559,0.933
MDDadolescent_firstepisodevsrecurrent,R_pericalcarine,-0.242,0.16,,,67,101,0.129,0.928
MDDadolescent_firstepisodevsrecurrent,R_postcentral,-0.13,0.16,,,66,102,0.417,0.928
MDDadolescent_firstepisodevsrecurrent,R_posteriorcingulate,0.299,0.159,,,67,102,0.061,0.928
MDDadolescent_firstepisodevsrecurrent,R_precentral,0.02,0.159,,,67,102,0.898,0.97
MDDadolescent_firstepisodevsrecurrent,R_precuneus,0.066,0.159,,,67,102,0.676,0.97
MDDadolescent_firstepisodevsrecurrent,R_rostralanteriorcingulate,0.24,0.17,,,67,101,0.158,0.928
MDDadolescent_firstepisodevsrecurrent,R_rostralmiddlefrontal,-0.041,0.158,,,67,102,0.796,0.97
MDDadolescent_firstepisodevsrecurrent,R_superiorfrontal,-0.083,0.159,,,67,102,0.6,0.933
MDDadolescent_firstepisodevsrecurrent,R_superiorparietal,-0.056,0.159,,,67,102,0.722,0.97
MDDadolescent_firstepisodevsrecurrent,R_superiortemporal,0.104,0.16,,,66,98,0.518,0.933
MDDadolescent_firstepisodevsrecurrent,R_supramarginal,-0.015,0.171,,,67,100,0.93,0.97
MDDadolescent_firstepisodevsrecurrent,R_frontalpole,-0.022,0.247,,,67,102,0.931,0.97
MDDadolescent_firstepisodevsrecurrent,R_temporalpole,0.214,0.159,,,67,102,0.178,0.928
MDDadolescent_firstepisodevsrecurrent,R_transversetemporal,-0.116,0.159,,,67,102,0.464,0.928
MDDadolescent_firstepisodevsrecurrent,R_insula,-0.134,0.158,,,67,102,0.399,0.928
