SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadult_casevsCN,L_bankssts,-0.024,0.043,,,7487,1748,0.582,0.92
MDDadult_casevsCN,L_caudalanteriorcingulate,0.021,0.03,,,7590,1883,0.48,0.92
MDDadult_casevsCN,L_caudalmiddlefrontal,0.045,0.053,,,7605,1885,0.389,0.92
MDDadult_casevsCN,L_cuneus,-0.007,0.03,,,7626,1889,0.818,0.92
MDDadult_casevsCN,L_entorhinal,0.008,0.043,,,7434,1821,0.856,0.92
MDDadult_casevsCN,L_fusiform,0.012,0.03,,,7503,1862,0.688,0.92
MDDadult_casevsCN,L_inferiorparietal,-0.005,0.03,,,7587,1876,0.859,0.92
MDDadult_casevsCN,L_inferiortemporal,0.046,0.044,,,7623,1869,0.294,0.92
MDDadult_casevsCN,L_isthmuscingulate,0.063,0.058,,,7641,1893,0.283,0.92
MDDadult_casevsCN,L_lateraloccipital,0.016,0.055,,,7633,1892,0.776,0.92
MDDadult_casevsCN,L_lateralorbitofrontal,0.041,0.036,,,7655,1901,0.253,0.92
MDDadult_casevsCN,L_lingual,0.028,0.059,,,7640,1894,0.632,0.92
MDDadult_casevsCN,L_medialorbitofrontal,0.035,0.059,,,7554,1869,0.552,0.92
MDDadult_casevsCN,L_middletemporal,-0.034,0.051,,,7526,1802,0.513,0.92
MDDadult_casevsCN,L_parahippocampal,-0.017,0.048,,,7592,1879,0.725,0.92
MDDadult_casevsCN,L_paracentral,0.018,0.068,,,7547,1865,0.788,0.92
MDDadult_casevsCN,L_parsopercularis,-0.015,0.03,,,7619,1889,0.62,0.92
MDDadult_casevsCN,L_parsorbitalis,-0.002,0.051,,,7647,1899,0.965,0.965
MDDadult_casevsCN,L_parstriangularis,-0.063,0.03,,,7634,1894,0.037,0.87
MDDadult_casevsCN,L_pericalcarine,-0.008,0.062,,,7654,1895,0.893,0.92
MDDadult_casevsCN,L_postcentral,0.006,0.035,,,7571,1866,0.862,0.92
MDDadult_casevsCN,L_posteriorcingulate,0.006,0.03,,,7645,1896,0.851,0.92
MDDadult_casevsCN,L_precentral,0.034,0.072,,,7587,1878,0.631,0.92
MDDadult_casevsCN,L_precuneus,0.011,0.043,,,7636,1892,0.798,0.92
MDDadult_casevsCN,L_rostralanteriorcingulate,0.04,0.03,,,7540,1861,0.186,0.92
MDDadult_casevsCN,L_rostralmiddlefrontal,0.025,0.03,,,7634,1897,0.397,0.92
MDDadult_casevsCN,L_superiorfrontal,0.052,0.03,,,7555,1879,0.088,0.92
MDDadult_casevsCN,L_superiorparietal,0.017,0.03,,,7592,1877,0.575,0.92
MDDadult_casevsCN,L_superiortemporal,0.011,0.05,,,7510,1787,0.827,0.92
MDDadult_casevsCN,L_supramarginal,0.04,0.043,,,7512,1835,0.35,0.92
MDDadult_casevsCN,L_frontalpole,-0.049,0.03,,,7657,1900,0.1,0.92
MDDadult_casevsCN,L_temporalpole,0.066,0.03,,,7620,1868,0.029,0.87
MDDadult_casevsCN,L_transversetemporal,0.013,0.056,,,7654,1899,0.815,0.92
MDDadult_casevsCN,L_insula,0.014,0.049,,,7634,1896,0.782,0.92
MDDadult_casevsCN,R_bankssts,0.01,0.031,,,7569,1815,0.751,0.92
MDDadult_casevsCN,R_caudalanteriorcingulate,0.011,0.03,,,7615,1883,0.707,0.92
MDDadult_casevsCN,R_caudalmiddlefrontal,0.009,0.03,,,7620,1889,0.761,0.92
MDDadult_casevsCN,R_cuneus,0.058,0.036,,,7634,1891,0.107,0.92
MDDadult_casevsCN,R_entorhinal,0.036,0.031,,,7409,1796,0.24,0.92
MDDadult_casevsCN,R_fusiform,-0.034,0.041,,,7523,1860,0.395,0.92
MDDadult_casevsCN,R_inferiorparietal,-0.024,0.05,,,7584,1877,0.629,0.92
MDDadult_casevsCN,R_inferiortemporal,0.005,0.03,,,7634,1885,0.876,0.92
MDDadult_casevsCN,R_isthmuscingulate,0.04,0.047,,,7642,1896,0.393,0.92
MDDadult_casevsCN,R_lateraloccipital,0.067,0.03,,,7642,1897,0.026,0.87
MDDadult_casevsCN,R_lateralorbitofrontal,0.026,0.054,,,7654,1902,0.631,0.92
MDDadult_casevsCN,R_lingual,0.016,0.063,,,7649,1897,0.799,0.92
MDDadult_casevsCN,R_medialorbitofrontal,0.027,0.03,,,7606,1883,0.369,0.92
MDDadult_casevsCN,R_middletemporal,0.027,0.03,,,7593,1867,0.37,0.92
MDDadult_casevsCN,R_parahippocampal,-0.04,0.03,,,7606,1881,0.184,0.92
MDDadult_casevsCN,R_paracentral,0.014,0.034,,,7593,1881,0.676,0.92
MDDadult_casevsCN,R_parsopercularis,-0.011,0.046,,,7619,1886,0.806,0.92
MDDadult_casevsCN,R_parsorbitalis,0.022,0.041,,,7650,1897,0.589,0.92
MDDadult_casevsCN,R_parstriangularis,-0.012,0.03,,,7622,1892,0.684,0.92
MDDadult_casevsCN,R_pericalcarine,0.007,0.034,,,7650,1897,0.837,0.92
MDDadult_casevsCN,R_postcentral,0.022,0.03,,,7596,1874,0.46,0.92
MDDadult_casevsCN,R_posteriorcingulate,0.016,0.061,,,7648,1898,0.789,0.92
MDDadult_casevsCN,R_precentral,0.009,0.057,,,7589,1880,0.875,0.92
MDDadult_casevsCN,R_precuneus,0.006,0.034,,,7635,1894,0.87,0.92
MDDadult_casevsCN,R_rostralanteriorcingulate,0.029,0.03,,,7595,1877,0.333,0.92
MDDadult_casevsCN,R_rostralmiddlefrontal,0.054,0.03,,,7636,1890,0.072,0.92
MDDadult_casevsCN,R_superiorfrontal,0.028,0.03,,,7589,1877,0.361,0.92
MDDadult_casevsCN,R_superiorparietal,-0.008,0.037,,,7610,1873,0.833,0.92
MDDadult_casevsCN,R_superiortemporal,0.029,0.062,,,7547,1805,0.64,0.92
MDDadult_casevsCN,R_supramarginal,0.004,0.03,,,7569,1855,0.89,0.92
MDDadult_casevsCN,R_frontalpole,0.024,0.044,,,7652,1900,0.579,0.92
MDDadult_casevsCN,R_temporalpole,0.051,0.052,,,7574,1856,0.327,0.92
MDDadult_casevsCN,R_transversetemporal,-0.021,0.044,,,7656,1901,0.625,0.92
MDDadult_casevsCN,R_insula,-0.004,0.051,,,7641,1889,0.936,0.949
