SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadult_casevsCN_firstepisode,L_bankssts,-0.038,0.059,,,7115,497,0.517,0.986
MDDadult_casevsCN_firstepisode,L_caudalanteriorcingulate,-0.039,0.049,,,7186,529,0.417,0.986
MDDadult_casevsCN_firstepisode,L_caudalmiddlefrontal,0.008,0.088,,,7201,528,0.926,0.986
MDDadult_casevsCN_firstepisode,L_cuneus,0.002,0.054,,,7225,530,0.966,0.986
MDDadult_casevsCN_firstepisode,L_entorhinal,0.021,0.049,,,7079,514,0.677,0.986
MDDadult_casevsCN_firstepisode,L_fusiform,0.047,0.056,,,7107,518,0.399,0.986
MDDadult_casevsCN_firstepisode,L_inferiorparietal,0.014,0.057,,,7187,524,0.806,0.986
MDDadult_casevsCN_firstepisode,L_inferiortemporal,0.073,0.065,,,7241,532,0.263,0.986
MDDadult_casevsCN_firstepisode,L_isthmuscingulate,0.005,0.056,,,7237,534,0.933,0.986
MDDadult_casevsCN_firstepisode,L_lateraloccipital,-0.009,0.048,,,7230,530,0.856,0.986
MDDadult_casevsCN_firstepisode,L_lateralorbitofrontal,0.021,0.082,,,7250,534,0.795,0.986
MDDadult_casevsCN_firstepisode,L_lingual,-0.036,0.049,,,7236,530,0.46,0.986
MDDadult_casevsCN_firstepisode,L_medialorbitofrontal,0.006,0.083,,,7168,522,0.945,0.986
MDDadult_casevsCN_firstepisode,L_middletemporal,-0.018,0.067,,,7148,513,0.784,0.986
MDDadult_casevsCN_firstepisode,L_parahippocampal,0.051,0.049,,,7195,530,0.296,0.986
MDDadult_casevsCN_firstepisode,L_paracentral,-0.02,0.091,,,7143,517,0.829,0.986
MDDadult_casevsCN_firstepisode,L_parsopercularis,-0.033,0.086,,,7217,529,0.7,0.986
MDDadult_casevsCN_firstepisode,L_parsorbitalis,0.06,0.069,,,7243,535,0.38,0.986
MDDadult_casevsCN_firstepisode,L_parstriangularis,-0.068,0.079,,,7230,534,0.386,0.986
MDDadult_casevsCN_firstepisode,L_pericalcarine,-0.056,0.048,,,7249,534,0.249,0.986
