SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadult_casevsCN_late,L_bankssts,-0.007,0.042,,,3162,1110,0.866,0.993
MDDadult_casevsCN_late,L_caudalanteriorcingulate,0.024,0.036,,,3261,1201,0.494,0.819
MDDadult_casevsCN_late,L_caudalmiddlefrontal,0.012,0.044,,,3276,1200,0.793,0.957
MDDadult_casevsCN_late,L_cuneus,-0.002,0.036,,,3297,1202,0.959,0.993
MDDadult_casevsCN_late,L_entorhinal,0.024,0.036,,,3107,1159,0.516,0.819
MDDadult_casevsCN_late,L_fusiform,0.027,0.036,,,3175,1185,0.458,0.807
MDDadult_casevsCN_late,L_inferiorparietal,-0.003,0.036,,,3258,1198,0.94,0.993
MDDadult_casevsCN_late,L_inferiortemporal,0.062,0.036,,,3294,1196,0.081,0.425
MDDadult_casevsCN_late,L_isthmuscingulate,0.111,0.046,,,3312,1208,0.017,0.361
MDDadult_casevsCN_late,L_lateraloccipital,0.059,0.035,,,3304,1206,0.097,0.425
MDDadult_casevsCN_late,L_lateralorbitofrontal,0.072,0.059,,,3326,1213,0.225,0.682
MDDadult_casevsCN_late,L_lingual,0.022,0.036,,,3311,1207,0.53,0.819
MDDadult_casevsCN_late,L_medialorbitofrontal,0.064,0.046,,,3228,1193,0.165,0.578
MDDadult_casevsCN_late,L_middletemporal,0.002,0.036,,,3201,1150,0.957,0.993
MDDadult_casevsCN_late,L_parahippocampal,0.015,0.036,,,3266,1200,0.683,0.907
MDDadult_casevsCN_late,L_paracentral,0.02,0.036,,,3218,1179,0.583,0.838
MDDadult_casevsCN_late,L_parsopercularis,-0.014,0.038,,,3290,1203,0.705,0.907
MDDadult_casevsCN_late,L_parsorbitalis,0.036,0.035,,,3319,1213,0.313,0.697
MDDadult_casevsCN_late,L_parstriangularis,-0.054,0.037,,,3305,1207,0.145,0.535
MDDadult_casevsCN_late,L_pericalcarine,-0.003,0.035,,,3325,1208,0.93,0.993
MDDadult_casevsCN_late,L_postcentral,0.039,0.036,,,3242,1186,0.273,0.682
