CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadult_casevsCN,L_bankssts,-0.058,0.031,-0.118,0.002,7571,1781,0.059,0.173
MDDadult_casevsCN,L_caudalanteriorcingulate,-0.042,0.036,-0.113,0.028,7650,1900,0.24,0.377
MDDadult_casevsCN,L_caudalmiddlefrontal,-0.014,0.041,-0.094,0.067,7647,1898,0.741,0.844
MDDadult_casevsCN,L_cuneus,0.047,0.03,-0.012,0.106,7652,1897,0.12,0.246
MDDadult_casevsCN,L_entorhinal,-0.041,0.038,-0.115,0.033,7605,1866,0.276,0.42
MDDadult_casevsCN,L_fusiform,-0.117,0.03,-0.176,-0.058,7645,1896,9.51E-05,0.007
MDDadult_casevsCN,L_inferiorparietal,-0.063,0.044,-0.149,0.022,7638,1894,0.147,0.277
MDDadult_casevsCN,L_inferiortemporal,-0.049,0.035,-0.117,0.019,7630,1872,0.158,0.291
MDDadult_casevsCN,L_isthmuscingulate,-0.104,0.046,-0.194,-0.014,7655,1897,0.024,0.1
MDDadult_casevsCN,L_lateraloccipital,-0.023,0.044,-0.109,0.063,7645,1898,0.605,0.756
MDDadult_casevsCN,L_lateralorbitofrontal,-0.046,0.031,-0.107,0.014,7638,1898,0.13,0.26
MDDadult_casevsCN,L_lingual,0.006,0.03,-0.053,0.065,7640,1900,0.843,0.91
MDDadult_casevsCN,L_medialorbitofrontal,-0.134,0.038,-0.208,-0.059,7609,1888,0.000435,0.015
MDDadult_casevsCN,L_middletemporal,-0.09,0.031,-0.151,-0.028,7591,1822,0.004,0.034
MDDadult_casevsCN,L_parahippocampal,-0.072,0.033,-0.137,-0.007,7648,1896,0.03,0.103
MDDadult_casevsCN,L_paracentral,-0.003,0.035,-0.072,0.066,7650,1899,0.932,0.932
MDDadult_casevsCN,L_parsopercularis,-0.063,0.03,-0.122,-0.004,7655,1897,0.037,0.123
MDDadult_casevsCN,L_parsorbitalis,-0.073,0.044,-0.158,0.012,7653,1900,0.094,0.212
MDDadult_casevsCN,L_parstriangularis,-0.054,0.03,-0.112,0.005,7651,1897,0.074,0.185
MDDadult_casevsCN,L_pericalcarine,0.094,0.049,-0.003,0.191,7645,1894,0.057,0.173
MDDadult_casevsCN,L_postcentral,0.036,0.03,-0.023,0.095,7630,1894,0.227,0.37
MDDadult_casevsCN,L_posteriorcingulate,-0.099,0.03,-0.158,-0.04,7654,1900,0.001,0.018
MDDadult_casevsCN,L_precentral,-0.02,0.031,-0.08,0.04,7637,1895,0.516,0.681
MDDadult_casevsCN,L_precuneus,-0.024,0.039,-0.101,0.053,7649,1893,0.541,0.701
MDDadult_casevsCN,L_rostralanteriorcingulate,-0.13,0.044,-0.216,-0.044,7656,1896,0.003,0.03
MDDadult_casevsCN,L_rostralmiddlefrontal,-0.037,0.03,-0.096,0.022,7653,1899,0.224,0.37
MDDadult_casevsCN,L_superiorfrontal,-0.066,0.03,-0.125,-0.008,7652,1899,0.027,0.103
MDDadult_casevsCN,L_superiorparietal,-0.005,0.04,-0.084,0.074,7645,1896,0.897,0.91
MDDadult_casevsCN,L_superiortemporal,0.012,0.031,-0.048,0.072,7551,1806,0.687,0.823
