SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_firstepisode,n_recurrent,pobs,fdr_p
MDDadult_firstepisodevsrecurrent,L_bankssts,0.02,0.056,,,497,1030,0.727,0.987
MDDadult_firstepisodevsrecurrent,L_caudalanteriorcingulate,0.078,0.055,,,529,1099,0.15,0.987
MDDadult_firstepisodevsrecurrent,L_caudalmiddlefrontal,0.066,0.08,,,528,1101,0.414,0.987
MDDadult_firstepisodevsrecurrent,L_cuneus,-0.045,0.097,,,530,1107,0.644,0.987
MDDadult_firstepisodevsrecurrent,L_entorhinal,-0.016,0.069,,,514,1085,0.821,0.987
MDDadult_firstepisodevsrecurrent,L_fusiform,-0.036,0.063,,,518,1092,0.565,0.987
MDDadult_firstepisodevsrecurrent,L_inferiorparietal,-0.064,0.095,,,524,1100,0.498,0.987
MDDadult_firstepisodevsrecurrent,L_inferiortemporal,-0.011,0.054,,,532,1108,0.84,0.987
MDDadult_firstepisodevsrecurrent,L_isthmuscingulate,0.142,0.054,,,534,1107,0.009,0.642
MDDadult_firstepisodevsrecurrent,L_lateraloccipital,0.061,0.075,,,530,1109,0.419,0.987
MDDadult_firstepisodevsrecurrent,L_lateralorbitofrontal,0.012,0.075,,,534,1111,0.871,0.987
MDDadult_firstepisodevsrecurrent,L_lingual,0.007,0.082,,,530,1109,0.934,0.987
MDDadult_firstepisodevsrecurrent,L_medialorbitofrontal,0.051,0.062,,,522,1095,0.413,0.987
MDDadult_firstepisodevsrecurrent,L_middletemporal,0.021,0.075,,,513,1062,0.779,0.987
MDDadult_firstepisodevsrecurrent,L_parahippocampal,-0.116,0.078,,,530,1097,0.137,0.987
MDDadult_firstepisodevsrecurrent,L_paracentral,0.148,0.063,,,517,1093,0.019,0.655
MDDadult_firstepisodevsrecurrent,L_parsopercularis,0.038,0.079,,,529,1106,0.626,0.987
MDDadult_firstepisodevsrecurrent,L_parsorbitalis,0.012,0.054,,,535,1110,0.821,0.987
MDDadult_firstepisodevsrecurrent,L_parstriangularis,0.005,0.084,,,534,1107,0.956,0.987
MDDadult_firstepisodevsrecurrent,L_pericalcarine,-0.012,0.078,,,534,1110,0.874,0.987
MDDadult_firstepisodevsrecurrent,L_postcentral,0.027,0.064,,,523,1090,0.667,0.987
MDDadult_firstepisodevsrecurrent,L_posteriorcingulate,0.029,0.091,,,533,1108,0.751,0.987
MDDadult_firstepisodevsrecurrent,L_precentral,0.037,0.069,,,525,1101,0.589,0.987
MDDadult_firstepisodevsrecurrent,L_precuneus,0.044,0.054,,,533,1107,0.422,0.987
MDDadult_firstepisodevsrecurrent,L_rostralanteriorcingulate,0.071,0.055,,,518,1091,0.194,0.987
MDDadult_firstepisodevsrecurrent,L_rostralmiddlefrontal,-0.01,0.086,,,533,1108,0.904,0.987
MDDadult_firstepisodevsrecurrent,L_superiorfrontal,0.017,0.06,,,526,1097,0.775,0.987
MDDadult_firstepisodevsrecurrent,L_superiorparietal,0.059,0.071,,,528,1096,0.403,0.987
MDDadult_firstepisodevsrecurrent,L_superiortemporal,0.017,0.089,,,513,1070,0.853,0.987
MDDadult_firstepisodevsrecurrent,L_supramarginal,0.037,0.098,,,515,1085,0.704,0.987
MDDadult_firstepisodevsrecurrent,L_frontalpole,-0.114,0.091,,,535,1110,0.21,0.987
MDDadult_firstepisodevsrecurrent,L_temporalpole,0.005,0.054,,,530,1109,0.93,0.987
MDDadult_firstepisodevsrecurrent,L_transversetemporal,0.033,0.103,,,534,1110,0.749,0.987
MDDadult_firstepisodevsrecurrent,L_insula,-0.006,0.054,,,534,1110,0.917,0.987
MDDadult_firstepisodevsrecurrent,R_bankssts,-0.027,0.055,,,514,1056,0.62,0.987
MDDadult_firstepisodevsrecurrent,R_caudalanteriorcingulate,0.019,0.085,,,528,1103,0.827,0.987
MDDadult_firstepisodevsrecurrent,R_caudalmiddlefrontal,-0.057,0.054,,,529,1105,0.295,0.987
MDDadult_firstepisodevsrecurrent,R_cuneus,-0.008,0.081,,,531,1110,0.918,0.987
MDDadult_firstepisodevsrecurrent,R_entorhinal,0.004,0.07,,,506,1071,0.952,0.987
MDDadult_firstepisodevsrecurrent,R_fusiform,-0.046,0.055,,,517,1091,0.401,0.987
MDDadult_firstepisodevsrecurrent,R_inferiorparietal,-0.084,0.083,,,526,1095,0.314,0.987
MDDadult_firstepisodevsrecurrent,R_inferiortemporal,0.028,0.054,,,534,1110,0.612,0.987
MDDadult_firstepisodevsrecurrent,R_isthmuscingulate,-0.043,0.078,,,535,1108,0.584,0.987
MDDadult_firstepisodevsrecurrent,R_lateraloccipital,0.054,0.086,,,533,1110,0.533,0.987
MDDadult_firstepisodevsrecurrent,R_lateralorbitofrontal,-0.008,0.054,,,535,1111,0.881,0.987
MDDadult_firstepisodevsrecurrent,R_lingual,0.055,0.054,,,534,1109,0.312,0.987
MDDadult_firstepisodevsrecurrent,R_medialorbitofrontal,0.007,0.118,,,529,1100,0.951,0.987
MDDadult_firstepisodevsrecurrent,R_middletemporal,-0.002,0.109,,,527,1092,0.987,0.987
MDDadult_firstepisodevsrecurrent,R_parahippocampal,-0.018,0.055,,,529,1100,0.737,0.987
MDDadult_firstepisodevsrecurrent,R_paracentral,0.075,0.055,,,526,1099,0.17,0.987
MDDadult_firstepisodevsrecurrent,R_parsopercularis,0.013,0.054,,,528,1105,0.807,0.987
MDDadult_firstepisodevsrecurrent,R_parsorbitalis,0.011,0.102,,,534,1110,0.916,0.987
MDDadult_firstepisodevsrecurrent,R_parstriangularis,0.026,0.079,,,530,1108,0.741,0.987
MDDadult_firstepisodevsrecurrent,R_pericalcarine,0.022,0.054,,,534,1111,0.686,0.987
MDDadult_firstepisodevsrecurrent,R_postcentral,-0.038,0.098,,,531,1088,0.694,0.987
MDDadult_firstepisodevsrecurrent,R_posteriorcingulate,-0.013,0.09,,,533,1111,0.884,0.987
MDDadult_firstepisodevsrecurrent,R_precentral,0.049,0.055,,,530,1099,0.372,0.987
MDDadult_firstepisodevsrecurrent,R_precuneus,0.06,0.054,,,532,1110,0.265,0.987
MDDadult_firstepisodevsrecurrent,R_rostralanteriorcingulate,0.037,0.08,,,526,1098,0.639,0.987
MDDadult_firstepisodevsrecurrent,R_rostralmiddlefrontal,-0.029,0.091,,,530,1104,0.753,0.987
MDDadult_firstepisodevsrecurrent,R_superiorfrontal,0.005,0.087,,,523,1099,0.954,0.987
MDDadult_firstepisodevsrecurrent,R_superiorparietal,0.043,0.055,,,529,1095,0.435,0.987
MDDadult_firstepisodevsrecurrent,R_superiortemporal,-0.005,0.093,,,516,1084,0.96,0.987
MDDadult_firstepisodevsrecurrent,R_supramarginal,0.028,0.092,,,521,1091,0.758,0.987
MDDadult_firstepisodevsrecurrent,R_frontalpole,-0.069,0.102,,,535,1109,0.499,0.987
MDDadult_firstepisodevsrecurrent,R_temporalpole,0.056,0.055,,,527,1100,0.309,0.987
MDDadult_firstepisodevsrecurrent,R_transversetemporal,0.05,0.098,,,535,1111,0.61,0.987
MDDadult_firstepisodevsrecurrent,R_insula,-0.032,0.054,,,533,1107,0.555,0.987
