CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_firstepisode,n_recurrent,pobs,fdr_p
MDDadult_firstepisodevsrecurrent,L_bankssts,0.08,0.056,,,512,1046,0.15,0.948
MDDadult_firstepisodevsrecurrent,L_caudalanteriorcingulate,0.064,0.075,,,534,1111,0.389,0.987
MDDadult_firstepisodevsrecurrent,L_caudalmiddlefrontal,0.005,0.058,,,534,1109,0.931,0.987
MDDadult_firstepisodevsrecurrent,L_cuneus,0.007,0.067,,,534,1111,0.912,0.987
MDDadult_firstepisodevsrecurrent,L_entorhinal,0.05,0.068,,,535,1108,0.469,0.987
MDDadult_firstepisodevsrecurrent,L_fusiform,0.046,0.054,,,535,1109,0.401,0.987
MDDadult_firstepisodevsrecurrent,L_inferiorparietal,-0.005,0.054,,,533,1109,0.932,0.987
MDDadult_firstepisodevsrecurrent,L_inferiortemporal,0.006,0.107,,,533,1110,0.958,0.987
MDDadult_firstepisodevsrecurrent,L_isthmuscingulate,-0.027,0.054,,,535,1110,0.624,0.987
MDDadult_firstepisodevsrecurrent,L_lateraloccipital,0.009,0.054,,,535,1110,0.868,0.987
MDDadult_firstepisodevsrecurrent,L_lateralorbitofrontal,0.052,0.054,,,534,1108,0.339,0.987
MDDadult_firstepisodevsrecurrent,L_lingual,0.104,0.088,,,530,1110,0.235,0.987
MDDadult_firstepisodevsrecurrent,L_medialorbitofrontal,0.004,0.054,,,532,1104,0.939,0.987
MDDadult_firstepisodevsrecurrent,L_middletemporal,0.021,0.059,,,523,1072,0.729,0.987
MDDadult_firstepisodevsrecurrent,L_parahippocampal,0.004,0.078,,,534,1110,0.958,0.987
MDDadult_firstepisodevsrecurrent,L_paracentral,0.005,0.054,,,534,1110,0.928,0.987
MDDadult_firstepisodevsrecurrent,L_parsopercularis,0.033,0.054,,,533,1111,0.546,0.987
MDDadult_firstepisodevsrecurrent,L_parsorbitalis,0.02,0.055,,,535,1111,0.722,0.987
MDDadult_firstepisodevsrecurrent,L_parstriangularis,0.008,0.063,,,535,1109,0.897,0.987
MDDadult_firstepisodevsrecurrent,L_pericalcarine,0.018,0.054,,,534,1108,0.743,0.987
MDDadult_firstepisodevsrecurrent,L_postcentral,0.051,0.054,,,535,1106,0.345,0.987
MDDadult_firstepisodevsrecurrent,L_posteriorcingulate,-0.025,0.054,,,535,1111,0.646,0.987
MDDadult_firstepisodevsrecurrent,L_precentral,-0.008,0.054,,,533,1110,0.883,0.987
MDDadult_firstepisodevsrecurrent,L_precuneus,-0.008,0.054,,,531,1110,0.88,0.987
MDDadult_firstepisodevsrecurrent,L_rostralanteriorcingulate,0,0.078,,,535,1109,0.995,0.995
MDDadult_firstepisodevsrecurrent,L_rostralmiddlefrontal,0.028,0.071,,,534,1109,0.694,0.987
MDDadult_firstepisodevsrecurrent,L_superiorfrontal,0.078,0.054,,,534,1109,0.149,0.948
MDDadult_firstepisodevsrecurrent,L_superiorparietal,-0.001,0.054,,,534,1109,0.987,0.995
MDDadult_firstepisodevsrecurrent,L_superiortemporal,0.033,0.063,,,522,1079,0.598,0.987
MDDadult_firstepisodevsrecurrent,L_supramarginal,0.029,0.054,,,530,1099,0.59,0.987
MDDadult_firstepisodevsrecurrent,L_frontalpole,0.22,0.091,,,534,1110,0.016,0.948
MDDadult_firstepisodevsrecurrent,L_temporalpole,0.127,0.124,,,534,1108,0.304,0.987
MDDadult_firstepisodevsrecurrent,L_transversetemporal,0.087,0.068,,,531,1109,0.202,0.987
MDDadult_firstepisodevsrecurrent,L_insula,0.098,0.054,,,535,1111,0.072,0.948
MDDadult_firstepisodevsrecurrent,R_bankssts,0.03,0.055,,,520,1062,0.592,0.987
MDDadult_firstepisodevsrecurrent,R_caudalanteriorcingulate,0.078,0.054,,,535,1111,0.152,0.948
MDDadult_firstepisodevsrecurrent,R_caudalmiddlefrontal,0.039,0.086,,,534,1111,0.649,0.987
MDDadult_firstepisodevsrecurrent,R_cuneus,-0.031,0.054,,,535,1110,0.562,0.987
MDDadult_firstepisodevsrecurrent,R_entorhinal,0.013,0.054,,,534,1110,0.811,0.987
MDDadult_firstepisodevsrecurrent,R_fusiform,0.036,0.054,,,535,1111,0.511,0.987
MDDadult_firstepisodevsrecurrent,R_inferiorparietal,0.018,0.054,,,534,1107,0.744,0.987
MDDadult_firstepisodevsrecurrent,R_inferiortemporal,0.012,0.085,,,534,1110,0.884,0.987
MDDadult_firstepisodevsrecurrent,R_isthmuscingulate,0.079,0.054,,,534,1110,0.145,0.948
MDDadult_firstepisodevsrecurrent,R_lateraloccipital,0.05,0.091,,,535,1109,0.585,0.987
MDDadult_firstepisodevsrecurrent,R_lateralorbitofrontal,0.075,0.054,,,535,1111,0.167,0.948
MDDadult_firstepisodevsrecurrent,R_lingual,0.111,0.069,,,532,1108,0.105,0.948
MDDadult_firstepisodevsrecurrent,R_medialorbitofrontal,-0.012,0.054,,,535,1107,0.822,0.987
MDDadult_firstepisodevsrecurrent,R_middletemporal,-0.003,0.054,,,533,1105,0.956,0.987
MDDadult_firstepisodevsrecurrent,R_parahippocampal,-0.038,0.112,,,535,1110,0.737,0.987
MDDadult_firstepisodevsrecurrent,R_paracentral,0.115,0.054,,,534,1111,0.034,0.948
MDDadult_firstepisodevsrecurrent,R_parsopercularis,0.094,0.057,,,534,1109,0.099,0.948
MDDadult_firstepisodevsrecurrent,R_parsorbitalis,0.067,0.054,,,535,1111,0.214,0.987
MDDadult_firstepisodevsrecurrent,R_parstriangularis,0.031,0.054,,,535,1108,0.563,0.987
MDDadult_firstepisodevsrecurrent,R_pericalcarine,-0.05,0.105,,,535,1109,0.633,0.987
MDDadult_firstepisodevsrecurrent,R_postcentral,0.06,0.061,,,533,1109,0.327,0.987
MDDadult_firstepisodevsrecurrent,R_posteriorcingulate,0.062,0.061,,,535,1111,0.309,0.987
MDDadult_firstepisodevsrecurrent,R_precentral,0.031,0.054,,,535,1108,0.572,0.987
MDDadult_firstepisodevsrecurrent,R_precuneus,0.042,0.065,,,533,1109,0.514,0.987
MDDadult_firstepisodevsrecurrent,R_rostralanteriorcingulate,0.068,0.079,,,535,1111,0.387,0.987
MDDadult_firstepisodevsrecurrent,R_rostralmiddlefrontal,0.037,0.054,,,533,1110,0.498,0.987
MDDadult_firstepisodevsrecurrent,R_superiorfrontal,0.037,0.054,,,535,1110,0.5,0.987
MDDadult_firstepisodevsrecurrent,R_superiorparietal,0.03,0.054,,,535,1111,0.575,0.987
MDDadult_firstepisodevsrecurrent,R_superiortemporal,0.059,0.065,,,521,1090,0.359,0.987
MDDadult_firstepisodevsrecurrent,R_supramarginal,0.112,0.083,,,527,1099,0.176,0.948
MDDadult_firstepisodevsrecurrent,R_frontalpole,0.163,0.118,,,533,1110,0.166,0.948
MDDadult_firstepisodevsrecurrent,R_temporalpole,-0.009,0.09,,,533,1109,0.921,0.987
MDDadult_firstepisodevsrecurrent,R_transversetemporal,0.048,0.054,,,532,1107,0.373,0.987
MDDadult_firstepisodevsrecurrent,R_insula,0.102,0.054,,,535,1111,0.061,0.948
