SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDearly_casevsCN,Laccumb,-0.058,0.056,-0.167,0.052,2504,526,0.302,
MDDearly_casevsCN,Lamyg,-0.117,0.055,-0.225,-0.01,2612,537,0.033,
MDDearly_casevsCN,Lcaud,0.02,0.073,-0.123,0.163,2597,529,0.783,
MDDearly_casevsCN,Lhippo,-0.205,0.056,-0.314,-0.096,2603,533,2.31E-04,
MDDearly_casevsCN,Lpal,0.047,0.06,-0.071,0.165,2572,526,0.434,
MDDearly_casevsCN,Lput,0.02,0.067,-0.111,0.151,2533,525,0.763,
MDDearly_casevsCN,Lthal,-0.067,0.055,-0.175,0.042,2603,531,0.228,
MDDearly_casevsCN,LLatVent,0.145,0.055,0.037,0.253,2628,533,8.50E-03,
MDDearly_casevsCN,Raccumb,-0.058,0.056,-0.167,0.052,2504,526,0.302,
MDDearly_casevsCN,Ramyg,-0.117,0.055,-0.225,-0.01,2612,537,0.033,
MDDearly_casevsCN,Rcaud,0.02,0.073,-0.123,0.163,2597,529,0.783,
MDDearly_casevsCN,Rhippo,-0.205,0.056,-0.314,-0.096,2603,533,2.31E-04,
MDDearly_casevsCN,Rpal,0.047,0.06,-0.071,0.165,2572,526,0.434,
MDDearly_casevsCN,Rput,0.02,0.067,-0.111,0.151,2533,525,0.763,
MDDearly_casevsCN,Rthal,-0.067,0.055,-0.175,0.042,2603,531,0.228,
MDDearly_casevsCN,RLatVent,0.145,0.055,0.037,0.253,2628,533,8.50E-03,
