SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDfirstepisode_casevsCN,Laccumb,-0.043,0.04,-0.121,0.036,6905,1076,0.288,
MDDfirstepisode_casevsCN,Lamyg,-0.07,0.04,-0.148,0.008,6998,1100,0.077,
MDDfirstepisode_casevsCN,Lcaud,0.015,0.052,-0.086,0.117,6972,1082,0.768,
MDDfirstepisode_casevsCN,Lhippo,-0.174,0.04,-0.252,-0.096,6978,1102,1.12E-05,
MDDfirstepisode_casevsCN,Lpal,0.01,0.04,-0.069,0.089,6956,1073,0.799,
MDDfirstepisode_casevsCN,Lput,0.045,0.043,-0.039,0.128,6895,1073,0.294,
MDDfirstepisode_casevsCN,Lthal,0.001,0.04,-0.078,0.079,6984,1090,0.99,
MDDfirstepisode_casevsCN,LLatVent,0.067,0.04,-0.01,0.145,6996,1096,0.089,
MDDfirstepisode_casevsCN,Raccumb,-0.043,0.04,-0.121,0.036,6905,1076,0.288,
MDDfirstepisode_casevsCN,Ramyg,-0.07,0.04,-0.148,0.008,6998,1100,0.077,
MDDfirstepisode_casevsCN,Rcaud,0.015,0.052,-0.086,0.117,6972,1082,0.768,
MDDfirstepisode_casevsCN,Rhippo,-0.174,0.04,-0.252,-0.096,6978,1102,1.12E-05,
MDDfirstepisode_casevsCN,Rpal,0.01,0.04,-0.069,0.089,6956,1073,0.799,
MDDfirstepisode_casevsCN,Rput,0.045,0.043,-0.039,0.128,6895,1073,0.294,
MDDfirstepisode_casevsCN,Rthal,0.001,0.04,-0.078,0.079,6984,1090,0.99,
MDDfirstepisode_casevsCN,RLatVent,0.067,0.04,-0.01,0.145,6996,1096,0.089,
