SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_early,n_late,pobs,fdr_p
OCDadult_latevsearly,Laccumb,-0.021,0.065,-0.148,0.106,612,780,0.745,
OCDadult_latevsearly,Lamyg,-0.014,0.068,-0.147,0.118,605,775,0.833,
OCDadult_latevsearly,Lcaud,-0.138,0.056,-0.247,-0.029,600,772,0.013,
OCDadult_latevsearly,Lhippo,-0.078,0.06,-0.195,0.039,600,772,0.194,
OCDadult_latevsearly,Lpal,-0.091,0.074,-0.236,0.055,551,723,0.222,
OCDadult_latevsearly,Lput,-0.081,0.055,-0.189,0.028,564,734,0.145,
OCDadult_latevsearly,Lthal,-0.091,0.056,-0.202,0.019,564,742,0.106,
OCDadult_latevsearly,LLatVent,0.038,0.052,-0.064,0.141,623,793,0.464,
OCDadult_latevsearly,Raccumb,-0.021,0.065,-0.148,0.106,612,780,0.745,
OCDadult_latevsearly,Ramyg,-0.014,0.068,-0.147,0.118,605,775,0.833,
OCDadult_latevsearly,Rcaud,-0.138,0.056,-0.247,-0.029,600,772,0.013,
OCDadult_latevsearly,Rhippo,-0.078,0.06,-0.195,0.039,600,772,0.194,
OCDadult_latevsearly,Rpal,-0.091,0.074,-0.236,0.055,551,723,0.222,
OCDadult_latevsearly,Rput,-0.081,0.055,-0.189,0.028,564,734,0.145,
OCDadult_latevsearly,Rthal,-0.091,0.056,-0.202,0.019,564,742,0.106,
OCDadult_latevsearly,RLatVent,0.038,0.052,-0.064,0.141,623,793,0.464,
