CorticalThickness,Structure,d.icv,se.icv,low.ci.icv,up.ci.icv,n.controls,n.patients,pobs,fdr.p
OCDadults_casevsCN,L_bankssts,-0.06,0.007,,,1284,1357,0.123,0.239
OCDadults_casevsCN,L_caudalanteriorcingulate,0.003,0.011,,,1415,1473,0.93,0.943
OCDadults_casevsCN,L_caudalmiddlefrontal,-0.09,0.006,,,1429,1478,0.016,0.077
OCDadults_casevsCN,L_cuneus,-0.042,0.005,,,1404,1465,0.258,0.393
OCDadults_casevsCN,L_entorhinal,-0.062,0.014,,,1318,1381,0.11,0.229
OCDadults_casevsCN,L_frontalpole,-0.048,0.012,,,1435,1490,0.194,0.315
OCDadults_casevsCN,L_fusiform,-0.109,0.005,,,1428,1488,0.004,0.058
OCDadults_casevsCN,L_inferiorparietal,-0.14,0.005,,,1364,1434,2.28E-04,0.008
OCDadults_casevsCN,L_inferiortemporal,-0.087,0.006,,,1383,1470,0.021,0.086
OCDadults_casevsCN,L_insula,-0.065,0.006,,,1414,1471,0.084,0.196
OCDadults_casevsCN,L_isthmuscingulate,-0.068,0.008,,,1431,1492,0.066,0.17
OCDadults_casevsCN,L_lateraloccipital,-0.074,0.005,,,1419,1480,0.046,0.143
OCDadults_casevsCN,L_lateralorbitofrontal,-0.096,0.006,,,1433,1494,0.01,0.067
OCDadults_casevsCN,L_lingual,-0.052,0.005,,,1427,1490,0.16,0.285
OCDadults_casevsCN,L_medialorbitofrontal,-0.084,0.007,,,1430,1490,0.024,0.092
OCDadults_casevsCN,L_middletemporal,-0.093,0.006,,,1320,1367,0.017,0.077
OCDadults_casevsCN,L_paracentral,-0.013,0.006,,,1430,1490,0.729,0.823
OCDadults_casevsCN,L_parahippocampal,-0.059,0.012,,,1424,1489,0.115,0.229
OCDadults_casevsCN,L_parsopercularis,-0.083,0.006,,,1427,1489,0.027,0.098
OCDadults_casevsCN,L_parsorbitalis,-0.05,0.008,,,1431,1489,0.181,0.308
OCDadults_casevsCN,L_parstriangularis,-0.032,0.006,,,1434,1491,0.387,0.511
OCDadults_casevsCN,L_pericalcarine,0.011,0.005,,,1406,1482,0.768,0.854
OCDadults_casevsCN,L_postcentral,-0.023,0.004,,,1403,1465,0.545,0.669
OCDadults_casevsCN,L_posteriorcingulate,-0.071,0.006,,,1431,1492,0.055,0.153
OCDadults_casevsCN,L_precentral,-0.023,0.005,,,1408,1471,0.532,0.665
OCDadults_casevsCN,L_precuneus,-0.097,0.005,,,1426,1493,0.009,0.067
OCDadults_casevsCN,L_rostralanteriorcingulate,-0.074,0.009,,,1415,1473,0.047,0.143
OCDadults_casevsCN,L_rostralmiddlefrontal,-0.095,0.005,,,1429,1485,0.011,0.069
OCDadults_casevsCN,L_superiorfrontal,-0.069,0.006,,,1413,1437,0.068,0.17
OCDadults_casevsCN,L_superiorparietal,-0.062,0.005,,,1417,1469,0.097,0.215
OCDadults_casevsCN,L_superiortemporal,-0.007,0.006,,,1296,1331,0.863,0.929
OCDadults_casevsCN,L_supramarginal,-0.052,0.006,,,1310,1363,0.185,0.308
OCDadults_casevsCN,L_temporalpole,0.034,0.013,,,1435,1493,0.354,0.486
OCDadults_casevsCN,L_transversetemporal,-0.004,0.008,,,1433,1493,0.912,0.939
OCDadults_casevsCN,R_bankssts,0.005,0.007,,,1321,1390,0.893,0.933
OCDadults_casevsCN,R_caudalanteriorcingulate,-0.038,0.009,,,1422,1482,0.305,0.45
OCDadults_casevsCN,R_caudalmiddlefrontal,-0.079,0.006,,,1423,1485,0.033,0.111
OCDadults_casevsCN,R_cuneus,-0.033,0.005,,,1401,1464,0.374,0.503
OCDadults_casevsCN,R_entorhinal,0.014,0.016,,,1244,1334,0.719,0.823
OCDadults_casevsCN,R_frontalpole,0.021,0.012,,,1434,1495,0.576,0.695
OCDadults_casevsCN,R_fusiform,-0.089,0.005,,,1428,1460,0.018,0.077
OCDadults_casevsCN,R_inferiorparietal,-0.14,0.005,,,1379,1452,2.16E-04,0.008
OCDadults_casevsCN,R_inferiortemporal,-0.059,0.006,,,1400,1488,0.115,0.229
OCDadults_casevsCN,R_insula,-0.065,0.007,,,1415,1462,0.084,0.196
OCDadults_casevsCN,R_isthmuscingulate,-0.052,0.007,,,1429,1496,0.163,0.285
OCDadults_casevsCN,R_lateraloccipital,-0.072,0.005,,,1421,1479,0.052,0.153
OCDadults_casevsCN,R_lateralorbitofrontal,-0.108,0.006,,,1431,1497,0.004,0.058
OCDadults_casevsCN,R_lingual,-0.044,0.005,,,1433,1492,0.24,0.373
OCDadults_casevsCN,R_medialorbitofrontal,-0.102,0.007,,,1428,1487,0.006,0.067
OCDadults_casevsCN,R_middletemporal,-0.098,0.006,,,1402,1467,0.009,0.067
OCDadults_casevsCN,R_paracentral,0.009,0.006,,,1432,1493,0.811,0.886
OCDadults_casevsCN,R_parahippocampal,-0.08,0.01,,,1420,1487,0.032,0.111
OCDadults_casevsCN,R_parsopercularis,-0.062,0.006,,,1418,1478,0.099,0.215
OCDadults_casevsCN,R_parsorbitalis,-0.069,0.008,,,1431,1495,0.064,0.17
OCDadults_casevsCN,R_parstriangularis,-0.056,0.006,,,1423,1462,0.133,0.244
OCDadults_casevsCN,R_pericalcarine,0.025,0.005,,,1409,1477,0.513,0.657
OCDadults_casevsCN,R_postcentral,0.036,0.005,,,1414,1473,0.336,0.47
OCDadults_casevsCN,R_posteriorcingulate,-0.057,0.006,,,1427,1492,0.128,0.243
OCDadults_casevsCN,R_precentral,-0.037,0.005,,,1405,1454,0.328,0.469
OCDadults_casevsCN,R_precuneus,-0.101,0.005,,,1429,1491,0.007,0.067
OCDadults_casevsCN,R_rostralanteriorcingulate,0.005,0.009,,,1413,1474,0.892,0.933
OCDadults_casevsCN,R_rostralmiddlefrontal,-0.091,0.005,,,1424,1493,0.015,0.077
OCDadults_casevsCN,R_superiorfrontal,-0.038,0.006,,,1410,1478,0.309,0.45
OCDadults_casevsCN,R_superiorparietal,-0.047,0.005,,,1411,1468,0.215,0.341
