SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDpediatric_casevsCN,L_bankssts,-0.028999999999999998,12.956,,,297,369,0.711,0.904
OCDpediatric_casevsCN,L_caudalanteriorcingulate,-0.11800000000000001,9.887,,,316,395,0.12300000000000001,0.414
OCDpediatric_casevsCN,L_caudalmiddlefrontal,-0.016,26.515,,,321,404,0.8320000000000001,0.925
OCDpediatric_casevsCN,L_cuneus,-0.095,14.4,,,320,402,0.21,0.507
OCDpediatric_casevsCN,L_entorhinal,0.017,6.002999999999999,,,287,369,0.8270000000000001,0.925
OCDpediatric_casevsCN,L_fusiform,-0.027000000000000003,27.44,,,314,398,0.722,0.904
OCDpediatric_casevsCN,L_inferiorparietal,-0.188,39.699,,,301,384,0.016,0.17800000000000002
OCDpediatric_casevsCN,L_inferiortemporal,0.04,32.639,,,315,397,0.601,0.904
OCDpediatric_casevsCN,L_isthmuscingulate,0.129,11.488,,,322,399,0.09,0.363
OCDpediatric_casevsCN,L_lateraloccipital,0.015,36.991,,,319,401,0.8440000000000001,0.925
OCDpediatric_casevsCN,L_lateralorbitofrontal,-0.17800000000000002,20.676,,,324,405,0.018000000000000002,0.17800000000000002
OCDpediatric_casevsCN,L_lingual,-0.04,29.503,,,321,402,0.6,0.904
OCDpediatric_casevsCN,L_medialorbitofrontal,-0.188,16.601,,,320,399,0.013000000000000001,0.17800000000000002
OCDpediatric_casevsCN,L_middletemporal,-0.102,24.564,,,309,388,0.187,0.484
OCDpediatric_casevsCN,L_parahippocampal,0.022000000000000002,7.946000000000001,,,317,394,0.769,0.925
OCDpediatric_casevsCN,L_paracentral,-0.171,13.115,,,321,402,0.024,0.193
OCDpediatric_casevsCN,L_parsopercularis,-0.065,18.873,,,319,398,0.39299999999999996,0.752
OCDpediatric_casevsCN,L_parsorbitalis,-0.113,5.994,,,322,402,0.134,0.414
OCDpediatric_casevsCN,L_parstriangularis,0.04,13.892999999999999,,,321,402,0.596,0.904
OCDpediatric_casevsCN,L_pericalcarine,-0.094,16.67,,,320,401,0.21600000000000003,0.507
OCDpediatric_casevsCN,L_postcentral,-0.129,31.244,,,312,390,0.09300000000000001,0.363
OCDpediatric_casevsCN,L_posteriorcingulate,-0.23,12.64,,,320,400,0.002,0.075
OCDpediatric_casevsCN,L_precentral,-0.028999999999999998,31.244,,,313,396,0.7040000000000001,0.904
OCDpediatric_casevsCN,L_precuneus,-0.08,29.526,,,320,402,0.294,0.644
OCDpediatric_casevsCN,L_rostralanteriorcingulate,-0.11800000000000001,10.89,,,316,394,0.122,0.414
OCDpediatric_casevsCN,L_rostralmiddlefrontal,-0.168,46.435,,,321,405,0.026000000000000002,0.193
OCDpediatric_casevsCN,L_superiorfrontal,-0.145,46.383,,,316,396,0.057,0.324
OCDpediatric_casevsCN,L_superiorparietal,-0.065,42.003,,,317,401,0.391,0.752
OCDpediatric_casevsCN,L_superiortemporal,-0.006,27.394000000000002,,,304,380,0.943,0.958
OCDpediatric_casevsCN,L_supramarginal,0.053,36.24,,,299,382,0.49700000000000005,0.89
OCDpediatric_casevsCN,L_frontalpole,-0.013999999999999999,2.71,,,323,404,0.857,0.925
