SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDpediatric_unmedicatedcasevsCN,Laccumb,-0.183,0.122,-0.422,0.056,203,111,0.134,
OCDpediatric_unmedicatedcasevsCN,Lamyg,-0.029,0.256,-0.53,0.473,188,89,0.911,
OCDpediatric_unmedicatedcasevsCN,Lcaud,-0.024,0.134,-0.288,0.239,198,109,0.855,
OCDpediatric_unmedicatedcasevsCN,Lhippo,0.239,0.141,-0.038,0.516,210,107,0.091,
OCDpediatric_unmedicatedcasevsCN,Lpal,-0.042,0.237,-0.506,0.423,174,87,0.86,
OCDpediatric_unmedicatedcasevsCN,Lput,-0.177,0.202,-0.572,0.219,204,104,0.382,
OCDpediatric_unmedicatedcasevsCN,Lthal,0.384,0.125,0.139,0.628,201,103,2.09E-03,
OCDpediatric_unmedicatedcasevsCN,LLatVent,-0.022,0.118,-0.253,0.209,216,115,0.85,
OCDpediatric_unmedicatedcasevsCN,Raccumb,-0.183,0.122,-0.422,0.056,203,111,0.134,
OCDpediatric_unmedicatedcasevsCN,Ramyg,-0.029,0.256,-0.53,0.473,188,89,0.911,
OCDpediatric_unmedicatedcasevsCN,Rcaud,-0.024,0.134,-0.288,0.239,198,109,0.855,
OCDpediatric_unmedicatedcasevsCN,Rhippo,0.239,0.141,-0.038,0.516,210,107,0.091,
OCDpediatric_unmedicatedcasevsCN,Rpal,-0.042,0.237,-0.506,0.423,174,87,0.86,
OCDpediatric_unmedicatedcasevsCN,Rput,-0.177,0.202,-0.572,0.219,204,104,0.382,
OCDpediatric_unmedicatedcasevsCN,Rthal,0.384,0.125,0.139,0.628,201,103,2.09E-03,
OCDpediatric_unmedicatedcasevsCN,RLatVent,-0.022,0.118,-0.253,0.209,216,115,0.85,
