Surface_Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsHY2PD,L_bankssts,0.100,9.58,-2.31,35.29,1.666,386,917,0.086,
HY1PDvsHY2PD,L_caudalanteriorcingulate,0.070,8.06,-5.52,26.10,1.624,435,1045,0.202,
HY1PDvsHY2PD,L_caudalmiddlefrontal,-0.060,19.75,-60.75,16.73,-0.974,432,1050,0.265,
HY1PDvsHY2PD,L_cuneus,-0.054,12.36,-35.91,12.58,-0.813,407,980,0.346,
HY1PDvsHY2PD,L_entorhinal,0.015,5.30,-8.99,11.80,0.343,428,1028,0.791,
HY1PDvsHY2PD,L_fusiform,-0.003,21.88,-44.15,41.70,-0.039,428,1038,0.955,
HY1PDvsHY2PD,L_inferiorparietal,-0.003,32.48,-65.81,61.61,-0.047,429,1015,0.948,
HY1PDvsHY2PD,L_inferiortemporal,-0.070,26,-84.27,17.75,-1.030,412,1022,0.201,
HY1PDvsHY2PD,L_isthmuscingulate,-0.047,9.78,-27.74,10.61,-0.831,436,1052,0.381,
HY1PDvsHY2PD,L_lateraloccipital,-0.068,32.87,-106.93,22.04,-0.897,424,1037,0.197,
HY1PDvsHY2PD,L_lateralorbitofrontal,-0.055,15.27,-45.04,14.87,-0.589,429,1054,0.323,
HY1PDvsHY2PD,L_lingual,-0.224,24.42,-148.78,-52.98,-3.329,429,1019,<0.001,
HY1PDvsHY2PD,L_medialorbitofrontal,0.004,12.79,-24.07,26.10,0.055,428,1042,0.937,
HY1PDvsHY2PD,L_middletemporal,-0.001,21.40,-42.34,41.63,-0.012,389,960,0.987,
HY1PDvsHY2PD,L_parahippocampal,0.009,6.24,-11.25,13.25,0.146,434,1054,0.873,
HY1PDvsHY2PD,L_paracentral,0.013,10.31,-17.72,22.74,0.185,435,1046,0.808,
HY1PDvsHY2PD,L_parsopercularis,-0.003,14.03,-28.20,26.83,-0.043,438,1053,0.961,
HY1PDvsHY2PD,L_parsorbitalis,-0.039,4.53,-12.18,5.60,-0.533,428,1049,0.468,
HY1PDvsHY2PD,L_parstriangularis,-0.047,10.70,-30.02,11.96,-0.725,428,1053,0.399,
HY1PDvsHY2PD,L_pericalcarine,-0.141,14.02,-62.82,-7.82,-2.588,414,975,0.012,
HY1PDvsHY2PD,L_postcentral,0.019,25.30,-40.78,58.46,0.214,407,1002,0.727,
HY1PDvsHY2PD,L_posteriorcingulate,0.018,13.08,-21.34,29.98,0.376,437,1056,0.741,
HY1PDvsHY2PD,L_precentral,0.033,27.14,-36.55,69.93,0.344,415,1009,0.539,
HY1PDvsHY2PD,L_precuneus,0.042,24.11,-28.51,66.06,0.510,434,1053,0.436,
HY1PDvsHY2PD,L_rostralanteriorcingulate,0.075,9.03,-5.28,30.16,1.514,428,1036,0.169,
HY1PDvsHY2PD,L_rostralmiddlefrontal,-0.095,37.97,-143.31,5.65,-1.257,427,1042,0.070,
HY1PDvsHY2PD,L_superiorfrontal,-0.093,39.29,-147.86,628,-1.007,426,1026,0.072,
HY1PDvsHY2PD,L_superiorparietal,-0.060,33.92,-104.22,28.86,-0.713,419,1019,0.267,
HY1PDvsHY2PD,L_superiortemporal,0.033,23.67,-32.06,60.83,0.391,381,902,0.544,
HY1PDvsHY2PD,L_supramarginal,-0.023,30.18,-72.06,46.36,-0.337,415,1001,0.670,
HY1PDvsHY2PD,L_frontalpole,0.029,1.99,-2.76,5.04,0.563,431,1052,0.565,
HY1PDvsHY2PD,L_temporalpole,-0.031,3.72,-9.35,5.24,-0.437,416,1005,0.581,
HY1PDvsHY2PD,L_transversetemporal,0.025,4.39,-6.58,10.64,0.446,437,1058,0.644,
HY1PDvsHY2PD,L_insula,0.028,12.74,-17.82,32.17,0.327,433,1052,0.573,
HY1PDvsHY2PD,R_bankssts,0.090,8.21,-2.43,29.77,1.499,420,1004,0.096,
HY1PDvsHY2PD,R_caudalanteriorcingulate,-0.015,9.25,-20.65,15.64,-0.328,433,1043,0.786,
HY1PDvsHY2PD,R_caudalmiddlefrontal,-0.025,19.64,-47.49,29.58,-0.431,433,1050,0.649,
HY1PDvsHY2PD,R_cuneus,0.023,12.43,-19.37,29.42,0.340,403,950,0.686,
HY1PDvsHY2PD,R_entorhinal,0.060,4.86,-4.26,14.81,1.503,422,998,0.278,
HY1PDvsHY2PD,R_fusiform,-0.047,21.85,-62.07,23.67,-0.624,433,1045,0.380,
HY1PDvsHY2PD,R_inferiorparietal,-0.042,36.66,-99.91,43.94,-0.526,424,1020,0.445,
HY1PDvsHY2PD,R_inferiortemporal,-0.008,23.25,-49.03,42.18,-0.112,426,1025,0.883,
HY1PDvsHY2PD,R_isthmuscingulate,-0.019,8.94,-20.74,14.35,-0.337,435,1047,0.721,
HY1PDvsHY2PD,R_lateraloccipital,-0.050,33.54,-96.95,34.66,-0.677,429,1036,0.353,
HY1PDvsHY2PD,R_lateralorbitofrontal,-0.111,16.63,-66.92,-1.68,-1.358,431,1050,0.039,
HY1PDvsHY2PD,R_lingual,-0.145,24.34,-112.34,-16.82,-2.129,421,995,0.008,
HY1PDvsHY2PD,R_medialorbitofrontal,-0.014,11.03,-24.56,18.70,-0.163,428,1038,0.790,
HY1PDvsHY2PD,R_middletemporal,0.026,21.58,-31.72,52.92,0.323,420,1018,0.623,
HY1PDvsHY2PD,R_parahippocampal,0.042,5.91,-7.00,16.18,0.691,433,1043,0.437,
HY1PDvsHY2PD,R_paracentral,0.017,12.61,-20.69,28.78,0.265,433,1041,0.748,
HY1PDvsHY2PD,R_parsopercularis,-0.111,12.41,-49.18,-0.48,-1.819,436,1053,0.046,
HY1PDvsHY2PD,R_parsorbitalis,-0.002,5.74,-11.46,11.05,-0.027,430,1050,0.971,
HY1PDvsHY2PD,R_parstriangularis,-0.053,13.88,-40.76,13.70,-0.942,430,1046,0.330,
HY1PDvsHY2PD,R_pericalcarine,-0.145,15.12,-68.11,-8.79,-2.590,398,934,0.011,
HY1PDvsHY2PD,R_postcentral,0.101,25.26,-4.42,94.68,1.147,412,994,0.074,
HY1PDvsHY2PD,R_posteriorcingulate,0.023,10.14,-15.36,24.43,0.388,438,1053,0.655,
HY1PDvsHY2PD,R_precentral,0.032,28.50,-38.42,73.38,0.358,424,1009,0.540,
HY1PDvsHY2PD,R_precuneus,0.067,26.14,-18.50,84.06,0.850,434,1050,0.210,
HY1PDvsHY2PD,R_rostralanteriorcingulate,-0.019,7.91,-18.35,12.68,-0.422,431,1040,0.720,
HY1PDvsHY2PD,R_rostralmiddlefrontal,-0.062,39.22,-122.89,30.97,-0.811,430,1050,0.241,
HY1PDvsHY2PD,R_superiorfrontal,-0.040,39.66,-107.71,47.90,-0.439,426,1027,0.451,
HY1PDvsHY2PD,R_superiorparietal,-0.055,33.78,-100.91,31.61,-0.652,429,1021,0.305,
HY1PDvsHY2PD,R_superiortemporal,0.083,20.43,-8.34,71.81,0.903,407,958,0.121,
HY1PDvsHY2PD,R_supramarginal,0.056,27.85,-25.79,83.50,0.803,423,1016,0.300,
HY1PDvsHY2PD,R_frontalpole,0.104,2.57,0.09,10.16,1.892,432,1053,0.046,
HY1PDvsHY2PD,R_temporalpole,-0.005,3.89,-8.02,7.24,-0.092,419,1000,0.920,
HY1PDvsHY2PD,R_transversetemporal,0.008,3.17,-5.76,6.68,0.135,438,1056,0.885,
HY1PDvsHY2PD,R_insula,0.027,14.95,-21.42,37.22,0.352,432,1043,0.597,
