Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
PDvsCN,L_bankssts,-0.003,5.76,-11.86,10.75,-0.056,1069,2059,0.923,
PDvsCN,L_caudalanteriorcingulate,0.051,4.85,-2.31,16.72,1.156,1168,2296,0.138,
PDvsCN,L_caudalmiddlefrontal,0.039,11.92,-9.98,36.78,0.605,1165,2297,0.261,
PDvsCN,L_cuneus,-0.112,7.50,-38.19,-8.79,-1.620,1110,2142,0.002,
PDvsCN,L_entorhinal,-0.026,3.18,-8.65,3.81,-0.586,1162,2260,0.446,
PDvsCN,L_fusiform,-0.040,12.92,-40.80,9.86,-0.497,1170,2274,0.231,
PDvsCN,L_inferiorparietal,-0.029,19.99,-56.47,21.92,-0.389,1127,2214,0.388,
PDvsCN,L_inferiortemporal,-0.059,15.61,-57.58,3.62,-0.840,1107,2214,0.084,
PDvsCN,L_isthmuscingulate,0.093,5.79,4.36,27.07,1.572,1171,2302,0.007,
PDvsCN,L_lateraloccipital,-0.118,20.05,-109.27,-30.63,-1.477,1151,2229,<0.001,
PDvsCN,L_lateralorbitofrontal,-0.028,9.35,-25.98,10.68,-0.302,1168,2305,0.413,
PDvsCN,L_lingual,-0.072,14.71,-59.77,-2.09,-1.038,1155,2241,0.036,
PDvsCN,L_medialorbitofrontal,-0.016,7.67,-18.55,11.51,-0.194,1160,2285,0.646,
PDvsCN,L_middletemporal,-0.092,13.42,-61.49,-8.88,-1.178,1087,2101,0.009,
PDvsCN,L_parahippocampal,0.032,3.64,-3.65,10.62,0.515,1170,2307,0.338,
PDvsCN,L_paracentral,0.103,6.42,6.56,31.73,1.441,1169,2291,0.003,
PDvsCN,L_parsopercularis,-0.014,8.65,-20.47,13.43,-0.222,1172,2303,0.684,
PDvsCN,L_parsorbitalis,-0.081,2.77,-12.15,-1.27,-1.080,1171,2295,0.016,
PDvsCN,L_parstriangularis,-0.011,6.62,-14.97,10.99,-0.161,1173,2292,0.764,
PDvsCN,L_pericalcarine,-0.074,8.98,-36.35,-1.13,-1.378,1113,2147,0.037,
PDvsCN,L_postcentral,0.036,15.16,-13.78,45.68,0.390,1132,2176,0.293,
PDvsCN,L_posteriorcingulate,0.056,6.95,-2.27,25,1.005,1169,239,0.102,
PDvsCN,L_precentral,0.038,16.81,-14.67,51.24,0.380,1126,2204,0.277,
PDvsCN,L_precuneus,-0.035,14.61,-43.63,13.67,-0.407,1171,2304,0.305,
PDvsCN,L_rostralanteriorcingulate,0.015,5.53,-8.42,13.27,0.296,1141,2280,0.661,
PDvsCN,L_rostralmiddlefrontal,-0.040,22.70,-72.08,16.95,-0.506,1171,2286,0.225,
PDvsCN,L_superiorfrontal,-0.028,24.22,-67.42,27.56,-0.286,1149,2259,0.411,
PDvsCN,L_superiorparietal,-0.073,20.97,-85.27,-3.06,-0.835,1150,2233,0.035,
PDvsCN,L_superiortemporal,-0.018,14.34,-35.30,20.94,-0.195,1062,2019,0.617,
PDvsCN,L_supramarginal,0.005,19.03,-34.53,40.09,0.073,1116,2181,0.884,
PDvsCN,L_frontalpole,-0.167,1.20,-8.89,-4.17,-3.081,1169,2307,<0.001,
PDvsCN,L_temporalpole,-0.050,2.21,-7.60,1.08,-0.691,1150,2217,0.141,
PDvsCN,L_transversetemporal,0.088,2.67,1.68,12.16,1.549,1174,2318,0.010,
PDvsCN,L_insula,0.018,7.98,-11.11,20.19,0.206,1160,2302,0.570,
PDvsCN,R_bankssts,0.036,4.86,-4.29,14.79,0.577,1131,2209,0.280,
PDvsCN,R_caudalanteriorcingulate,0.019,5.56,-7.17,14.08,0.425,1172,2291,0.566,
PDvsCN,R_caudalmiddlefrontal,-0.002,12.13,-24.40,23.17,-0.030,1166,2301,0.960,
PDvsCN,R_cuneus,-0.113,7.55,-38.38,-8.76,-1.572,1063,2106,0.002,
PDvsCN,R_entorhinal,-0.051,2.92,-9.97,1.48,-1.187,1143,2204,0.146,
PDvsCN,R_fusiform,-0.043,12.78,-41.49,8.61,-0.540,1171,2288,0.198,
PDvsCN,R_inferiorparietal,0.009,22.87,-38.86,50.82,0.114,1153,2229,0.794,
PDvsCN,R_inferiortemporal,-0.049,14.22,-48.32,7.44,-0.669,1128,2239,0.151,
PDvsCN,R_isthmuscingulate,0.100,5.22,5.42,25.0,1.696,1173,2296,0.003,
PDvsCN,R_lateraloccipital,-0.093,20.62,-96.70,-15.85,-1.220,1155,2247,0.006,
PDvsCN,R_lateralorbitofrontal,-0.053,10.18,-3.84,36.10,0.652,1170,2302,0.113,
PDvsCN,R_lingual,-0.114,14.60,-77.33,-20.08,-1.609,1118,2204,<0.001,
PDvsCN,R_medialorbitofrontal,-0.041,6.72,-21.44,4.90,-0.459,1160,2281,0.219,
PDvsCN,R_middletemporal,-0.077,13.28,-56.39,-4.30,-0.922,1136,2224,0.022,
PDvsCN,R_parahippocampal,0.076,3.33,1.00,14.06,1.154,1173,2293,0.024,
PDvsCN,R_paracentral,0.097,7.45,6.53,35.73,1.403,1172,2281,0.005,
PDvsCN,R_parsopercularis,-0.003,7.45,-15.29,13.90,-0.052,1168,2298,0.926,
PDvsCN,R_parsorbitalis,0.009,3.49,-5.96,7.71,0.116,1172,2299,0.802,
PDvsCN,R_parstriangularis,0.012,8.22,-13.36,18.88,0.194,1170,2285,0.737,
PDvsCN,R_pericalcarine,-0.060,9.42,-34.22,2.70,-1.065,1044,2076,0.094,
PDvsCN,R_postcentral,0.003,15.14,-30.85,28.54,-0.029,1136,2172,0.939,
PDvsCN,R_posteriorcingulate,0.056,6.07,-1.59,22.23,0.893,1172,2306,0.090,
PDvsCN,R_precentral,0.076,17.04,4.39,71.22,0.784,1134,2221,0.027,
PDvsCN,R_precuneus,0.014,15.43,-24.04,36.45,0.162,1172,2304,0.687,
PDvsCN,R_rostralanteriorcingulate,-0.002,4.76,-9.66,9,-0.050,1157,2284,0.944,
PDvsCN,R_rostralmiddlefrontal,-0.056,23.75,-86.60,6.52,-0.709,1168,2302,0.092,
PDvsCN,R_superiorfrontal,0.011,24.29,-39.72,55.52,0.118,1161,2261,0.745,
PDvsCN,R_superiorparietal,-0.014,20.47,48.78,31.49,-0.164,1160,2252,0.673,
PDvsCN,R_superiortemporal,0.006,12.27,-21.92,26.21,0.061,1113,2148,0.862,
PDvsCN,R_supramarginal,0.013,16.91,-27,39.33,0.172,1149,2215,0.715,
PDvsCN,R_frontalpole,-0.043,1.54,-5.05,0.98,-0.734,1171,2308,0.185,
PDvsCN,R_temporalpole,-0.035,2.32,-6.95,2.15,-0.564,1141,2219,0.301,
PDvsCN,R_transversetemporal,0.039,1.91,-1.59,5.91,0.649,1176,2318,0.259,
PDvsCN,R_insula,0.001,9.26,-17.98,18.31,0.007,1156,2294,0.986,
