CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY2PD_vsCN,L_bankssts,-0.104,0.010,-0.047,-0.008,-1.184,832,819,0.006,
HY2PD_vsCN,L_caudalanteriorcingulate,0.060,0.015,-0.008,0.050,0.815,901,928,0.150,
HY2PD_vsCN,L_caudalmiddlefrontal,-0.100,0.008,-0.038,-0.005,-0.884,898,933,0.011,
HY2PD_vsCN,L_cuneus,-0.121,0.008,-0.038,-0.009,-1.335,867,871,0.002,
HY2PD_vsCN,L_entorhinal,-0.115,0.018,-0.083,-0.015,-1.518,899,912,0.005,
HY2PD_vsCN,L_fusiform,-0.173,0.009,-0.057,-0.022,-1.531,901,922,<0.001,
HY2PD_vsCN,L_inferiorparietal,-0.175,0.008,-0.051,-0.020,-1.558,875,899,<0.001,
HY2PD_vsCN,L_inferiortemporal,-0.141,0.009,-0.050,-0.015,-1.219,867,905,<0.001,
HY2PD_vsCN,L_isthmuscingulate,-0.160,0.011,-0.061,-0.020,-1.731,904,933,<0.001,
HY2PD_vsCN,L_lateraloccipital,-0.131,0.008,-0.041,-0.010,-1.220,883,921,0.001,
HY2PD_vsCN,L_lateralorbitofrontal,-0.073,0.008,-0.033,<0.001,-0.647,900,936,0.054,
HY2PD_vsCN,L_lingual,-0.105,0.007,-0.034,-0.006,-1.028,891,903,0.006,
HY2PD_vsCN,L_medialorbitofrontal,-0.111,0.009,-0.040,-0.006,-0.996,898,924,0.007,
HY2PD_vsCN,L_middletemporal,-0.136,0.010,-0.051,-0.014,-1.214,846,854,<0.001,
HY2PD_vsCN,L_parahippocampal,-0.173,0.016,-0.097,-0.035,-2.533,902,937,<0.001,
HY2PD_vsCN,L_paracentral,-0.103,0.010,-0.044,-0.007,-1.134,901,929,0.008,
HY2PD_vsCN,L_parsopercularis,0.005,0.008,-0.015,0.017,0.041,905,935,0.902,
HY2PD_vsCN,L_parsorbitalis,-0.064,0.011,-0.038,0.004,-0.668,903,931,0.109,
HY2PD_vsCN,L_parstriangularis,-0.029,0.008,-0.022,0.010,-0.278,905,935,0.443,
HY2PD_vsCN,L_pericalcarine,-0.086,0.007,-0.031,-0.003,-1.092,870,865,0.016,
HY2PD_vsCN,L_postcentral,-0.095,0.007,-0.032,-0.004,-0.913,864,890,0.011,
HY2PD_vsCN,L_posteriorcingulate,-0.057,0.009,-0.030,0.005,-0.537,904,935,0.151,
HY2PD_vsCN,L_precentral,-0.071,0.009,-0.035,0.001,-0.702,860,898,0.070,
HY2PD_vsCN,L_precuneus,-0.150,0.008,-0.047,-0.017,-1.427,904,934,<0.001,
HY2PD_vsCN,L_rostralanteriorcingulate,0.020,0.013,-0.020,0.031,0.218,895,922,0.649,
HY2PD_vsCN,L_rostralmiddlefrontal,-0.033,0.007,-0.020,0.007,-0.286,901,924,0.360,
HY2PD_vsCN,L_superiorfrontal,-0.078,0.008,-0.032,<0.001,-0.629,894,909,0.045,
HY2PD_vsCN,L_superiorparietal,-0.134,0.007,-0.042,-0.013,-1.337,888,904,<0.001,
HY2PD_vsCN,L_superiortemporal,-0.102,0.009,-0.043,-0.006,-0.945,824,802,0.009,
HY2PD_vsCN,L_supramarginal,-0.093,0.008,-0.036,-0.003,-0.836,867,886,0.018,
HY2PD_vsCN,L_frontalpole,0.003,0.014,-0.027,0.029,0.034,902,935,0.950,
HY2PD_vsCN,L_temporalpole,-0.158,0.018,-0.099,-0.030,-1.811,886,890,<0.001,
HY2PD_vsCN,L_transversetemporal,-0.102,0.012,-0.053,-0.006,-1.355,905,939,0.013,
HY2PD_vsCN,L_insula,0.064,0.010,-0.034,0.005,-0.511,901,934,0.134,
HY2PD_vsCN,R_bankssts,-0.109,0.010,-0.048,-0.009,-1.185,870,887,0.005,
HY2PD_vsCN,R_caudalanteriorcingulate,0.001,0.013,-0.025,0.026,0.014,906,926,0.980,
