SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsHY2PD,Laccumb,0.007,6.68,-12.15,14.06,0.198,,1052,0.887,
HY1PDvsHY2PD,Lamyg,-0.018,12.56,-29.54,19.75,-0.334,,1052,0.697,
HY1PDvsHY2PD,Lcaud,-0.131,28.08,-126.00,-15.85,-2.023,,1054,0.012,
HY1PDvsHY2PD,Lhippo,-0.081,27.14,-96.69,9.79,-1.095,,1034,0.110,
HY1PDvsHY2PD,Lpal,0.015,15.69,-25.93,35.63,0.327,,1017,0.757,
HY1PDvsHY2PD,Lput,-0.009,38.54,-82.48,68.73,-0.139,,1026,0.858,
HY1PDvsHY2PD,Lthal,-0.069,46.97,-165.37,18.90,-0.993,,1009,0.119,
HY1PDvsHY2PD,LLatVent,-0.011,416.27,-901.35,731.74,-0.611,,1063,0.839,
HY1PDvsHY2PD,Raccumb,-0.037,6.43,-17.54,7.67,-0.990,,1045,0.443,
HY1PDvsHY2PD,Ramyg,-0.087,13.48,-51.79,1.09,-1.595,,1049,0.060,
HY1PDvsHY2PD,Rcaud,-0.106,28.02,-112.92,-2.99,-1.625,,1048,0.039,
HY1PDvsHY2PD,Rhippo,-0.093,27.30,-105.15,1.96,-1.262,,1047,0.059,
HY1PDvsHY2PD,Rpal,0.056,13.90,-11.69,42.84,1.048,,1044,0.263,
HY1PDvsHY2PD,Rput,-0.019,36.72,-86.26,57.79,-0.300,,1051,0.698,
HY1PDvsHY2PD,Rthal,-0.037,38.79,-106.90,45.28,-0.455,,1031,0.427,
HY1PDvsHY2PD,RLatVent,-0.017,394.62,-893.84,654.33,-0.919,,1063,0.762,
