SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY2PDvsCN,Laccumb,-0.062,5.75,-20.13,2.43,-1.85,895,926,0.124,
HY2PDvsCN,Lamyg,-0.159,11.07,-66.34,-22.91,-2.99,894,927,<0.001,
HY2PDvsCN,Lcaud,-0.113,22.67,-106.45,-17.53,-1.80,895,929,0.006,
HY2PDvsCN,Lhippo,-0.049,23.99,-76.2,17.91,-0.74,882,915,0.225,
HY2PDvsCN,Lpal,-0.074,12.81,-48.84,1.39,-1.60,812,893,0.064,
HY2PDvsCN,Lput,-0.152,33.36,-188.46,-57.61,-2.45,823,904,<0.001,
HY2PDvsCN,Lthal,0.075,41.06,1.79,162.86,1.15,865,892,0.045,
HY2PDvsCN,LLatVent,0.062,352.6,-201.64,1181.47,3.69,902,937,0.165,
HY2PDvsCN,Raccumb,-0.059,5.39,-18.56,2.57,-1.62,886,919,0.138,
HY2PDvsCN,Ramyg,-0.119,11.66,-56.24,-13.51,-2.28,891,924,0.002,
HY2PDvsCN,Rcaud,-0.075,22.71,-86.33,2.74,-1.20,904,925,0.066,
HY2PDvsCN,Rhippo,-0.040,23.8,-71.07,22.28,-0.60,888,922,0.305,
HY2PDvsCN,Rpal,-0.031,11.44,-31.48,13.39,-0.61,880,919,0.429,
HY2PDvsCN,Rput,-0.152,31.18,-180.78,-58.48,-2.49,866,926,<0.001,
HY2PDvsCN,Rthal,0.052,34.93,-22.46,114.54,0.69,878,911,0.188,
HY2PDvsCN,RLatVent,0.076,319.86,-83.85,1170.81,4.47,903,937,0.089,
