SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsHY4PDandHY5PD,Laccumb,-0.105,15.05,-44.35,14.87,-3.274,,82,0.328,
HY3PDvsHY4PDandHY5PD,Lamyg,-0.088,27.85,-75.03,34.56,-1.489,,83,0.468,
HY3PDvsHY4PDandHY5PD,Lcaud,-0.040,63.61,-146.25,104.03,-0.622,,82,0.740,
HY3PDvsHY4PDandHY5PD,Lhippo,-0.261,57.69,-237.20,-10.19,-3.289,,81,0.033,
HY3PDvsHY4PDandHY5PD,Lpal,-0.115,32.71,-101.25,27.49,-2.419,,82,0.260,
HY3PDvsHY4PDandHY5PD,Lput,-0.209,78.30,-290.95,17.23,-2.935,,79,0.082,
HY3PDvsHY4PDandHY5PD,Lthal,-0.191,93.47,-352.38,15.45,-2.381,,81,0.072,
HY3PDvsH4,LLatVent,0.163,1003.09,-665.26,3281.57,7.730,,83,0.193,
HY3PDvsHY4PDandHY5PD,Raccumb,-0.186,14.31,-51.09,5.21,-4.885,,81,0.110,
HY3PDvsHY4PDandHY5PD,Ramyg,-0.061,30.65,-76.61,44.01,-1.085,,83,0.595,
HY3PDvsHY4PDandHY5PD,Rcaud,0.067,65.82,-94.33,164.67,1.025,,81,0.593,
HY3PDvsHY4PDandHY5PD,Rhippo,-0.227,62.46,-242.67,3.09,-3.091,,82,0.056,
HY3PDvsHY4PDandHY5PD,Rpal,-0.109,30.95,-94.93,26.85,-2.271,,81,0.272,
HY3PDvsHY4PDandHY5PD,Rput,-0.286,77.75,-347.63,-41.68,-4.335,,81,0.013,
HY3PDvsHY4PDandHY5PD,Rthal,-0.133,82.58,-265.62,59.33,-1.570,,83,0.213,
HY3PDvsHY4PDandHY5PD,RLatVent,0.255,914.68,88.65,3687.81,12.150,,83,0.040,
