Subcortical Volume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY4PDandHY5PDvsCN,Laccumb,-0.294,14.46,-67.71,-10.86,-8.58,324,82,0.007,
HY4PDandHY5PDvsCN,Lamyg,-0.640,27.08,-216.90,-110.39,-11.61,323,83,<0.001,
HY4PDandHY5PDvsCN,Lcaud,-0.329,56.29,-287.96,-66.58,-5.20,327,82,0.002,
HY4PDandHY5PDvsCN,Lhippo,-0.546,55.09,-366.06,-149.37,-6.82,318,81,<0.001,
HY4PDandHY5PDvsCN,Lpal,-0.317,32.14,-165.54,-39.09,-6.97,292,83,0.002,
HY4PDandHY5PDvsCN,Lput,-0.423,78.06,-468.37,-161.27,-6.43,296,80,<0.001,
HY4PDandHY5PDvsCN,Lthal,-0.223,91.70,-383.62,-22.92,-2.99,310,81,0.027,
HY4PDandHY5PDvsCN,LLatVent,0.357,885.08,1021.08,4501.84,18.43,329,83,0.002,
HY4PDandHY5PDvsCN,Raccumb,-0.473,13.14,-85.79,-34.10,-12.46,320,81,<0.001,
HY4PDandHY5PDvsCN,Ramyg,-0.554,28.96,-211.68,-98.16,-9.98,322,83,<0.001,
HY4PDandHY5PDvsCN,Rcaud,-0.223,57.82,-238.27,-10.87,-3.62,329,81,0.032,
HY4PDandHY5PDvsCN,Rhippo,-0.616,58.09,-432.87,-204.39,-8.11,318,82,<0.001,
HY4PDandHY5PDvsCN,Rpal,-0.261,32.28,-146.49,-19.51,-5.67,314,82,0.011,
HY4PDandHY5PDvsCN,Rput,-0.473,77.40,-503.10,-198.66,-7.47,311,82,<0.001,
HY4PDandHY5PDvsCN,Rthal,-0.220,81.76,-337.90,-18.68,-2.77,317,82,0.029,
HY4PDandHY5PDvsCN,RLatVent,0.523,814.85,2122.56,5327.15,27.80,328,83,<0.001,
