SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
MoCAvsCN,Laccumb,-0.059,7.06,-25.56,2.13,-2.45,,1048,0.097,
MoCAvsCN,Lamyg,-0.110,13.56,-67.99,-14.79,-2.78,,1047,0.002,
MoCAvsCN,Lcaud,0.012,28.71,-47.29,65.30,0.26,,1044,0.754,
MoCAvsCN,Lhippo,0.033,27.79,-29.55,79.43,0.64,,1033,0.370,
MoCAvsCN,Lpal,0.073,15.81,3.92,65.92,2.33,,1023,0.027,
MoCAvsCN,Lput,-0.089,39.06,-171.41,-18.20,-1.88,,1024,0.015,
MoCAvsCN,Lthal,0.098,46.19,42.89,224.05,1.86,,1009,0.004,
MoCAvsCN,LLatVent,0.003,414.90,-785.06,842.25,0.21,,1051,0.945,
MoCAvsCN,Raccumb,-0.019,6.69,-16.49,9.74,-0.68,,1049,0.614,
MoCAvsCN,Ramyg,-0.044,14.09,-45.24,10.02,-1.11,,1049,0.211,
MoCAvsCN,Rcaud,0.020,29.35,-42.28,72.84,0.44,,1045,0.603,
MoCAvsCN,Rhippo,0.002,28.57,-54.75,57.32,0.03,,1046,0.964,
MoCAvsCN,Rpal,0.081,14.44,6.61,63.25,2.30,,1040,0.016,
MoCAvsCN,Rput,-0.102,37.67,-177.21,-29.47,-2.13,,1039,0.006,
MoCAvsCN,Rthal,0.080,39.06,10.90,164.10,1.31,,1023,0.025,
MoCAvsCN,RLatVent,0.041,376.93,-363.14,1115.23,3.03,,1051,0.319,
