SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<HC,L_bankssts,-0.08,,-0.15,0,,,0.04,
APS<HC,L_caudalanteriorcingulate,-0.02,,-0.09,0.06,,,0.64,
APS<HC,L_caudalmiddlefrontal,-0.06,,-0.14,0.01,,,0.10,
APS<HC,L_cuneus,-0.07,,-0.14,0.01,,,0.07,
APS<HC,L_entorhinal,-0.10,,-0.17,-0.02,,,9.54E-03,
APS<HC,L_fusiform,-0.05,,-0.13,0.02,,,0.16,
APS<HC,L_inferiorparietal,-0.06,,-0.13,0.02,,,0.13,
APS<HC,L_inferiortemporal,-0.04,,-0.11,0.04,,,0.32,
APS<HC,L_isthmuscingulate,-0.01,,-0.08,0.07,,,0.86,
APS<HC,L_lateraloccipital,-0.01,,-0.08,0.06,,,0.82,
APS<HC,L_lateralorbitofrontal,-0.03,,-0.10,0.04,,,0.43,
APS<HC,L_lingual,-0.05,,-0.13,0.02,,,0.15,
APS<HC,L_medialorbitofrontal,-0.02,,-0.1,0.05,,,0.56,
APS<HC,L_middletemporal,0,,-0.07,0.08,,,0.93,
APS<HC,L_parahippocampal,-0.04,,-0.11,0.03,,,0.29,
APS<HC,L_paracentral,-0.01,,-0.08,0.06,,,0.78,
APS<HC,L_parsopercularis,-0.08,,-0.16,-0.01,,,0.02,
APS<HC,L_parsorbitalis,0.01,,-0.07,0.08,,,0.83,
APS<HC,L_parstriangularis,-0.06,,-0.13,0.01,,,0.12,
APS<HC,L_pericalcarine,-0.06,,-0.14,0.01,,,0.09,
APS<HC,L_postcentral,0,,-0.07,0.08,,,0.93,
APS<HC,L_posteriorcingulate,-0.04,,-0.12,0.03,,,0.25,
APS<HC,L_precentral,0.04,,-0.03,0.12,,,0.26,
APS<HC,L_precuneus,-0.03,,-0.1,0.05,,,0.49,
APS<HC,L_rostralanteriorcingulate,-0.12,,-0.2,-0.05,,,1.05E-03,
APS<HC,L_rostralmiddlefrontal,-0.02,,-0.09,0.05,,,0.59,
APS<HC,L_superiorfrontal,-0.05,,-0.12,0.02,,,0.19,
APS<HC,L_superiorparietal,0.01,,-0.06,0.09,,,0.75,
APS<HC,L_superiortemporal,-0.04,,-0.11,0.03,,,0.30,
APS<HC,L_supramarginal,-0.11,,-0.19,-0.04,,,3.4E-03,
APS<HC,L_frontalpole,0.03,,-0.04,0.1,,,0.43,
APS<HC,L_temporalpole,-0.03,,-0.11,0.04,,,0.37,
APS<HC,L_transversetemporal,-0.06,,-0.13,0.02,,,0.14,
APS<HC,L_insula,-0.07,,-0.14,0.01,,,0.08,
APS<HC,R_bankssts,-0.08,,-0.15,-0.01,,,0.03,
APS<HC,R_caudalanteriorcingulate,-0.09,,-0.16,-0.01,,,0.02,
APS<HC,R_caudalmiddlefrontal,-0.04,,-0.11,0.03,,,0.28,
APS<HC,R_cuneus,-0.09,,-0.16,-0.01,,,0.02,
APS<HC,R_entorhinal,-0.04,,-0.11,0.04,,,0.35,
APS<HC,R_fusiform,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,R_inferiorparietal,-0.10,,-0.17,-0.03,,,7.38E-03,
APS<HC,R_inferiortemporal,-0.03,,-0.1,0.04,,,0.44,
APS<HC,R_isthmuscingulate,0.08,,0.01,0.15,,,0.04,
APS<HC,R_lateraloccipital,-0.02,,-0.09,0.05,,,0.59,
APS<HC,R_lateralorbitofrontal,-0.03,,-0.11,0.04,,,0.37,
APS<HC,R_lingual,-0.03,,-0.1,0.05,,,0.50,
APS<HC,R_medialorbitofrontal,-0.09,,-0.16,-0.02,,,0.02,
APS<HC,R_middletemporal,-0.07,,-0.15,0,,,0.06,
APS<HC,R_parahippocampal,0.06,,-0.02,0.13,,,0.12,
APS<HC,R_paracentral,0,,-0.07,0.08,,,0.94,
APS<HC,R_parsopercularis,-0.01,,-0.09,0.06,,,0.70,
APS<HC,R_parsorbitalis,0.02,,-0.05,0.09,,,0.58,
APS<HC,R_parstriangularis,0.01,,-0.06,0.09,,,0.73,
APS<HC,R_pericalcarine,-0.11,,-0.18,-0.03,,,5.36E-03,
APS<HC,R_postcentral,-0.04,,-0.11,0.03,,,0.29,
APS<HC,R_posteriorcingulate,-0.06,,-0.14,0.01,,,0.09,
APS<HC,R_precentral,0.01,,-0.07,0.08,,,0.83,
APS<HC,R_precuneus,-0.04,,-0.11,0.04,,,0.34,
APS<HC,R_rostralanteriorcingulate,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,R_rostralmiddlefrontal,-0.03,,-0.1,0.05,,,0.48,
APS<HC,R_superiorfrontal,-0.11,,-0.19,-0.04,,,2.57E-03,
APS<HC,R_superiorparietal,0.01,,-0.06,0.09,,,0.69,
APS<HC,R_superiortemporal,-0.06,,-0.13,0.02,,,0.13,
APS<HC,R_supramarginal,-0.06,,-0.13,0.02,,,0.14,
APS<HC,R_frontalpole,0.04,,-0.04,0.11,,,0.31,
APS<HC,R_temporalpole,0.02,,-0.05,0.1,,,0.52,
APS<HC,R_transversetemporal,-0.01,,-0.08,0.07,,,0.86,
APS<HC,R_insula,-0.05,,-0.12,0.03,,,0.23,
