SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<HC,L_bankssts,-0.07,,-0.28,0.15,,,0.54,
BIPS<HC,L_caudalanteriorcingulate,0.06,,-0.16,0.27,,,0.59,
BIPS<HC,L_caudalmiddlefrontal,-0.04,,-0.25,0.18,,,0.74,
BIPS<HC,L_cuneus,-0.06,,-0.28,0.16,,,0.60,
BIPS<HC,L_entorhinal,-0.12,,-0.33,0.1,,,0.29,
BIPS<HC,L_fusiform,0.06,,-0.15,0.28,,,0.58,
BIPS<HC,L_inferiorparietal,0.06,,-0.15,0.27,,,0.58,
BIPS<HC,L_inferiortemporal,0.17,,-0.04,0.39,,,0.11,
BIPS<HC,L_isthmuscingulate,-0.12,,-0.34,0.09,,,0.26,
BIPS<HC,L_lateraloccipital,0.20,,-0.02,0.41,,,0.07,
BIPS<HC,L_lateralorbitofrontal,-0.06,,-0.28,0.15,,,0.57,
BIPS<HC,L_lingual,-0.26,,-0.47,-0.04,,,0.02,
BIPS<HC,L_medialorbitofrontal,-0.02,,-0.23,0.2,,,0.87,
BIPS<HC,L_middletemporal,0.17,,-0.05,0.38,,,0.13,
BIPS<HC,L_parahippocampal,-0.14,,-0.35,0.07,,,0.20,
BIPS<HC,L_paracentral,0.15,,-0.06,0.36,,,0.17,
BIPS<HC,L_parsopercularis,-0.12,,-0.33,0.1,,,0.29,
BIPS<HC,L_parsorbitalis,0.08,,-0.13,0.29,,,0.46,
BIPS<HC,L_parstriangularis,-0.09,,-0.3,0.12,,,0.42,
BIPS<HC,L_pericalcarine,-0.14,,-0.36,0.08,,,0.23,
BIPS<HC,L_postcentral,0.04,,-0.18,0.25,,,0.73,
BIPS<HC,L_posteriorcingulate,0.02,,-0.2,0.23,,,0.89,
BIPS<HC,L_precentral,0.14,,-0.07,0.36,,,0.19,
BIPS<HC,L_precuneus,-0.02,,-0.24,0.19,,,0.83,
BIPS<HC,L_rostralanteriorcingulate,0.04,,-0.18,0.25,,,0.73,
BIPS<HC,L_rostralmiddlefrontal,0.11,,-0.1,0.32,,,0.31,
BIPS<HC,L_superiorfrontal,0.17,,-0.04,0.38,,,0.11,
BIPS<HC,L_superiorparietal,-0.04,,-0.25,0.17,,,0.71,
BIPS<HC,L_superiortemporal,-0.09,,-0.3,0.13,,,0.44,
BIPS<HC,L_supramarginal,-0.21,,-0.43,0,,,0.05,
BIPS<HC,L_frontalpole,0.05,,-0.16,0.27,,,0.62,
BIPS<HC,L_temporalpole,-0.08,,-0.3,0.13,,,0.44,
BIPS<HC,L_transversetemporal,-0.07,,-0.29,0.14,,,0.50,
BIPS<HC,L_insula,-0.17,,-0.39,0.04,,,0.12,
BIPS<HC,R_bankssts,0.02,,-0.19,0.24,,,0.82,
BIPS<HC,R_caudalanteriorcingulate,-0.03,,-0.25,0.18,,,0.75,
BIPS<HC,R_caudalmiddlefrontal,0.18,,-0.03,0.4,,,0.10,
BIPS<HC,R_cuneus,-0.11,,-0.33,0.1,,,0.31,
BIPS<HC,R_entorhinal,0.04,,-0.17,0.25,,,0.70,
BIPS<HC,R_fusiform,0.16,,-0.05,0.38,,,0.14,
BIPS<HC,R_inferiorparietal,0.02,,-0.19,0.24,,,0.83,
BIPS<HC,R_inferiortemporal,0.17,,-0.04,0.38,,,0.11,
BIPS<HC,R_isthmuscingulate,0.14,,-0.07,0.35,,,0.20,
BIPS<HC,R_lateraloccipital,0.10,,-0.12,0.31,,,0.37,
BIPS<HC,R_lateralorbitofrontal,-0.08,,-0.29,0.13,,,0.47,
BIPS<HC,R_lingual,-0.08,,-0.29,0.14,,,0.49,
BIPS<HC,R_medialorbitofrontal,-0.08,,-0.29,0.13,,,0.47,
BIPS<HC,R_middletemporal,0,,-0.21,0.21,,,0.99,
BIPS<HC,R_parahippocampal,0.09,,-0.13,0.3,,,0.42,
BIPS<HC,R_paracentral,0.02,,-0.19,0.24,,,0.82,
BIPS<HC,R_parsopercularis,0.10,,-0.12,0.31,,,0.38,
BIPS<HC,R_parsorbitalis,0,,-0.21,0.22,,,0.98,
BIPS<HC,R_parstriangularis,0.07,,-0.14,0.28,,,0.52,
BIPS<HC,R_pericalcarine,-0.26,,-0.48,-0.04,,,0.02,
BIPS<HC,R_postcentral,-0.15,,-0.37,0.06,,,0.17,
BIPS<HC,R_posteriorcingulate,-0.08,,-0.3,0.13,,,0.44,
BIPS<HC,R_precentral,0.01,,-0.21,0.22,,,0.96,
BIPS<HC,R_precuneus,-0.15,,-0.36,0.07,,,0.19,
BIPS<HC,R_rostralanteriorcingulate,0.02,,-0.2,0.23,,,0.89,
BIPS<HC,R_rostralmiddlefrontal,0.15,,-0.06,0.36,,,0.17,
BIPS<HC,R_superiorfrontal,-0.03,,-0.24,0.18,,,0.79,
BIPS<HC,R_superiorparietal,0.19,,-0.03,0.4,,,0.09,
BIPS<HC,R_superiortemporal,-0.02,,-0.23,0.2,,,0.89,
BIPS<HC,R_supramarginal,-0.01,,-0.22,0.21,,,0.95,
BIPS<HC,R_frontalpole,0.07,,-0.14,0.28,,,0.52,
BIPS<HC,R_temporalpole,0.15,,-0.07,0.36,,,0.18,
BIPS<HC,R_transversetemporal,0.04,,-0.18,0.25,,,0.75,
BIPS<HC,R_insula,-0.04,,-0.26,0.17,,,0.68,
