SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noBIPS<HC,L_bankssts,-0.07,,-0.14,0,,,0.06,
noBIPS<HC,L_caudalanteriorcingulate,-0.02,,-0.09,0.06,,,0.65,
noBIPS<HC,L_caudalmiddlefrontal,-0.05,,-0.13,0.02,,,0.15,
noBIPS<HC,L_cuneus,-0.06,,-0.13,0.02,,,0.13,
noBIPS<HC,L_entorhinal,-0.09,,-0.17,-0.02,,,0.01,
noBIPS<HC,L_fusiform,-0.05,,-0.13,0.02,,,0.14,
noBIPS<HC,L_inferiorparietal,-0.06,,-0.14,0.01,,,0.09,
noBIPS<HC,L_inferiortemporal,-0.04,,-0.12,0.03,,,0.24,
noBIPS<HC,L_isthmuscingulate,0,,-0.07,0.07,,,0.98,
noBIPS<HC,L_lateraloccipital,-0.02,,-0.09,0.05,,,0.62,
noBIPS<HC,L_lateralorbitofrontal,-0.02,,-0.09,0.05,,,0.58,
noBIPS<HC,L_lingual,-0.05,,-0.12,0.02,,,0.17,
noBIPS<HC,L_medialorbitofrontal,-0.02,,-0.09,0.05,,,0.57,
noBIPS<HC,L_middletemporal,0,,-0.07,0.08,,,0.95,
noBIPS<HC,L_parahippocampal,-0.04,,-0.12,0.03,,,0.23,
noBIPS<HC,L_paracentral,-0.02,,-0.09,0.05,,,0.61,
noBIPS<HC,L_parsopercularis,-0.08,,-0.15,0,,,0.04,
noBIPS<HC,L_parsorbitalis,0.02,,-0.06,0.09,,,0.67,
noBIPS<HC,L_parstriangularis,-0.05,,-0.12,0.02,,,0.20,
noBIPS<HC,L_pericalcarine,-0.05,,-0.12,0.02,,,0.18,
noBIPS<HC,L_postcentral,0,,-0.08,0.07,,,0.94,
noBIPS<HC,L_posteriorcingulate,-0.05,,-0.12,0.03,,,0.21,
noBIPS<HC,L_precentral,0.04,,-0.03,0.12,,,0.26,
noBIPS<HC,L_precuneus,-0.04,,-0.11,0.04,,,0.32,
noBIPS<HC,L_rostralanteriorcingulate,-0.12,,-0.19,-0.04,,,1.6E-03,
noBIPS<HC,L_rostralmiddlefrontal,-0.02,,-0.1,0.05,,,0.52,
noBIPS<HC,L_superiorfrontal,-0.04,,-0.11,0.03,,,0.28,
noBIPS<HC,L_superiorparietal,0.01,,-0.06,0.09,,,0.70,
noBIPS<HC,L_superiortemporal,-0.03,,-0.11,0.04,,,0.36,
noBIPS<HC,L_supramarginal,-0.11,,-0.18,-0.04,,,3.08E-03,
noBIPS<HC,L_frontalpole,0.03,,-0.04,0.11,,,0.38,
noBIPS<HC,L_temporalpole,-0.03,,-0.1,0.04,,,0.44,
noBIPS<HC,L_transversetemporal,-0.05,,-0.13,0.02,,,0.16,
noBIPS<HC,L_insula,-0.06,,-0.13,0.02,,,0.13,
noBIPS<HC,R_bankssts,-0.08,,-0.16,-0.01,,,0.03,
noBIPS<HC,R_caudalanteriorcingulate,-0.08,,-0.16,-0.01,,,0.03,
noBIPS<HC,R_caudalmiddlefrontal,-0.04,,-0.11,0.04,,,0.34,
noBIPS<HC,R_cuneus,-0.08,,-0.16,-0.01,,,0.03,
noBIPS<HC,R_entorhinal,-0.03,,-0.1,0.04,,,0.45,
noBIPS<HC,R_fusiform,-0.09,,-0.16,-0.01,,,0.02,
noBIPS<HC,R_inferiorparietal,-0.11,,-0.18,-0.03,,,4.13E-03,
noBIPS<HC,R_inferiortemporal,-0.03,,-0.11,0.04,,,0.35,
noBIPS<HC,R_isthmuscingulate,0.08,,0.01,0.16,,,0.02,
noBIPS<HC,R_lateraloccipital,-0.02,,-0.09,0.05,,,0.56,
noBIPS<HC,R_lateralorbitofrontal,-0.03,,-0.1,0.05,,,0.49,
noBIPS<HC,R_lingual,-0.02,,-0.09,0.06,,,0.65,
noBIPS<HC,R_medialorbitofrontal,-0.09,,-0.16,-0.02,,,0.02,
noBIPS<HC,R_middletemporal,-0.08,,-0.15,0,,,0.04,
noBIPS<HC,R_parahippocampal,0.06,,-0.02,0.13,,,0.13,
noBIPS<HC,R_paracentral,0.01,,-0.06,0.08,,,0.78,
noBIPS<HC,R_parsopercularis,-0.01,,-0.08,0.06,,,0.76,
noBIPS<HC,R_parsorbitalis,0.03,,-0.04,0.1,,,0.43,
noBIPS<HC,R_parstriangularis,0.01,,-0.06,0.09,,,0.75,
noBIPS<HC,R_pericalcarine,-0.09,,-0.17,-0.02,,,0.01,
noBIPS<HC,R_postcentral,-0.04,,-0.11,0.04,,,0.34,
noBIPS<HC,R_posteriorcingulate,-0.07,,-0.14,0,,,0.06,
noBIPS<HC,R_precentral,0.01,,-0.06,0.09,,,0.74,
noBIPS<HC,R_precuneus,-0.03,,-0.11,0.04,,,0.36,
noBIPS<HC,R_rostralanteriorcingulate,-0.08,,-0.15,0,,,0.04,
noBIPS<HC,R_rostralmiddlefrontal,-0.04,,-0.11,0.04,,,0.33,
noBIPS<HC,R_superiorfrontal,-0.10,,-0.18,-0.03,,,5.2E-03,
noBIPS<HC,R_superiorparietal,0,,-0.07,0.08,,,0.92,
noBIPS<HC,R_superiortemporal,-0.06,,-0.13,0.01,,,0.10,
noBIPS<HC,R_supramarginal,-0.07,,-0.14,0.01,,,0.08,
noBIPS<HC,R_frontalpole,0.04,,-0.03,0.12,,,0.26,
noBIPS<HC,R_temporalpole,0.04,,-0.03,0.11,,,0.28,
noBIPS<HC,R_transversetemporal,-0.02,,-0.09,0.05,,,0.62,
noBIPS<HC,R_insula,-0.04,,-0.12,0.03,,,0.23,
