SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
CHR-PS+<HC,L_bankssts,-0.02,,-0.15,0.12,,,0.81,
CHR-PS+<HC,L_caudalanteriorcingulate,0.04,,-0.09,0.18,,,0.53,
CHR-PS+<HC,L_caudalmiddlefrontal,0.07,,-0.06,0.21,,,0.30,
CHR-PS+<HC,L_cuneus,-0.05,,-0.19,0.09,,,0.48,
CHR-PS+<HC,L_entorhinal,-0.10,,-0.24,0.03,,,0.14,
CHR-PS+<HC,L_fusiform,0.01,,-0.12,0.14,,,0.88,
CHR-PS+<HC,L_inferiorparietal,0.08,,-0.06,0.21,,,0.26,
CHR-PS+<HC,L_inferiortemporal,0.04,,-0.09,0.18,,,0.55,
CHR-PS+<HC,L_isthmuscingulate,-0.04,,-0.17,0.1,,,0.61,
CHR-PS+<HC,L_lateraloccipital,0.01,,-0.12,0.15,,,0.86,
CHR-PS+<HC,L_lateralorbitofrontal,0.01,,-0.12,0.15,,,0.87,
CHR-PS+<HC,L_lingual,-0.14,,-0.27,0,,,0.05,
CHR-PS+<HC,L_medialorbitofrontal,0.10,,-0.03,0.23,,,0.15,
CHR-PS+<HC,L_middletemporal,0.05,,-0.09,0.18,,,0.49,
CHR-PS+<HC,L_parahippocampal,-0.04,,-0.18,0.09,,,0.53,
CHR-PS+<HC,L_paracentral,0.10,,-0.04,0.23,,,0.16,
CHR-PS+<HC,L_parsopercularis,-0.06,,-0.19,0.07,,,0.38,
CHR-PS+<HC,L_parsorbitalis,0.10,,-0.04,0.23,,,0.16,
CHR-PS+<HC,L_parstriangularis,-0.09,,-0.22,0.05,,,0.20,
CHR-PS+<HC,L_pericalcarine,-0.11,,-0.24,0.03,,,0.12,
CHR-PS+<HC,L_postcentral,0.06,,-0.07,0.2,,,0.36,
CHR-PS+<HC,L_posteriorcingulate,0.08,,-0.06,0.21,,,0.27,
CHR-PS+<HC,L_precentral,0.09,,-0.04,0.23,,,0.18,
CHR-PS+<HC,L_precuneus,-0.01,,-0.14,0.13,,,0.93,
CHR-PS+<HC,L_rostralanteriorcingulate,-0.06,,-0.2,0.07,,,0.36,
CHR-PS+<HC,L_rostralmiddlefrontal,0.12,,-0.02,0.25,,,0.09,
CHR-PS+<HC,L_superiorfrontal,0.06,,-0.08,0.19,,,0.42,
CHR-PS+<HC,L_superiorparietal,0.04,,-0.09,0.18,,,0.53,
CHR-PS+<HC,L_superiortemporal,-0.05,,-0.18,0.09,,,0.51,
CHR-PS+<HC,L_supramarginal,-0.18,,-0.31,0.04,,,0.01,
CHR-PS+<HC,L_frontalpole,0.13,,0,0.27,,,0.05,
CHR-PS+<HC,L_temporalpole,-0.08,,-0.21,0.05,,,0.24,
CHR-PS+<HC,L_transversetemporal,-0.02,,-0.16,0.11,,,0.72,
CHR-PS+<HC,L_insula,-0.13,,-0.26,0.01,,,0.06,
CHR-PS+<HC,R_bankssts,-0.19,,-0.33,-0.06,,,5.88E-03,
CHR-PS+<HC,R_caudalanteriorcingulate,-0.02,,-0.15,0.12,,,0.79,
CHR-PS+<HC,R_caudalmiddlefrontal,0.09,,-0.05,0.22,,,0.21,
CHR-PS+<HC,R_cuneus,-0.08,,-0.22,0.06,,,0.25,
CHR-PS+<HC,R_entorhinal,0.05,,-0.08,0.19,,,0.44,
CHR-PS+<HC,R_fusiform,-0.05,,-0.18,0.09,,,0.50,
CHR-PS+<HC,R_inferiorparietal,-0.05,,-0.19,0.08,,,0.44,
CHR-PS+<HC,R_inferiortemporal,0.09,,-0.04,0.23,,,0.17,
CHR-PS+<HC,R_isthmuscingulate,0.12,,-0.02,0.25,,,0.08,
CHR-PS+<HC,R_lateraloccipital,0,,-0.14,0.13,,,0.96,
CHR-PS+<HC,R_lateralorbitofrontal,0.09,,-0.05,0.22,,,0.20,
CHR-PS+<HC,R_lingual,-0.13,,-0.27,0.01,,,0.06,
CHR-PS+<HC,R_medialorbitofrontal,-0.05,,-0.19,0.08,,,0.45,
CHR-PS+<HC,R_middletemporal,-0.14,,-0.27,0,,,0.05,
CHR-PS+<HC,R_parahippocampal,0.01,,-0.13,0.14,,,0.89,
CHR-PS+<HC,R_paracentral,0.04,,-0.1,0.17,,,0.61,
CHR-PS+<HC,R_parsopercularis,0,,-0.13,0.14,,,0.96,
CHR-PS+<HC,R_parsorbitalis,0.10,,-0.04,0.23,,,0.17,
CHR-PS+<HC,R_parstriangularis,0.10,,-0.03,0.24,,,0.15,
CHR-PS+<HC,R_pericalcarine,-0.18,,-0.32,-0.05,,,9.21E-03,
CHR-PS+<HC,R_postcentral,0.02,,-0.12,0.16,,,0.79,
CHR-PS+<HC,R_posteriorcingulate,0.05,,-0.08,0.19,,,0.46,
CHR-PS+<HC,R_precentral,0.14,,0.01,0.28,,,0.04,
CHR-PS+<HC,R_precuneus,-0.02,,-0.16,0.11,,,0.72,
CHR-PS+<HC,R_rostralanteriorcingulate,0.05,,-0.09,0.18,,,0.48,
