SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<GRD,L_bankssts,-0.03,,0.18,-0.24,,,0.81,
APS<GRD,L_caudalanteriorcingulate,0.04,,0.25,-0.16,,,0.68,
APS<GRD,L_caudalmiddlefrontal,-0.07,,0.14,-0.27,,,0.54,
APS<GRD,L_cuneus,-0.03,,0.18,-0.24,,,0.75,
APS<GRD,L_entorhinal,0.07,,0.13,-0.28,,,0.48,
APS<GRD,L_fusiform,0.08,,0.29,-0.12,,,0.43,
APS<GRD,L_inferiorparietal,0.04,,0.24,-0.17,,,0.72,
APS<GRD,L_inferiortemporal,-0.01,,0.2,-0.21,,,0.94,
APS<GRD,L_isthmuscingulate,0.03,,0.24,-0.17,,,0.76,
APS<GRD,L_lateraloccipital,0.18,,0.39,-0.03,,,0.09,
APS<GRD,L_lateralorbitofrontal,-0.09,,0.11,-0.3,,,0.37,
APS<GRD,L_lingual,0.08,,0.28,-0.13,,,0.47,
APS<GRD,L_medialorbitofrontal,0.01,,0.22,-0.19,,,0.91,
APS<GRD,L_middletemporal,-0.04,,0.17,-0.24,,,0.72,
APS<GRD,L_parahippocampal,0.06,,0.27,-0.14,,,0.56,
APS<GRD,L_paracentral,-0.02,,0.18,-0.23,,,0.83,
APS<GRD,L_parsopercularis,-0.12,,0.09,-0.33,,,0.25,
APS<GRD,L_parsorbitalis,-0.13,,0.07,-0.34,,,0.21,
APS<GRD,L_parstriangularis,-0.12,,0.09,-0.32,,,0.27,
APS<GRD,L_pericalcarine,-0.05,,0.16,-0.26,,,0.64,
APS<GRD,L_postcentral,0.05,,0.26,-0.15,,,0.62,
APS<GRD,L_posteriorcingulate,0.09,,0.3,-0.12,,,0.39,
APS<GRD,L_precentral,0.01,,0.22,-0.2,,,0.91,
APS<GRD,L_precuneus,0.12,,0.33,-0.08,,,0.25,
APS<GRD,L_rostralanteriorcingulate,-0.14,,0.06,-0.35,,,0.18,
APS<GRD,L_rostralmiddlefrontal,0.10,,0.31,-0.11,,,0.35,
APS<GRD,L_superiorfrontal,-0.21,,0,-0.41,,,0.05,
APS<GRD,L_superiorparietal,-0.03,,0.18,-0.24,,,0.77,
APS<GRD,L_superiortemporal,-0.01,,0.2,-0.22,,,0.92,
APS<GRD,L_supramarginal,0.04,,0.25,-0.17,,,0.70,
APS<GRD,L_frontalpole,-0.06,,0.15,-0.26,,,0.59,
APS<GRD,L_temporalpole,-0.01,,0.2,-0.22,,,0.92,
APS<GRD,L_transversetemporal,-0.11,,0.09,-0.32,,,0.29,
APS<GRD,L_insula,-0.07,,0.14,-0.28,,,0.51,
APS<GRD,R_bankssts,0.09,,0.3,-0.12,,,0.39,
APS<GRD,R_caudalanteriorcingulate,-0.07,,0.13,-0.28,,,0.50,
APS<GRD,R_caudalmiddlefrontal,-0.16,,0.05,-0.37,,,0.13,
APS<GRD,R_cuneus,0.01,,0.22,-0.02,,,0.90,
APS<GRD,R_entorhinal,-0.20,,0.01,-0.4,,,0.06,
APS<GRD,R_fusiform,-0.04,,0.17,-0.24,,,0.73,
APS<GRD,R_inferiorparietal,0.06,,0.27,-0.14,,,0.56,
APS<GRD,R_inferiortemporal,0.10,,0.3,-0.11,,,0.37,
APS<GRD,R_isthmuscingulate,0.03,,0.23,-0.18,,,0.80,
APS<GRD,R_lateraloccipital,0,,0.21,-0.21,,,0.98,
APS<GRD,R_lateralorbitofrontal,-0.06,,0.15,-0.26,,,0.59,
APS<GRD,R_lingual,0.01,,0.21,-0.2,,,0.95,
APS<GRD,R_medialorbitofrontal,0.04,,0.25,-0.17,,,0.71,
APS<GRD,R_middletemporal,0.04,,0.25,-0.16,,,0.69,
APS<GRD,R_parahippocampal,-0.02,,0.19,-0.23,,,0.85,
APS<GRD,R_paracentral,-0.17,,0.04,-0.37,,,0.11,
APS<GRD,R_parsopercularis,-0.12,,0.09,-0.32,,,0.27,
APS<GRD,R_parsorbitalis,-0.04,,0.17,-0.25,,,0.71,
APS<GRD,R_parstriangularis,0.01,,0.22,-0.02,,,0.92,
APS<GRD,R_pericalcarine,-0.02,,0.19,-0.23,,,0.86,
APS<GRD,R_postcentral,-0.07,,0.14,-0.27,,,0.53,
APS<GRD,R_posteriorcingulate,0.13,,0.34,-0.07,,,0.21,
APS<GRD,R_precentral,-0.02,,0.19,-0.22,,,0.88,
APS<GRD,R_precuneus,0,,0.21,-0.2,,,0.99,
APS<GRD,R_rostralanteriorcingulate,-0.13,,0.08,-0.34,,,0.22,
APS<GRD,R_rostralmiddlefrontal,0.20,,0.41,0,,,0.06,
APS<GRD,R_superiorfrontal,-0.13,,0.08,-0.33,,,0.23,
APS<GRD,R_superiorparietal,0.08,,0.28,-0.13,,,0.47,
APS<GRD,R_superiortemporal,0.04,,0.25,-0.16,,,0.69,
APS<GRD,R_supramarginal,0.08,,0.29,-0.12,,,0.43,
APS<GRD,R_frontalpole,0.08,,0.28,-0.13,,,0.48,
APS<GRD,R_temporalpole,-0.26,,-0.05,-0.47,,,0.01,
APS<GRD,R_transversetemporal,0.16,,0.37,-0.04,,,0.12,
APS<GRD,R_insula,0.01,,0.21,-0.2,,,0.95,
