Surfacearea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<HC,L_bankssts,0.09,,-0.2,0.38,,,0.54,
BIPS<HC,L_caudalanteriorcingulate,0.24,,-0.05,0.52,,,0.10,
BIPS<HC,L_caudalmiddlefrontal,0.10,,-0.18,0.39,,,0.47,
BIPS<HC,L_cuneus,0.24,,-0.04,0.53,,,0.1,
BIPS<HC,L_entorhinal,-0.12,,-0.4,0.17,,,0.42,
BIPS<HC,L_fusiform,0.23,,-0.05,0.52,,,0.11,
BIPS<HC,L_inferiorparietal,0.01,,-0.27,0.29,,,0.96,
BIPS<HC,L_inferiortemporal,0.14,,-0.14,0.43,,,0.32,
BIPS<HC,L_isthmuscingulate,0.06,,-0.23,0.34,,,0.69,
BIPS<HC,L_lateraloccipital,0.40,,0.12,0.69,,,5.73E-03,
BIPS<HC,L_lateralorbitofrontal,0.01,,-0.27,0.3,,,0.93,
BIPS<HC,L_lingual,-0.13,,-0.41,0.16,,,0.38,
BIPS<HC,L_medialorbitofrontal,0.05,,-0.24,0.33,,,0.75,
BIPS<HC,L_middletemporal,0.21,,-0.08,0.49,,,0.15,
BIPS<HC,L_parahippocampal,-0.27,,-0.56,0.01,,,0.06,
BIPS<HC,L_paracentral,0.01,,-0.27,0.29,,,0.94,
BIPS<HC,L_parsopercularis,-0.14,,-0.42,0.15,,,0.35,
BIPS<HC,L_parsorbitalis,0.19,,-0.09,0.47,,,0.19,
BIPS<HC,L_parstriangularis,0.01,,-0.27,0.29,,,0.95,
BIPS<HC,L_pericalcarine,0.13,,-0.16,0.42,,,0.38,
BIPS<HC,L_postcentral,-0.02,,-0.3,0.26,,,0.88,
BIPS<HC,L_posteriorcingulate,0.14,,-0.14,0.43,,,0.32,
BIPS<HC,L_precentral,0.25,,-0.04,0.53,,,0.09,
BIPS<HC,L_precuneus,-0.12,,-0.4,0.16,,,0.41,
BIPS<HC,L_rostralanteriorcingulate,0.08,,-0.2,0.36,,,0.59,
BIPS<HC,L_rostralmiddlefrontal,0.34,,0.05,0.62,,,0.02,
BIPS<HC,L_superiorfrontal,0.28,,0,0.56,,,0.05,
BIPS<HC,L_superiorparietal,-0.06,,-0.34,0.22,,,0.69,
BIPS<HC,L_superiortemporal,-0.02,,-0.31,0.27,,,0.90,
BIPS<HC,L_supramarginal,-0.21,,-0.5,0.08,,,0.16,
BIPS<HC,L_frontalpole,0.04,,-0.24,0.32,,,0.79,
BIPS<HC,L_temporalpole,-0.06,,-0.34,0.23,,,0.70,
BIPS<HC,L_transversetemporal,-0.18,,-0.46,0.11,,,0.23,
BIPS<HC,L_insula,-0.10,,-0.39,0.18,,,0.47,
BIPS<HC,R_bankssts,0.19,,-0.09,0.47,,,0.19,
BIPS<HC,R_caudalanteriorcingulate,0.04,,-0.25,0.32,,,0.80,
BIPS<HC,R_caudalmiddlefrontal,0.21,,-0.08,0.49,,,0.15,
BIPS<HC,R_cuneus,0.04,,-0.24,0.33,,,0.78,
BIPS<HC,R_entorhinal,-0.05,,-0.33,0.23,,,0.74,
BIPS<HC,R_fusiform,0.23,,-0.06,0.51,,,0.12,
BIPS<HC,R_inferiorparietal,0.03,,-0.25,0.31,,,0.84,
BIPS<HC,R_inferiortemporal,0.34,,0.05,0.62,,,0.02,
BIPS<HC,R_isthmuscingulate,0.41,,0.12,0.69,,,5.47E-03,
BIPS<HC,R_lateraloccipital,0.15,,-0.13,0.43,,,0.30,
BIPS<HC,R_lateralorbitofrontal,0.04,,-0.25,0.32,,,0.79,
BIPS<HC,R_lingual,0.16,,-0.13,0.45,,,0.27,
BIPS<HC,R_medialorbitofrontal,-0.02,,-0.3,0.27,,,0.91,
BIPS<HC,R_middletemporal,0.02,,-0.26,0.3,,,0.90,
BIPS<HC,R_parahippocampal,0.05,,-0.24,0.33,,,0.75,
BIPS<HC,R_paracentral,0,,-0.29,0.28,,,0.99,
BIPS<HC,R_parsopercularis,0.07,,-0.22,0.35,,,0.64,
BIPS<HC,R_parsorbitalis,0.17,,-0.11,0.46,,,0.23,
BIPS<HC,R_parstriangularis,0.10,,-0.18,0.38,,,0.49,
BIPS<HC,R_pericalcarine,-0.07,,-0.36,0.22,,,0.65,
BIPS<HC,R_postcentral,-0.24,,-0.53,0.04,,,0.10,
BIPS<HC,R_posteriorcingulate,-0.01,,-0.3,0.27,,,0.93,
BIPS<HC,R_precentral,0.12,,-0.17,0.4,,,0.43,
BIPS<HC,R_precuneus,-0.11,,-0.39,0.18,,,0.46,
BIPS<HC,R_rostralanteriorcingulate,0.34,,-0.21,0.36,,,0.59,
BIPS<HC,R_rostralmiddlefrontal,0.41,,0.13,0.69,,,4.73E-03,
BIPS<HC,R_superiorfrontal,0.10,,-0.18,0.39,,,0.47,
BIPS<HC,R_superiorparietal,0.17,,-0.11,0.45,,,0.24,
BIPS<HC,R_superiortemporal,0.02,,-0.26,0.3,,,0.89,
BIPS<HC,R_supramarginal,-0.11,,-0.39,0.17,,,0.45,
BIPS<HC,R_frontalpole,0.32,,0.03,0.6,,,0.03,
BIPS<HC,R_temporalpole,0.24,,-0.04,0.52,,,0.10,
BIPS<HC,R_transversetemporal,0.02,,-0.27,0.3,,,0.91,
BIPS<HC,R_insula,-0.03,,-0.32,0.25,,,0.84,
