Surfacearea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<BIPS,L_bankssts,-0.15,,-0.5,0.2,,,0.45,
GRD<BIPS,L_caudalanteriorcingulate,-0.31,,-0.66,0.04,,,0.09,
GRD<BIPS,L_caudalmiddlefrontal,-0.10,,-0.44,0.25,,,0.59,
GRD<BIPS,L_cuneus,-0.31,,-0.66,0.04,,,0.12,
GRD<BIPS,L_entorhinal,0.09,,-0.26,0.43,,,0.64,
GRD<BIPS,L_fusiform,-0.37,,-0.71,-0.02,,,0.04,
GRD<BIPS,L_inferiorparietal,-0.11,,-0.45,0.23,,,0.54,
GRD<BIPS,L_inferiortemporal,-0.18,,-0.52,0.16,,,0.31,
GRD<BIPS,L_isthmuscingulate,-0.11,,-0.45,0.24,,,0.56,
GRD<BIPS,L_lateraloccipital,-0.62,,-0.97,-0.27,,,8.48E-04,
GRD<BIPS,L_lateralorbitofrontal,0.06,,-0.28,0.4,,,0.74,
GRD<BIPS,L_lingual,0,,-0.35,0.34,,,0.98,
GRD<BIPS,L_medialorbitofrontal,-0.08,,-0.42,0.26,,,0.66,
GRD<BIPS,L_middletemporal,-0.18,,-0.52,0.17,,,0.34,
GRD<BIPS,L_parahippocampal,0.18,,-0.16,0.52,,,0.31,
GRD<BIPS,L_paracentral,-0.02,,-0.36,0.33,,,0.93,
GRD<BIPS,L_parsopercularis,0.17,,-0.17,0.52,,,0.34,
GRD<BIPS,L_parsorbitalis,-0.05,,-0.39,0.29,,,0.79,
GRD<BIPS,L_parstriangularis,0.04,,-0.3,0.38,,,0.82,
GRD<BIPS,L_pericalcarine,-0.15,,-0.5,0.2,,,0.45,
GRD<BIPS,L_postcentral,-0.03,,-0.37,0.32,,,0.89,
GRD<BIPS,L_posteriorcingulate,-0.30,,-0.64,0.04,,,0.10,
GRD<BIPS,L_precentral,-0.22,,-0.57,0.12,,,0.22,
GRD<BIPS,L_precuneus,-0.04,,-0.38,0.3,,,0.82,
GRD<BIPS,L_rostralanteriorcingulate,-0.06,,-0.4,0.28,,,0.73,
GRD<BIPS,L_rostralmiddlefrontal,-0.47,,-0.82,-0.12,,,9.5E-03,
GRD<BIPS,L_superiorfrontal,-0.14,,-0.48,0.2,,,0.43,
GRD<BIPS,L_superiorparietal,0.10,,-0.24,0.44,,,0.58,
GRD<BIPS,L_superiortemporal,0,,-0.34,0.35,,,0.98,
GRD<BIPS,L_supramarginal,0.07,,-0.27,0.42,,,0.71,
GRD<BIPS,L_frontalpole,0.06,,-0.29,0.4,,,0.75,
GRD<BIPS,L_temporalpole,0.06,,-0.28,0.4,,,0.73,
GRD<BIPS,L_transversetemporal,0.26,,-0.09,0.6,,,0.18,
GRD<BIPS,L_insula,0.12,,-0.23,0.46,,,0.53,
GRD<BIPS,R_bankssts,-0.36,,-0.71,-0.02,,,0.05,
GRD<BIPS,R_caudalanteriorcingulate,-0.06,,-0.4,0.28,,,0.74,
GRD<BIPS,R_caudalmiddlefrontal,-0.10,,-0.44,0.24,,,0.59,
GRD<BIPS,R_cuneus,-0.16,,-0.51,0.18,,,0.43,
GRD<BIPS,R_entorhinal,0.21,,-0.13,0.55,,,0.25,
GRD<BIPS,R_fusiform,-0.28,,-0.62,0.06,,,0.12,
GRD<BIPS,R_inferiorparietal,-0.18,,-0.52,0.16,,,0.31,
GRD<BIPS,R_inferiortemporal,-0.46,,-0.8,-0.11,,,9.76E-03,
GRD<BIPS,R_isthmuscingulate,-0.36,,-0.71,-0.02,,,0.04,
GRD<BIPS,R_lateraloccipital,-0.18,,-0.53,0.16,,,0.31,
GRD<BIPS,R_lateralorbitofrontal,-0.02,,-0.36,0.33,,,0.93,
GRD<BIPS,R_lingual,-0.21,,-0.56,0.14,,,0.29,
GRD<BIPS,R_medialorbitofrontal,-0.11,,-0.45,0.24,,,0.56,
GRD<BIPS,R_middletemporal,-0.13,,-0.47,0.21,,,0.47,
GRD<BIPS,R_parahippocampal,0.03,,-0.31,0.37,,,0.86,
GRD<BIPS,R_paracentral,0.17,,-0.17,0.51,,,0.36,
GRD<BIPS,R_parsopercularis,0.02,,-0.32,0.37,,,0.90,
GRD<BIPS,R_parsorbitalis,-0.11,,-0.45,0.23,,,0.55,
GRD<BIPS,R_parstriangularis,-0.10,,-0.44,0.24,,,0.57,
GRD<BIPS,R_pericalcarine,-0.02,,-0.37,0.33,,,0.92,
GRD<BIPS,R_postcentral,0.29,,-0.05,0.64,,,0.13,
GRD<BIPS,R_posteriorcingulate,-0.19,,-0.53,0.15,,,0.29,
GRD<BIPS,R_precentral,-0.09,,-0.44,0.25,,,0.61,
GRD<BIPS,R_precuneus,0.07,,-0.28,0.41,,,0.70,
GRD<BIPS,R_rostralanteriorcingulate,-0.04,,-0.38,0.3,,,0.82,
GRD<BIPS,R_rostralmiddlefrontal,-0.65,,-1,-0.3,,,2.92E-04,
GRD<BIPS,R_superiorfrontal,-0.10,,-0.44,0.24,,,0.58,
GRD<BIPS,R_superiorparietal,-0.23,,-0.58,0.11,,,0.19,
GRD<BIPS,R_superiortemporal,-0.13,,-0.47,0.22,,,0.49,
GRD<BIPS,R_supramarginal,-0.05,,-0.39,0.3,,,0.81,
GRD<BIPS,R_frontalpole,-0.36,,-0.7,-0.02,,,0.05,
GRD<BIPS,R_temporalpole,0.05,,-0.29,0.4,,,0.77,
GRD<BIPS,R_transversetemporal,-0.20,,-0.55,0.14,,,0.27,
GRD<BIPS,R_insula,-0.02,,-0.36,0.33,,,0.92,
