Surfacearea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<HC,L_bankssts,-0.04,,-0.25,0.17,,,0.68,
GRD<HC,L_caudalanteriorcingulate,-0.06,,-0.27,0.14,,,0.55,
GRD<HC,L_caudalmiddlefrontal,0.01,,-0.2,0.21,,,0.93,
GRD<HC,L_cuneus,-0.03,,-0.24,0.18,,,0.75,
GRD<HC,L_entorhinal,-0.04,,-0.24,0.17,,,0.74,
GRD<HC,L_fusiform,-0.13,,-0.33,0.08,,,0.23,
GRD<HC,L_inferiorparietal,-0.10,,-0.3,0.11,,,0.35,
GRD<HC,L_inferiortemporal,-0.03,,-0.24,0.17,,,0.75,
GRD<HC,L_isthmuscingulate,-0.05,,-0.25,0.16,,,0.67,
GRD<HC,L_lateraloccipital,-0.19,,-0.39,0.02,,,0.08,
GRD<HC,L_lateralorbitofrontal,0.07,,-0.13,0.28,,,0.49,
GRD<HC,L_lingual,-0.13,,-0.34,0.08,,,0.22,
GRD<HC,L_medialorbitofrontal,-0.03,,-0.24,0.18,,,0.78,
GRD<HC,L_middletemporal,0.04,,-0.17,0.25,,,0.71,
GRD<HC,L_parahippocampal,-0.10,,-0.3,0.11,,,0.35,
GRD<HC,L_paracentral,0,,-0.21,0.2,,,0.97,
GRD<HC,L_parsopercularis,0.03,,-0.18,0.23,,,0.79,
GRD<HC,L_parsorbitalis,0.14,,-0.06,0.35,,,0.18,
GRD<HC,L_parstriangularis,0.05,,-0.16,0.25,,,0.65,
GRD<HC,L_pericalcarine,-0.01,,-0.21,0.2,,,0.95,
GRD<HC,L_postcentral,-0.05,,-0.25,0.16,,,0.67,
GRD<HC,L_posteriorcingulate,-0.14,,-0.35,0.07,,,0.19,
GRD<HC,L_precentral,0.03,,-0.18,0.24,,,0.77,
GRD<HC,L_precuneus,-0.16,,-0.36,0.05,,,0.13,
GRD<HC,L_rostralanteriorcingulate,0.02,,-0.19,0.22,,,0.87,
GRD<HC,L_rostralmiddlefrontal,-0.12,,-0.32,0.09,,,0.27,
GRD<HC,L_superiorfrontal,0.14,,-0.06,-0.35,,,0.17,
GRD<HC,L_superiorparietal,0.04,,-0.17,0.25,,,0.71,
GRD<HC,L_superiortemporal,-0.01,,-0.22,0.19,,,0.89,
GRD<HC,L_supramarginal,-0.14,,-0.35,0.06,,,0.18,
GRD<HC,L_frontalpole,0.09,,-0.11,0.3,,,0.37,
GRD<HC,L_temporalpole,0.01,,-0.2,0.21,,,0.96,
GRD<HC,L_transversetemporal,0.06,,-0.14,0.27,,,0.56,
GRD<HC,L_insula,0.01,,-0.2,0.21,,,0.95,
GRD<HC,R_bankssts,-0.16,,-0.36,0.05,,,0.14,
GRD<HC,R_caudalanteriorcingulate,-0.02,,-0.23,0.19,,,0.85,
GRD<HC,R_caudalmiddlefrontal,0.11,,-0.1,0.32,,,0.29,
GRD<HC,R_cuneus,-0.10,,-0.31,0.11,,,0.36,
GRD<HC,R_entorhinal,0.15,,-0.06,0.36,,,0.16,
GRD<HC,R_fusiform,-0.05,,-0.25,0.16,,,0.65,
GRD<HC,R_inferiorparietal,-0.15,,-0.35,0.06,,,0.16,
GRD<HC,R_inferiortemporal,-0.11,,-0.32,0.09,,,0.28,
GRD<HC,R_isthmuscingulate,0.05,,-0.15,0.26,,,0.61,
GRD<HC,R_lateraloccipital,-0.03,,-0.24,0.18,,,0.81,
GRD<HC,R_lateralorbitofrontal,0.02,,-0.18,0.23,,,0.83,
GRD<HC,R_lingual,-0.02,,-0.23,0.18,,,0.82,
GRD<HC,R_medialorbitofrontal,-0.12,,-0.33,0.09,,,0.26,
GRD<HC,R_middletemporal,-0.11,,-0.31,0.1,,,0.30,
GRD<HC,R_parahippocampal,0.08,,-0.13,0.28,,,0.47,
GRD<HC,R_paracentral,0.16,,-0.05,0.37,,,0.13,
GRD<HC,R_parsopercularis,0.09,,-0.12,0.3,,,0.40,
GRD<HC,R_parsorbitalis,0.07,,-0.14,0.28,,,0.51,
GRD<HC,R_parstriangularis,0,,-0.2,0.21,,,0.99,
GRD<HC,R_pericalcarine,-0.08,,-0.29,0.13,,,0.43,
GRD<HC,R_postcentral,0.02,,-0.18,0.23,,,0.83,
GRD<HC,R_posteriorcingulate,-0.20,,-0.4,0.01,,,0.06,
GRD<HC,R_precentral,0.03,,-0.18,0.23,,,0.80,
GRD<HC,R_precuneus,-0.04,,-0.25,0.17,,,0.71,
GRD<HC,R_rostralanteriorcingulate,0.04,,-0.17,0.25,,,0.71,
GRD<HC,R_rostralmiddlefrontal,-0.22,,-0.43,-0.02,,,0.03,
GRD<HC,R_superiorfrontal,0.01,,-0.2,0.21,,,0.95,
GRD<HC,R_superiorparietal,-0.06,,-0.27,0.15,,,0.58,
GRD<HC,R_superiortemporal,-0.10,,-0.31,0.11,,,0.35,
GRD<HC,R_supramarginal,-0.15,,-0.36,0.06,,,0.15,
GRD<HC,R_frontalpole,-0.03,,-0.24,0.17,,,0.76,
GRD<HC,R_temporalpole,0.29,,0.08,0.5,,,6.33E-03,
GRD<HC,R_transversetemporal,-0.18,,-0.38,0.03,,,0.09,
GRD<HC,R_insula,-0.05,,-0.25,0.16,,,0.65,
