Surfacearea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<HC,L_bankssts,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,L_caudalanteriorcingulate,0.01,,-0.12,0.15,,,0.84,
GRD<HC,L_caudalmiddlefrontal,-0.04,,-0.18,0.09,,,0.55,
GRD<HC,L_cuneus,-0.01,,-0.15,0.13,,,0.90,
GRD<HC,L_entorhinal,-0.05,,-0.19,0.09,,,0.48,
GRD<HC,L_fusiform,-0.12,,-0.26,0.01,,,0.08,
GRD<HC,L_inferiorparietal,-0.08,,-0.22,0.06,,,0.25,
GRD<HC,L_inferiortemporal,-0.06,,-0.2,0.07,,,0.35,
GRD<HC,L_isthmuscingulate,0.03,,-0.1,0.17,,,0.62,
GRD<HC,L_lateraloccipital,-0.11,,-0.25,0.03,,,0.12,
GRD<HC,L_lateralorbitofrontal,-0.01,,-0.14,0.13,,,0.91,
GRD<HC,L_lingual,-0.06,,-0.2,0.07,,,0.37,
GRD<HC,L_medialorbitofrontal,-0.04,,-0.18,0.09,,,0.52,
GRD<HC,L_middletemporal,-0.01,,-0.15,0.12,,,0.87,
GRD<HC,L_parahippocampal,-0.09,,-0.23,0.04,,,0.18,
GRD<HC,L_paracentral,0.03,,-0.11,0.16,,,0.69,
GRD<HC,L_parsopercularis,-0.02,,-0.15,0.12,,,0.81,
GRD<HC,L_parsorbitalis,0.04,,-0.09,0.18,,,0.54,
GRD<HC,L_parstriangularis,0.07,,-0.07,0.2,,,0.33,
GRD<HC,L_pericalcarine,-0.04,,-0.18,0.1,,,0.57,
GRD<HC,L_postcentral,-0.08,,-0.21,0.06,,,0.27,
GRD<HC,L_posteriorcingulate,-0.04,,-0.17,0.1,,,0.59,
GRD<HC,L_precentral,0.03,,-0.11,0.17,,,0.66,
GRD<HC,L_precuneus,-0.07,,-0.2,0.07,,,0.34,
GRD<HC,L_rostralanteriorcingulate,-0.09,,-0.22,0.05,,,0.20,
GRD<HC,L_rostralmiddlefrontal,-0.04,,-0.17,0.1,,,0.61,
GRD<HC,L_superiorfrontal,0.07,,-0.07,0.2,,,0.35,
GRD<HC,L_superiorparietal,0.03,,-0.1,0.17,,,0.65,
GRD<HC,L_superiortemporal,-0.07,,-0.21,0.07,,,0.31,
GRD<HC,L_supramarginal,-0.18,,-0.32,-0.05,,,8.78E-03,
GRD<HC,L_frontalpole,0.02,,-0.12,0.15,,,0.80,
GRD<HC,L_temporalpole,-0.15,,-0.29,-0.2,,,0.03,
GRD<HC,L_transversetemporal,-0.05,,-0.19,0.08,,,0.44,
GRD<HC,L_insula,-0.04,,-0.17,0.1,,,0.57,
GRD<HC,R_bankssts,-0.20,,-0.33,-0.06,,,4.49E-03,
GRD<HC,R_caudalanteriorcingulate,-0.07,,-0.2,0.07,,,0.35,
GRD<HC,R_caudalmiddlefrontal,0.05,,-0.09,0.19,,,0.48,
GRD<HC,R_cuneus,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,R_entorhinal,0.07,,-0.07,0.2,,,0.35,
GRD<HC,R_fusiform,-0.09,,-0.23,0.05,,,0.19,
GRD<HC,R_inferiorparietal,-0.25,,-0.39,-0.12,,,2.43E-04,
GRD<HC,R_inferiortemporal,-0.10,,-0.24,0.03,,,0.13,
GRD<HC,R_isthmuscingulate,0.11,,-0.02,0.25,,,0.10,
GRD<HC,R_lateraloccipital,0,,-0.14,0.14,,,0.99,
GRD<HC,R_lateralorbitofrontal,0.03,,-0.11,0.16,,,0.70,
GRD<HC,R_lingual,-0.04,,-0.19,0.08,,,0.46,
GRD<HC,R_medialorbitofrontal,-0.14,,-0.28,-0.01,,,0.04,
GRD<HC,R_middletemporal,-0.14,,-0.28,0,,,0.04,
GRD<HC,R_parahippocampal,0.04,,-0.09,0.18,,,0.55,
GRD<HC,R_paracentral,0.10,,-0.04,0.23,,,0.17,
GRD<HC,R_parsopercularis,0.08,,-0.05,0.22,,,0.24,
GRD<HC,R_parsorbitalis,0.02,,-0.11,0.16,,,0.75,
GRD<HC,R_parstriangularis,0.03,,-0.11,0.16,,,0.69,
GRD<HC,R_pericalcarine,-0.09,,-0.23,0.05,,,0.20,
GRD<HC,R_postcentral,-0.02,,-0.15,0.12,,,0.79,
GRD<HC,R_posteriorcingulate,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,R_precentral,0,,-0.14,0.14,,,1,
GRD<HC,R_precuneus,-0.05,,-0.18,0.09,,,0.52,
GRD<HC,R_rostralanteriorcingulate,-0.02,,-0.16,0.11,,,0.74,
GRD<HC,R_rostralmiddlefrontal,-0.13,,-0.26,0.01,,,0.07,
GRD<HC,R_superiorfrontal,-0.03,,-0.16,0.11,,,0.69,
GRD<HC,R_superiorparietal,-0.08,,-0.22,0.05,,,0.23,
GRD<HC,R_superiortemporal,-0.07,,-0.21,0.07,,,0.28,
GRD<HC,R_supramarginal,-0.06,,-0.2,0.07,,,0.38,
GRD<HC,R_frontalpole,0.04,,-0.1,0.18,,,0.56,
GRD<HC,R_temporalpole,0.11,,-0.02,0.25,,,0.11,
GRD<HC,R_transversetemporal,-0.02,,-0.16,0.12,,,0.77,
GRD<HC,R_insula,-0.06,,-0.19,0.08,,,0.42,
