Surfacearea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noGRD<HC,L_bankssts,-0.06,,-0.14,0.01,,,0.09,
noGRD<HC,L_caudalanteriorcingulate,-0.02,,-0.09,0.06,,,0.65,
noGRD<HC,L_caudalmiddlefrontal,-0.05,,-0.13,0.02,,,0.15,
noGRD<HC,L_cuneus,-0.07,,-0.14,0.01,,,0.09,
noGRD<HC,L_entorhinal,-0.10,,-0.18,-0.03,,,6.71E-03,
noGRD<HC,L_fusiform,-0.04,,-0.11,0.04,,,0.36,
noGRD<HC,L_inferiorparietal,-0.05,,-0.13,0.02,,,0.17,
noGRD<HC,L_inferiortemporal,-0.03,,-0.1,0.05,,,0.51,
noGRD<HC,L_isthmuscingulate,-0.02,,-0.09,0.06,,,0.69,
noGRD<HC,L_lateraloccipital,0.01,,-0.06,0.09,,,0.76,
noGRD<HC,L_lateralorbitofrontal,-0.03,,-0.10,0.05,,,0.50,
noGRD<HC,L_lingual,-0.06,,-0.14,0.01,,,0.11,
noGRD<HC,L_medialorbitofrontal,-0.02,,-0.09,0.06,,,0.65,
noGRD<HC,L_middletemporal,0.02,,-0.06,0.09,,,0.69,
noGRD<HC,L_parahippocampal,-0.04,,-0.12,0.03,,,0.27,
noGRD<HC,L_paracentral,-0.02,,-0.09,0.06,,,0.67,
noGRD<HC,L_parsopercularis,-0.09,,-0.17,-0.02,,,0.02,
noGRD<HC,L_parsorbitalis,0.02,,-0.06,0.09,,,0.69,
noGRD<HC,L_parstriangularis,-0.07,,-0.15,0,,,0.06,
noGRD<HC,L_pericalcarine,-0.06,,-0.13,0.02,,,0.13,
noGRD<HC,L_postcentral,0.01,,-0.06,0.09,,,0.73,
noGRD<HC,L_posteriorcingulate,-0.04,,-0.12,-0.12,,,0.24,
noGRD<HC,L_precentral,0.05,,-0.02,0.13,,,0.18,
noGRD<HC,L_precuneus,-0.03,,-0.11,0.04,,,0.42,
noGRD<HC,L_rostralanteriorcingulate,-0.11,,-0.19,-0.04,,,3.19E-03,
noGRD<HC,L_rostralmiddlefrontal,-0.01,,-0.09,0.06,,,0.74,
noGRD<HC,L_superiorfrontal,-0.05,,-0.12,0.03,,,0.24,
noGRD<HC,L_superiorparietal,0.01,,-0.07,0.08,,,0.84,
noGRD<HC,L_superiortemporal,-0.03,,-0.11,0.04,,,0.42,
noGRD<HC,L_supramarginal,-0.11,,-0.18,-0.03,,,6.39E-03,
noGRD<HC,L_frontalpole,0.04,,-0.04,0.11,,,0.34,
noGRD<HC,L_temporalpole,-0.01,,-0.09,0.06,,,0.78,
noGRD<HC,L_transversetemporal,-0.05,,-0.13,0.02,,,0.16,
noGRD<HC,L_insula,-0.07,,-0.14,0.01,,,0.08,
noGRD<HC,R_bankssts,-0.05,,-0.13,0.02,,,0.15,
noGRD<HC,R_caudalanteriorcingulate,-0.08,,-0.16,-0.01,,,0.03,
noGRD<HC,R_caudalmiddlefrontal,-0.04,,-0.11,0.04,,,0.35,
noGRD<HC,R_cuneus,-0.08,,-0.16,-0.01,,,0.03,
noGRD<HC,R_entorhinal,-0.04,,-0.12,0.03,,,0.29,
noGRD<HC,R_fusiform,-0.07,,-0.14,0.01,,,0.07,
noGRD<HC,R_inferiorparietal,-0.07,,-0.15,0,,,0.06,
noGRD<HC,R_inferiortemporal,-0.01,,-0.08,0.07,,,0.82,
noGRD<HC,R_isthmuscingulate,0.08,,0.01,0.16,,,0.03,
noGRD<HC,R_lateraloccipital,-0.02,,-0.09,0.06,,,0.64,
noGRD<HC,R_lateralorbitofrontal,-0.04,,-0.11,0.04,,,0.31,
noGRD<HC,R_lingual,-0.01,,-0.09,0.06,,,0.70,
noGRD<HC,R_medialorbitofrontal,-0.08,,-0.15,0,,,0.04,
noGRD<HC,R_middletemporal,-0.06,,-0.13,0.02,,,0.12,
noGRD<HC,R_parahippocampal,0.06,,-0.01,0.14,,,0.11,
noGRD<HC,R_paracentral,0,,-0.08,0.07,,,0.92,
noGRD<HC,R_parsopercularis,-0.02,,-0.1,0.05,,,0.59,
noGRD<HC,R_parsorbitalis,0.03,,-0.05,0.1,,,0.45,
noGRD<HC,R_parstriangularis,0.01,,-0.06,0.09,,,0.73,
noGRD<HC,R_pericalcarine,-0.11,,-0.18,-0.03,,,5.86E-03,
noGRD<HC,R_postcentral,-0.05,,-0.12,0.03,,,0.23,
noGRD<HC,R_posteriorcingulate,-0.07,,-0.14,0.01,,,0.09,
noGRD<HC,R_precentral,0.01,,-0.06,0.09,,,0.71,
noGRD<HC,R_precuneus,-0.04,,-0.11,0.04,,,0.31,
noGRD<HC,R_rostralanteriorcingulate,-0.08,,-0.15,0,,,0.04,
noGRD<HC,R_rostralmiddlefrontal,-0.01,,-0.08,0.07,,,0.83,
noGRD<HC,R_superiorfrontal,-0.11,,-0.19,-0.04,,,3.13E-03,
noGRD<HC,R_superiorparietal,0.03,,-0.04,0.11,,,0.41,
noGRD<HC,R_superiortemporal,-0.06,,-0.13,0.02,,,0.15,
noGRD<HC,R_supramarginal,-0.06,,-0.14,0.01,,,0.10,
noGRD<HC,R_frontalpole,0.04,,-0.03,0.12,,,0.25,
noGRD<HC,R_temporalpole,0.03,,-0.04,0.11,,,0.37,
noGRD<HC,R_transversetemporal,-0.01,,-0.09,0.06,,,0.70,
noGRD<HC,R_insula,-0.04,,-0.12,0.03,,,0.26,
