Surface area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
psychosisvsCN,L_bankssts,-0.07,,-0.14,0,,,0.05,0.11
psychosisvsCN,L_caudalanteriorcingulate,-0.01,,-0.08,0.06,,,0.73,0.81
psychosisvsCN,L_caudalmiddlefrontal,-0.05,,-0.12,0.02,,,0.17,0.29
psychosisvsCN,L_cuneus,-0.05,,-0.12,0.02,,,0.2,0.32
psychosisvsCN,L_entorhinal,-0.09,,-0.16,-0.02,,,0.01,0.04
psychosisvsCN,L_fusiform,-0.05,,-0.12,0.03,,,0.21,0.32
psychosisvsCN,L_inferiorparietal,-0.06,,-0.13,0.01,,,0.1,0.19
psychosisvsCN,L_inferiortemporal,-0.03,,-0.1,0.04,,,0.45,0.62
psychosisvsCN,L_isthmuscingulate,0,,-0.07,0.07,,,0.98,0.99
psychosisvsCN,L_lateraloccipital,0,,-0.07,0.07,,,0.99,0.99
psychosisvsCN,L_lateralorbitofrontal,-0.02,,-0.09,0.05,,,0.64,0.76
psychosisvsCN,L_lingual,-0.05,,-0.12,0.02,,,0.16,0.27
psychosisvsCN,L_medialorbitofrontal,-0.01,,-0.08,0.06,,,0.73,0.81
psychosisvsCN,L_middletemporal,0.02,,-0.06,0.09,,,0.67,0.78
psychosisvsCN,L_parahippocampal,-0.04,,-0.12,0.03,,,0.22,0.33
psychosisvsCN,L_paracentral,0,,-0.07,0.07,,,0.95,0.97
psychosisvsCN,L_parsopercularis,-0.09,,-0.16,-0.02,,,9.85E-03,0.03
psychosisvsCN,L_parsorbitalis,0.03,,-0.04,0.1,,,0.47,0.62
psychosisvsCN,L_parstriangularis,-0.05,,-0.12,0.02,,,0.15,0.27
psychosisvsCN,L_pericalcarine,-0.05,,-0.12,0.02,,,0.2,0.32
psychosisvsCN,L_postcentral,0,,-0.07,0.07,,,0.99,0.99
psychosisvsCN,L_posteriorcingulate,-0.04,,-0.11,0.03,,,0.31,0.44
psychosisvsCN,L_precentral,0.05,,-0.02,0.12,,,0.14,0.26
psychosisvsCN,L_precuneus,-0.03,,-0.1,0.04,,,0.38,0.53
psychosisvsCN,L_rostralanteriorcingulate,-0.12,,-0.19,-0.04,,,1.43E-03,7.50E-03
psychosisvsCN,L_rostralmiddlefrontal,-0.01,,-0.08,0.06,,,0.75,0.82
psychosisvsCN,L_superiorfrontal,-0.03,,-0.1,0.05,,,0.48,0.62
psychosisvsCN,L_superiorparietal,0.01,,-0.06,0.08,,,0.81,0.87
psychosisvsCN,L_superiortemporal,-0.03,,-0.1,0.04,,,0.42,0.56
psychosisvsCN,L_supramarginal,-0.11,,-0.18,-0.04,,,2.69E-03,0.01
psychosisvsCN,L_frontalpole,0.04,,-0.03,0.11,,,0.25,0.37
psychosisvsCN,L_temporalpole,-0.03,,-0.1,0.04,,,0.4,0.55
psychosisvsCN,L_transversetemporal,-0.04,,-0.11,0.03,,,0.23,0.35
psychosisvsCN,L_insula,-0.06,,-0.13,0.01,,,0.11,0.21
psychosisvsCN,R_bankssts,-0.07,,-0.15,0,,,0.04,0.09
psychosisvsCN,R_caudalanteriorcingulate,-0.08,,-0.15,-0.01,,,0.04,0.08
psychosisvsCN,R_caudalmiddlefrontal,-0.02,,-0.09,0.05,,,0.57,0.7
psychosisvsCN,R_cuneus,-0.08,,-0.15,-0.01,,,0.03,0.08
psychosisvsCN,R_entorhinal,-0.02,,-0.1,0.05,,,0.5,0.64
psychosisvsCN,R_fusiform,-0.07,,-0.14,0,,,0.04,0.09
psychosisvsCN,R_inferiorparietal,-0.1,,-0.17,-0.03,,,6.85E-03,0.02
psychosisvsCN,R_inferiortemporal,-0.03,,-0.1,0.04,,,0.49,0.59
psychosisvsCN,R_isthmuscingulate,0.09,,0.02,0.16,,,9.49E-03,0.03
psychosisvsCN,R_lateraloccipital,-0.01,,-0.08,0.06,,,0.81,0.87
psychosisvsCN,R_lateralorbitofrontal,-0.02,,-0.09,0.05,,,0.57,0.7
psychosisvsCN,R_lingual,-0.02,,-0.09,0.05,,,0.64,0.76
psychosisvsCN,R_medialorbitofrontal,-0.08,,-0.15,-0.01,,,0.03,0.07
psychosisvsCN,R_middletemporal,-0.07,,-0.14,0,,,0.05,0.11
psychosisvsCN,R_parahippocampal,0.06,,-0.02,0.13,,,0.13,0.23
psychosisvsCN,R_paracentral,0.02,,-0.05,0.09,,,0.59,0.72
psychosisvsCN,R_parsopercularis,-0.01,,-0.08,0.06,,,0.81,0.87
psychosisvsCN,R_parsorbitalis,0.03,,-0.04,0.1,,,0.44,0.59
psychosisvsCN,R_parstriangularis,0.01,,-0.06,0.08,,,0.71,0.81
psychosisvsCN,R_pericalcarine,-0.09,,-0.17,-0.02,,,9.29E-03,0.03
psychosisvsCN,R_postcentral,-0.04,,-0.11,0.03,,,0.26,0.38
psychosisvsCN,R_posteriorcingulate,-0.06,,-0.13,0.01,,,0.08,0.17
psychosisvsCN,R_precentral,0.01,,-0.06,0.08,,,0.72,0.81
psychosisvsCN,R_precuneus,-0.04,,-0.11,0.03,,,0.31,0.44
psychosisvsCN,R_rostralanteriorcingulate,-0.06,,-0.13,0.01,,,0.09,0.17
psychosisvsCN,R_rostralmiddlefrontal,-0.02,,-0.09,0.05,,,0.55,0.69
psychosisvsCN,R_superiorfrontal,-0.09,,-0.16,-0.02,,,0.01,0.03
psychosisvsCN,R_superiorparietal,0.01,,-0.06,0.08,,,0.73,0.81
psychosisvsCN,R_superiortemporal,-0.05,,-0.12,0.02,,,0.18,0.3
psychosisvsCN,R_supramarginal,-0.07,,-0.14,0,,,0.06,0.12
psychosisvsCN,R_frontalpole,0.05,,-0.03,0.12,,,0.21,0.32
psychosisvsCN,R_temporalpole,0.05,,-0.02,0.12,,,0.18,0.3
psychosisvsCN,R_transversetemporal,-0.02,,-0.09,0.06,,,0.67,0.78
psychosisvsCN,R_insula,-0.04,,-0.11,0.03,,,0.3,0.43
