Surface area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
psychosisvsCN,L_bankssts,-0.11,,-0.18,-0.04,,,1.86E-03,5.19E-03
psychosisvsCN,L_caudalanteriorcingulate,-0.06,,-0.13,0.01,,,0.11,0.14
psychosisvsCN,L_caudalmiddlefrontal,-0.11,,-0.18,-0.04,,,2.31E-03,6.08E-03
psychosisvsCN,L_cuneus,-0.09,,-0.16,-0.02,,,0.01,0.02
psychosisvsCN,L_entorhinal,-0.12,,-0.19,-0.05,,,1.09E-03,3.69E-03
psychosisvsCN,L_fusiform,-0.1,,-0.17,-0.03,,,4.15E-03,9.68E-03
psychosisvsCN,L_inferiorparietal,-0.11,,-0.18,-0.04,,,1.58E-03,4.86E-03
psychosisvsCN,L_inferiortemporal,-0.09,,-0.16,-0.02,,,0.01,0.02
psychosisvsCN,L_isthmuscingulate,-0.06,,-0.13,0.01,,,0.09,0.12
psychosisvsCN,L_lateraloccipital,-0.06,,-0.12,0.01,,,0.08,0.11
psychosisvsCN,L_lateralorbitofrontal,-0.09,,-0.16,-0.02,,,0.02,0.03
psychosisvsCN,L_lingual,-0.1,,-0.17,-0.03,,,5.32E-03,0.01
psychosisvsCN,L_medialorbitofrontal,-0.08,,-0.15,-0.01,,,0.03,0.04
psychosisvsCN,L_middletemporal,-0.06,,-0.13,0.02,,,0.13,0.15
psychosisvsCN,L_parahippocampal,-0.09,,-0.16,-0.02,,,0.01,0.03
psychosisvsCN,L_paracentral,-0.07,,-0.14,0,,,0.06,0.08
psychosisvsCN,L_parsopercularis,-0.13,,-0.2,-0.06,,,2.50E-04,1.36E-03
psychosisvsCN,L_parsorbitalis,-0.04,,-0.11,0.04,,,0.33,0.37
psychosisvsCN,L_parstriangularis,-0.1,,-0.17,-0.03,,,7.48E-03,0.02
psychosisvsCN,L_pericalcarine,-0.09,,-0.16,-0.02,,,0.02,0.03
psychosisvsCN,L_postcentral,-0.07,,-0.15,0,,,0.04,0.06
psychosisvsCN,L_posteriorcingulate,-0.09,,-0.16,-0.02,,,0.01,0.02
psychosisvsCN,L_precentral,-0.03,,-0.1,0.04,,,0.42,0.46
psychosisvsCN,L_precuneus,-0.1,,-0.17,-0.03,,,6.45E-03,0.01
psychosisvsCN,L_rostralanteriorcingulate,-0.17,,-0.24,-0.1,,,3.01E-06,6.31E-05
psychosisvsCN,L_rostralmiddlefrontal,-0.09,,-0.16,-0.02,,,0.02,0.03
psychosisvsCN,L_superiorfrontal,-0.11,,-0.18,-0.04,,,2.75E-03,6.87E-03
psychosisvsCN,L_superiorparietal,-0.06,,-0.13,0.01,,,0.10,0.13
psychosisvsCN,L_superiortemporal,-0.1,,-0.17,-0.03,,,4.65E-03,0.01
psychosisvsCN,L_supramarginal,-0.16,,-0.23,-0.09,,,1.54E-05,1.99E-04
psychosisvsCN,L_frontalpole,-0.01,,-0.08,0.06,,,0.78,0.8
psychosisvsCN,L_temporalpole,-0.07,,-0.14,0,,,0.05,0.07
psychosisvsCN,L_transversetemporal,-0.09,,-0.16,-0.02,,,0.01,0.02
psychosisvsCN,L_insula,-0.12,,-0.19,-0.05,,,9.33E-04,3.29E-03
psychosisvsCN,R_bankssts,-0.11,,-0.18,-0.04,,,1.61E-03,4.86E-03
psychosisvsCN,R_caudalanteriorcingulate,-0.12,,-0.19,-0.05,,,9.34E-04,3.29E-03
psychosisvsCN,R_caudalmiddlefrontal,-0.08,,-0.15,-0.01,,,0.03,0.05
psychosisvsCN,R_cuneus,-0.13,,-0.2,-0.06,,,4.02E-04,1.68E-03
psychosisvsCN,R_entorhinal,-0.06,,-0.13,0.01,,,0.11,0.14
psychosisvsCN,R_fusiform,-0.13,,-0.2,-0.06,,,2.74E-04,1.36E-03
psychosisvsCN,R_inferiorparietal,-0.15,,-0.22,-0.08,,,4.81E-05,4.38E-04
psychosisvsCN,R_inferiortemporal,-0.09,,-0.16,-0.02,,,0.01,0.02
psychosisvsCN,R_isthmuscingulate,0.03,,-0.04,0.1,,,0.45,0.48
psychosisvsCN,R_lateraloccipital,-0.07,,-0.14,0,,,0.05,0.07
psychosisvsCN,R_lateralorbitofrontal,-0.08,,-0.16,-0.01,,,0.02,0.03
psychosisvsCN,R_lingual,-0.07,,-0.14,0,,,0.06,0.08
psychosisvsCN,R_medialorbitofrontal,-0.14,,-0.21,-0.07,,,1.26E-04,8.89E-04
psychosisvsCN,R_middletemporal,-0.13,,-0.2,-0.06,,,2.68E-04,1.36E-03
psychosisvsCN,R_parahippocampal,0,,-0.07,0.08,,,0.89,0.91
psychosisvsCN,R_paracentral,-0.04,,-0.11,0.03,,,0.24,0.27
psychosisvsCN,R_parsopercularis,-0.05,,-0.12,0.02,,,0.17,0.2
psychosisvsCN,R_parsorbitalis,-0.03,,-0.1,0.04,,,0.38,0.41
psychosisvsCN,R_parstriangularis,-0.03,,-0.11,0.04,,,0.34,0.37
psychosisvsCN,R_pericalcarine,-0.14,,-0.21,-0.07,,,1.72E-04,1.11E-03
psychosisvsCN,R_postcentral,-0.11,,-0.18,-0.04,,,2.10E-03,5.70E-03
