CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
psychosisvsCN,L_bankssts,-0.09,,-0.16,-0.02,,,,0.02
psychosisvsCN,L_caudalmiddlefrontal,-0.1,,-0.17,-0.03,,,,7.72E-03
psychosisvsCN,L_fusiform,-0.16,,-0.23,-0.09,,,,1.84E-04
psychosisvsCN,L_inferiorparietal,-0.15,,-0.22,-0.08,,,,2.63E-04
psychosisvsCN,L_inferiortemporal,-0.12,,-0.19,-0.05,,,,2.92E-03
psychosisvsCN,L_lateraloccipital,-0.12,,-0.19,-0.05,,,,2.15E-03
psychosisvsCN,L_medialorbitofrontal,-0.13,,-0.2,-0.06,,,,1.75E-03
psychosisvsCN,L_middletemporal,-0.08,,-0.15,-0.01,,,,0.02
psychosisvsCN,L_parahippocampal,-0.13,,-0.2,-0.06,,,,1.37E-03
psychosisvsCN,L_paracentral,-0.14,,-0.21,-0.07,,,,4.67E-04
psychosisvsCN,L_postcentral,-0.09,,-0.16,-0.02,,,,0.02
psychosisvsCN,L_posteriorcingulate,-0.11,,-0.18,-0.04,,,,5.01E-03
psychosisvsCN,L_precentral,-0.12,,-0.19,-0.05,,,,2.49E-03
psychosisvsCN,L_precuneus,-0.11,,-0.18,-0.03,,,,6.28E-03
psychosisvsCN,L_rostralanteriorcingulate,-0.11,,-0.18,-0.04,,,,5.91E-03
psychosisvsCN,L_rostralmiddlefrontal,-0.12,,-0.19,-0.05,,,,2.15E-03
psychosisvsCN,L_superiorfrontal,-0.1,,-0.17,-0.02,,,,0.01
psychosisvsCN,L_superiorparietal,-0.1,,-0.17,-0.03,,,,6.92E-03
psychosisvsCN,L_superiortemporal,-0.1,,-0.17,-0.03,,,,1.00E-02
psychosisvsCN,L_supramarginal,-0.09,,-0.16,-0.02,,,,0.01
psychosisvsCN,L_insula,-0.17,,-0.24,-0.1,,,,9.99E-05
psychosisvsCN,R_bankssts,-0.12,,-0.19,-0.05,,,,2.15E-03
psychosisvsCN,R_caudalmiddlefrontal,-0.11,,-0.19,-0.04,,,,3.42E-03
psychosisvsCN,R_fusiform,-0.09,,-0.16,-0.02,,,,0.01
psychosisvsCN,R_inferiorparietal,-0.09,,-0.17,-0.02,,,,0.01
psychosisvsCN,R_inferiortemporal,-0.12,,-0.19,-0.05,,,,2.99E-03
psychosisvsCN,R_lateraloccipital,-0.16,,-0.23,-0.09,,,,1.03E-04
psychosisvsCN,R_lateralorbitofrontal,-0.08,,-0.15,-0.01,,,,0.03
psychosisvsCN,R_medialorbitofrontal,-0.11,,-0.18,-0.04,,,,6.16E-03
psychosisvsCN,R_middletemporal,-0.16,,-0.24,-0.09,,,,1.03E-04
psychosisvsCN,R_paracentral,-0.11,,-0.18,-0.03,,,,6.28E-03
psychosisvsCN,R_postcentral,-0.12,,-0.19,-0.04,,,,3.31E-03
psychosisvsCN,R_posteriorcingulate,-0.12,,-0.19,-0.05,,,,2.18E-03
psychosisvsCN,R_precentral,-0.12,,-0.19,-0.05,,,,2.36E-03
psychosisvsCN,R_precuneus,-0.14,,-0.21,-0.06,,,,9.16E-04
psychosisvsCN,R_rostralmiddlefrontal,-0.11,,-0.18,-0.04,,,,4.40E-03
psychosisvsCN,R_superiorfrontal,-0.09,,-0.16,-0.02,,,,0.01
psychosisvsCN,R_superiorparietal,-0.12,,-0.19,-0.05,,,,2.18E-03
psychosisvsCN,R_superiortemporal,-0.13,,-0.2,-0.06,,,,1.31E-03
psychosisvsCN,R_supramarginal,-0.09,,-0.16,-0.02,,,,0.02
psychosisvsCN,R_transversetemporal,-0.11,,-0.18,-0.04,,,,5.91E-03
psychosisvsCN,R_insula,-0.14,,-0.21,-0.07,,,,4.67E-04
