CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<HC,L_bankssts,-0.04,,-0.26,0.17,,,0.69,
BIPS<HC,L_caudalanteriorcingulate,-0.20,,-0.42,0.01,,,0.06,
BIPS<HC,L_caudalmiddlefrontal,-0.18,,-0.39,0.04,,,0.10,
BIPS<HC,L_cuneus,0.26,,0.04,0.48,,,0.02,
BIPS<HC,L_entorhinal,-0.28,,-0.5,-0.07,,,9.04E-03,
BIPS<HC,L_fusiform,-0.17,,-0.38,0.04,,,0.11,
BIPS<HC,L_inferiorparietal,-0.25,,-0.46,-0.04,,,0.02,
BIPS<HC,L_inferiortemporal,-0.09,,-0.3,0.12,,,0.41,
BIPS<HC,L_isthmuscingulate,-0.19,,-0.4,0.02,,,0.08,
BIPS<HC,L_lateraloccipital,-0.11,,-0.32,0.11,,,0.33,
BIPS<HC,L_lateralorbitofrontal,0.05,,-0.16,0.26,,,0.64,
BIPS<HC,L_lingual,0.11,,-0.11,0.33,,,0.32,
BIPS<HC,L_medialorbitofrontal,0.03,,-0.18,0.25,,,0.77,
BIPS<HC,L_middletemporal,-0.10,,-0.31,0.12,,,0.38,
BIPS<HC,L_parahippocampal,-0.09,,-0.3,0.13,,,0.43,
BIPS<HC,L_paracentral,-0.05,,-0.27,0.16,,,0.63,
BIPS<HC,L_parsopercularis,0.15,,-0.07,0.36,,,0.18,
BIPS<HC,L_parsorbitalis,-0.06,,-0.27,0.16,,,0.61,
BIPS<HC,L_parstriangularis,0.04,,-0.17,0.26,,,0.69,
BIPS<HC,L_pericalcarine,0.25,,0.03,0.47,,,0.03,
BIPS<HC,L_postcentral,-0.02,,-0.24,0.19,,,0.84,
BIPS<HC,L_posteriorcingulate,-0.17,,-0.38,0.05,,,0.13,
BIPS<HC,L_precentral,-0.11,,-0.33,0.1,,,0.30,
BIPS<HC,L_precuneus,-0.02,,-0.23,0.19,,,0.86,
BIPS<HC,L_rostralanteriorcingulate,-0.12,,-0.34,0.09,,,0.26,
BIPS<HC,L_rostralmiddlefrontal,-0.10,,-0.31,0.12,,,0.37,
BIPS<HC,L_superiorfrontal,-0.09,,-0.3,0.12,,,0.41,
BIPS<HC,L_superiorparietal,0,,-0.21,0.22,,,0.97,
BIPS<HC,L_superiortemporal,-0.11,,-0.33,0.1,,,0.31,
BIPS<HC,L_supramarginal,-0.10,,-0.31,0.11,,,0.36,
BIPS<HC,L_frontalpole,0.10,,-0.11,0.31,,,0.36,
BIPS<HC,L_temporalpole,-0.14,,-0.35,0.07,,,0.19,
BIPS<HC,L_transversetemporal,-0.11,,-0.33,0.1,,,0.30,
BIPS<HC,L_insula,-0.08,,-0.29,0.13,,,0.47,
BIPS<HC,R_bankssts,-0.02,,-0.23,0.19,,,0.87,
BIPS<HC,R_caudalanteriorcingulate,-0.15,,-0.36,0.06,,,0.17,
BIPS<HC,R_caudalmiddlefrontal,-0.02,,-0.24,0.19,,,0.83,
BIPS<HC,R_cuneus,0.15,,-0.06,0.36,,,0.17,
BIPS<HC,R_entorhinal,-0.26,,-0.47,-0.05,,,0.02,
BIPS<HC,R_fusiform,-0.02,,-0.23,0.2,,,0.88,
BIPS<HC,R_inferiorparietal,-0.04,,-0.25,0.18,,,0.74,
BIPS<HC,R_inferiortemporal,-0.07,,-0.29,0.14,,,0.50,
BIPS<HC,R_isthmuscingulate,-0.04,,-0.25,0.18,,,0.74,
BIPS<HC,R_lateraloccipital,-0.15,,-0.36,0.07,,,0.19,
BIPS<HC,R_lateralorbitofrontal,0.09,,-0.12,0.3,,,0.41,
BIPS<HC,R_lingual,0.02,,-0.19,0.24,,,0.84,
BIPS<HC,R_medialorbitofrontal,0,,-0.21,0.22,,,0.99,
BIPS<HC,R_middletemporal,-0.20,,-0.42,0.01,,,0.07,
BIPS<HC,R_parahippocampal,-0.01,,-0.22,0.21,,,0.96,
BIPS<HC,R_paracentral,-0.02,,-0.24,0.19,,,0.82,
BIPS<HC,R_parsopercularis,-0.09,,-0.3,0.13,,,0.42,
BIPS<HC,R_parsorbitalis,0.04,,-0.17,0.26,,,0.70,
BIPS<HC,R_parstriangularis,0.02,,-0.19,0.24,,,0.83,
BIPS<HC,R_pericalcarine,0.08,,-0.14,0.3,,,0.46,
BIPS<HC,R_postcentral,-0.11,,-0.33,0.11,,,0.32,
BIPS<HC,R_posteriorcingulate,-0.06,,-0.27,0.15,,,0.60,
BIPS<HC,R_precentral,-0.08,,-0.29,0.13,,,0.47,
BIPS<HC,R_precuneus,-0.05,,-0.26,0.16,,,0.65,
BIPS<HC,R_rostralanteriorcingulate,0.05,,-0.16,0.27,,,0.62,
BIPS<HC,R_rostralmiddlefrontal,-0.08,,-0.3,0.13,,,0.44,
BIPS<HC,R_superiorfrontal,-0.07,,-0.28,0.14,,,0.52,
BIPS<HC,R_superiorparietal,-0.06,,-0.27,0.16,,,0.60,
BIPS<HC,R_superiortemporal,-0.13,,-0.34,0.09,,,0.25,
BIPS<HC,R_supramarginal,-0.11,,-0.32,0.11,,,0.34,
BIPS<HC,R_frontalpole,-0.18,,-0.39,0.04,,,0.11,
BIPS<HC,R_temporalpole,-0.10,,-0.31,0.12,,,0.38,
BIPS<HC,R_transversetemporal,-0.26,,-0.47,-0.04,,,0.02,
BIPS<HC,R_insula,-0.25,,-0.47,-0.04,,,0.02,
