CorticalThickness,Structure,d_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<noBIPS,L_bankssts,0.04,-0.17,0.26,,,0.70,
BIPS<noBIPS,L_caudalanteriorcingulate,-0.14,-0.36,0.07,,,0.19,
BIPS<noBIPS,L_caudalmiddlefrontal,-0.08,-0.3,0.13,,,0.45,
BIPS<noBIPS,L_cuneus,0.24,0.03,0.46,,,0.03,
BIPS<noBIPS,L_entorhinal,-0.28,-0.49,-0.07,,,9.76E-03,
BIPS<noBIPS,L_fusiform,-0.02,-0.23,0.19,,,0.87,
BIPS<noBIPS,L_inferiorparietal,-0.10,-0.31,0.12,,,0.38,
BIPS<noBIPS,L_inferiortemporal,0.02,-0.19,0.23,,,0.86,
BIPS<noBIPS,L_isthmuscingulate,-0.18,-0.4,0.03,,,0.09,
BIPS<noBIPS,L_lateraloccipital,0,-0.22,0.21,,,0.97,
BIPS<noBIPS,L_lateralorbitofrontal,0.12,-0.09,0.33,,,0.27,
BIPS<noBIPS,L_lingual,0.14,-0.08,0.35,,,0.22,
BIPS<noBIPS,L_medialorbitofrontal,0.16,-0.06,0.37,,,0.15,
BIPS<noBIPS,L_middletemporal,-0.01,-0.22,0.21,,,0.94,
BIPS<noBIPS,L_parahippocampal,0.03,-0.18,0.25,,,0.75,
BIPS<noBIPS,L_paracentral,0.09,-0.13,0.3,,,0.42,
BIPS<noBIPS,L_parsopercularis,0.19,-0.02,0.41,,,0.08,
BIPS<noBIPS,L_parsorbitalis,-0.01,-0.23,0.2,,,0.90,
BIPS<noBIPS,L_parstriangularis,0.01,-0.2,0.23,,,0.90,
BIPS<noBIPS,L_pericalcarine,0.23,0.01,0.45,,,0.04,
BIPS<noBIPS,L_postcentral,0.07,-0.15,0.28,,,0.54,
BIPS<noBIPS,L_posteriorcingulate,-0.08,-0.29,0.13,,,0.47,
BIPS<noBIPS,L_precentral,0,-0.22,0.21,,,0.97,
BIPS<noBIPS,L_precuneus,0.08,-0.13,0.29,,,0.46,
BIPS<noBIPS,L_rostralanteriorcingulate,-0.03,-0.24,0.18,,,0.79,
BIPS<noBIPS,L_rostralmiddlefrontal,0.02,-0.19,0.23,,,0.85,
BIPS<noBIPS,L_superiorfrontal,0,-0.21,0.22,,,0.97,
BIPS<noBIPS,L_superiorparietal,0.10,-0.11,0.31,,,0.36,
BIPS<noBIPS,L_superiortemporal,0,-0.22,0.31,,,0.97,
BIPS<noBIPS,L_supramarginal,-0.01,-0.22,0.2,,,0.94,
BIPS<noBIPS,L_frontalpole,0.14,-0.07,0.35,,,0.19,
BIPS<noBIPS,L_temporalpole,-0.09,-0.31,0.12,,,0.39,
BIPS<noBIPS,L_transversetemporal,-0.06,-0.27,0.16,,,0.60,
BIPS<noBIPS,L_insula,0.09,-0.13,0.3,,,0.42,
BIPS<noBIPS,R_bankssts,0.12,-0.09,0.3,,,0.26,
BIPS<noBIPS,R_caudalanteriorcingulate,-0.09,-0.3,0.12,,,0.41,
BIPS<noBIPS,R_caudalmiddlefrontal,0.09,-0.12,0.31,,,0.39,
BIPS<noBIPS,R_cuneus,0.20,-0.02,0.41,,,0.07,
BIPS<noBIPS,R_entorhinal,-0.22,-0.43,-0.01,,,0.04,
BIPS<noBIPS,R_fusiform,0.08,-0.13,0.29,,,0.46,
BIPS<noBIPS,R_inferiorparietal,0.07,-0.14,0.29,,,0.49,
BIPS<noBIPS,R_inferiortemporal,0.06,-0.15,0.28,,,0.56,
BIPS<noBIPS,R_isthmuscingulate,0.02,-0.2,0.23,,,0.88,
BIPS<noBIPS,R_lateraloccipital,0,-0.21,0.22,,,0.98,
BIPS<noBIPS,R_lateralorbitofrontal,0.17,-0.04,0.38,,,0.12,
BIPS<noBIPS,R_lingual,0.01,-0.2,0.23,,,0.91,
BIPS<noBIPS,R_medialorbitofrontal,0.10,-0.12,0.31,,,0.38,
BIPS<noBIPS,R_middletemporal,-0.02,-0.24,0.19,,,0.82,
BIPS<noBIPS,R_parahippocampal,0.06,-0.16,0.27,,,0.60,
BIPS<noBIPS,R_paracentral,0.07,-0.14,0.28,,,0.52,
BIPS<noBIPS,R_parsopercularis,-0.03,-0.24,0.18,,,0.78,
BIPS<noBIPS,R_parsorbitalis,0.03,-0.18,0.25,,,0.75,
BIPS<noBIPS,R_parstriangularis,0.07,-0.14,0.28,,,0.52,
BIPS<noBIPS,R_pericalcarine,0.01,-0.2,0.23,,,0.89,
BIPS<noBIPS,R_postcentral,0,-0.22,0.22,,,0.99,
BIPS<noBIPS,R_posteriorcingulate,0.07,-0.14,0.28,,,0.53,
BIPS<noBIPS,R_precentral,0.03,-0.18,0.25,,,0.76,
BIPS<noBIPS,R_precuneus,0.09,-0.13,0.3,,,0.43,
BIPS<noBIPS,R_rostralanteriorcingulate,0.13,-0.08,0.34,,,0.23,
BIPS<noBIPS,R_rostralmiddlefrontal,0.02,-0.19,0.24,,,0.82,
BIPS<noBIPS,R_superiorfrontal,0.01,-0.21,0.22,,,0.96,
BIPS<noBIPS,R_superiorparietal,0.05,-0.16,0.27,,,0.61,
BIPS<noBIPS,R_superiortemporal,0.01,-0.21,0.23,,,0.93,
BIPS<noBIPS,R_supramarginal,-0.02,-0.24,0.19,,,0.84,
BIPS<noBIPS,R_frontalpole,-0.11,-0.32,0.1,,,0.31,
BIPS<noBIPS,R_temporalpole,-0.02,-0.23,0.19,,,0.86,
BIPS<noBIPS,R_transversetemporal,-0.17,-0.39,0.04,,,0.11,
BIPS<noBIPS,R_insula,-0.12,-0.33,0.09,,,0.27,
