CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<BIPS,L_bankssts,-0.14,,0.15,-0.43,,,,0.33
APS<BIPS,L_caudalanteriorcingulate,0.20,,0.48,-0.09,,,,0.18
APS<BIPS,L_caudalmiddlefrontal,0.13,,0.42,-0.16,,,,0.39
APS<BIPS,L_cuneus,-0.28,,0.01,-0.57,,,,0.06
APS<BIPS,L_entorhinal,0.10,,0.39,-0.18,,,,0.48
APS<BIPS,L_fusiform,-0.08,,0.2,-0.36,,,,0.58
APS<BIPS,L_inferiorparietal,0.06,,0.35,-0.22,,,,0.68
APS<BIPS,L_inferiortemporal,0,,0.28,-0.29,,,,0.97
APS<BIPS,L_isthmuscingulate,0.18,,0.46,-0.11,,,,0.23
APS<BIPS,L_lateraloccipital,0.01,,0.29,-0.28,,,,0.97
APS<BIPS,L_lateralorbitofrontal,-0.03,,0.26,-0.31,,,,0.84
APS<BIPS,L_lingual,-0.31,,-0.03,-0.6,,,,0.03
APS<BIPS,L_medialorbitofrontal,-0.12,,0.17,-0.4,,,,0.43
APS<BIPS,L_middletemporal,0,,0.29,-0.29,,,,1
APS<BIPS,L_parahippocampal,-0.28,,0.01,-0.56,,,,0.06
APS<BIPS,L_paracentral,-0.23,,0.06,-0.51,,,,0.12
APS<BIPS,L_parsopercularis,-0.18,,0.11,-0.47,,,,0.22
APS<BIPS,L_parsorbitalis,-0.08,,0.21,-0.36,,,,0.60
APS<BIPS,L_parstriangularis,-0.06,,0.22,-0.34,,,,0.68
APS<BIPS,L_pericalcarine,-0.41,,-0.12,-0.7,,,,5.39E-03
APS<BIPS,L_postcentral,-0.07,,0.22,-0.36,,,,0.64
APS<BIPS,L_posteriorcingulate,0.09,,0.38,-0.2,,,,0.54
APS<BIPS,L_precentral,-0.03,,0.25,-0.31,,,,0.83
APS<BIPS,L_precuneus,-0.25,,0.03,-0.54,,,,0.09
APS<BIPS,L_rostralanteriorcingulate,0.01,,0.3,-0.27,,,,0.92
APS<BIPS,L_rostralmiddlefrontal,0.12,,0.41,-0.16,,,,0.40
APS<BIPS,L_superiorfrontal,-0.01,,0.27,-0.3,,,,0.93
APS<BIPS,L_superiorparietal,-0.07,,0.21,-0.36,,,,0.61
APS<BIPS,L_superiortemporal,-0.01,,0.28,-0.3,,,,0.96
APS<BIPS,L_supramarginal,-0.03,,0.25,-0.31,,,,0.85
APS<BIPS,L_frontalpole,-0.22,,0.06,-0.5,,,,0.13
APS<BIPS,L_temporalpole,-0.04,,0.24,-0.33,,,,0.76
APS<BIPS,L_transversetemporal,-0.03,,0.26,-0.31,,,,0.84
APS<BIPS,L_insula,-0.09,,0.19,-0.38,,,,0.52
APS<BIPS,R_bankssts,-0.19,,0.09,-0.48,,,,0.18
APS<BIPS,R_caudalanteriorcingulate,0.14,,0.42,-0.15,,,,0.35
APS<BIPS,R_caudalmiddlefrontal,-0.18,,0.11,-0.46,,,,0.22
APS<BIPS,R_cuneus,-0.38,,-0.1,-0.67,,,,7.95E-03
APS<BIPS,R_entorhinal,0.12,,0.41,-0.16,,,,0.40
APS<BIPS,R_fusiform,-0.10,,0.19,-0.38,,,,0.51
APS<BIPS,R_inferiorparietal,-0.05,,0.23,-0.34,,,,0.73
APS<BIPS,R_inferiortemporal,0.03,,0.32,-0.25,,,,0.82
APS<BIPS,R_isthmuscingulate,-0.01,,0.27,-0.3,,,,0.94
APS<BIPS,R_lateraloccipital,0.06,,0.35,-0.22,,,,0.66
APS<BIPS,R_lateralorbitofrontal,-0.09,,0.2,-0.37,,,,0.56
APS<BIPS,R_lingual,-0.09,,0.19,-0.38,,,,0.52
APS<BIPS,R_medialorbitofrontal,-0.08,,0.21,-0.36,,,,0.59
APS<BIPS,R_middletemporal,0.03,,0.31,-0.26,,,,0.85
APS<BIPS,R_parahippocampal,-0.19,,0.09,-0.47,,,,0.19
APS<BIPS,R_paracentral,-0.31,,-0.02,-0.59,,,,"0,03"
APS<BIPS,R_parsopercularis,-0.06,,0.23,-0.34,,,,0.70
APS<BIPS,R_parsorbitalis,0.08,,0.36,-0.21,,,,0.60
APS<BIPS,R_parstriangularis,-0.15,,0.13,-0.44,,,,0.30
APS<BIPS,R_pericalcarine,-0.27,,0.02,-0.56,,,,0.07
APS<BIPS,R_postcentral,0.09,,0.38,-0.2,,,,0.55
APS<BIPS,R_posteriorcingulate,-0.04,,0.24,-0.32,,,,0.79
APS<BIPS,R_precentral,-0.11,,0.17,-0.39,,,,0.44
APS<BIPS,R_precuneus,-0.07,,0.22,-0.36,,,,0.63
APS<BIPS,R_rostralanteriorcingulate,-0.23,,0.06,-0.51,,,,0.12
APS<BIPS,R_rostralmiddlefrontal,0.02,,0.31,-0.27,,,,0.89
APS<BIPS,R_superiorfrontal,-0.04,,0.25,-0.32,,,,0.79
APS<BIPS,R_superiorparietal,-0.07,,0.21,-0.36,,,,0.61
APS<BIPS,R_superiortemporal,0.07,,0.36,-0.22,,,,0.65
APS<BIPS,R_supramarginal,0.02,,0.3,-0.27,,,,0.90
APS<BIPS,R_frontalpole,0.12,,0.41,-0.17,,,,0.41
APS<BIPS,R_temporalpole,-0.04,,0.24,-0.32,,,,0.77
APS<BIPS,R_transversetemporal,0.25,,0.54,-0.03,,,,0.08
APS<BIPS,R_insula,0.11,,0.4,-0.17,,,,0.43
