CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<HC,L_bankssts,-0.09,,-0.17,-0.02,,,0.02,
APS<HC,L_caudalanteriorcingulate,-0.07,,-0.14,0.01,,,0.09,
APS<HC,L_caudalmiddlefrontal,-0.09,,-0.16,-0.01,,,0.02,
APS<HC,L_cuneus,0,,-0.08,0.08,,,0.97,
APS<HC,L_entorhinal,0.01,,-0.07,0.08,,,0.83,
APS<HC,L_fusiform,-0.16,,-0.24,-0.08,,,4.41E-05,
APS<HC,L_inferiorparietal,-0.16,,-0.23,-0.08,,,5.57E-05,
APS<HC,L_inferiortemporal,-0.10,,-0.18,-0.03,,,7.65E-03,
APS<HC,L_isthmuscingulate,0,,-0.08,0.07,,,0.91,
APS<HC,L_lateraloccipital,-0.12,,-0.19,-0.04,,,2.47E-03,
APS<HC,L_lateralorbitofrontal,-0.09,,-0.16,-0.01,,,0.03,
APS<HC,L_lingual,-0.04,,-0.11,0.04,,,0.35,
APS<HC,L_medialorbitofrontal,-0.14,,-0.22,-0.06,,,3.28E-04,
APS<HC,L_middletemporal,-0.09,,-0.17,-0.02,,,0.02,
APS<HC,L_parahippocampal,-0.12,,-0.19,-0.04,,,2.87E-03,
APS<HC,L_paracentral,-0.14,,-0.22,-0.07,,,2.07E-04,
APS<HC,L_parsopercularis,-0.04,,-0.11,0.04,,,0.36,
APS<HC,L_parsorbitalis,-0.04,,-0.11,0.04,,,0.33,
APS<HC,L_parstriangularis,0.04,,-0.04,0.12,,,0.30,
APS<HC,L_pericalcarine,0,,-0.07,0.08,,,0.96,
APS<HC,L_postcentral,-0.07,,-0.15,0.01,,,0.07,
APS<HC,L_posteriorcingulate,-0.09,,-0.17,-0.02,,,0.02,
APS<HC,L_precentral,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,L_precuneus,-0.11,,-0.18,-0.03,,,5.8E-03,
APS<HC,L_rostralanteriorcingulate,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,L_rostralmiddlefrontal,-0.12,,-0.2,-0.05,,,1.61E-03,
APS<HC,L_superiorfrontal,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,L_superiorparietal,-0.09,,-0.17,-0.01,,,0.02,
APS<HC,L_superiortemporal,-0.11,,-0.19,-0.03,,,4.85E-03,
APS<HC,L_supramarginal,-0.08,,-0.15,0,,,0.05,
APS<HC,L_frontalpole,-0.05,,-0.13,0.02,,,0.19,
APS<HC,L_temporalpole,-0.07,,-0.14,0.01,,,0.09,
APS<HC,L_transversetemporal,-0.04,,-0.12,0.03,,,0.28,
APS<HC,L_insula,-0.15,,-0.23,-0.07,,,1.14E-04,
APS<HC,R_bankssts,-0.13,,-0.21,-0.06,,,6.47E-04,
APS<HC,R_caudalanteriorcingulate,-0.08,,-0.16,-0.01,,,0.04,
APS<HC,R_caudalmiddlefrontal,-0.12,,-0.19,-0.04,,,2.33E-03,
APS<HC,R_cuneus,-0.04,,-0.12,0.03,,,0.26,
APS<HC,R_entorhinal,-0.03,,-0.1,0.05,,,0.51,
APS<HC,R_fusiform,-0.09,,-0.17,-0.01,,,0.02,
APS<HC,R_inferiorparietal,-0.12,,-0.19,-0.04,,,2.87E-03,
APS<HC,R_inferiortemporal,-0.13,,-0.2,-0.05,,,1.1E-03,
APS<HC,R_isthmuscingulate,-0.05,,-0.12,0.03,,,0.24,
APS<HC,R_lateraloccipital,-0.14,,-0.22,-0.06,,,3.37E-04,
APS<HC,R_lateralorbitofrontal,-0.08,,-0.16,-0.01,,,0.04,
APS<HC,R_lingual,0,,-0.07,0.08,,,0.95,
APS<HC,R_medialorbitofrontal,-0.11,,-0.18,-0.03,,,6.82E-03,
APS<HC,R_middletemporal,-0.18,,-0.26,-0.1,,,4.32E-06,
APS<HC,R_parahippocampal,-0.06,,-0.14,0.02,,,0.12,
APS<HC,R_paracentral,-0.09,,-0.17,-0.02,,,0.02,
APS<HC,R_parsopercularis,-0.04,,-0.12,0.04,,,0.29,
APS<HC,R_parsorbitalis,0.02,,-0.05,0.1,,,0.58,
APS<HC,R_parstriangularis,-0.04,,-0.12,0.03,,,0.27,
APS<HC,R_pericalcarine,0.06,,-0.02,0.13,,,0.14,
APS<HC,R_postcentral,-0.11,,-0.19,-0.04,,,4.13E-03,
APS<HC,R_posteriorcingulate,-0.12,,-0.2,-0.05,,,1.42E-03,
APS<HC,R_precentral,-0.12,,-0.19,-0.04,,,2.68E-03,
APS<HC,R_precuneus,-0.12,,-0.19,-0.04,,,3.06E-03,
APS<HC,R_rostralanteriorcingulate,-0.08,,-0.15,0,,,0.05,
APS<HC,R_rostralmiddlefrontal,-0.11,,-0.18,-0.03,,,5.32E-03,
APS<HC,R_superiorfrontal,-0.08,,-0.15,0,,,0.05,
APS<HC,R_superiorparietal,-0.12,,-0.19,-0.04,,,2.78E-03,
APS<HC,R_superiortemporal,-0.13,,-0.21,-0.06,,,7.14E-04,
APS<HC,R_supramarginal,-0.09,,-0.16,-0.01,,,0.03,
APS<HC,R_frontalpole,-0.07,,-0.14,0.01,,,0.09,
APS<HC,R_temporalpole,-0.09,,-0.16,-0.01,,,0.03,
APS<HC,R_transversetemporal,-0.08,,-0.16,0,,,0.04,
APS<HC,R_insula,-0.14,,-0.21,-0.06,,,3.83E-04,
