CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<GRD,L_bankssts,-0.16,,0.05,-0.37,,,0.14,
APS<GRD,L_caudalanteriorcingulate,-0.06,,0.15,-0.27,,,0.58,
APS<GRD,L_caudalmiddlefrontal,-0.11,,0.09,-0.32,,,0.28,
APS<GRD,L_cuneus,-0.09,,0.12,-0.3,,,0.40,
APS<GRD,L_entorhinal,0.07,,0.27,-0.14,,,0.52,
APS<GRD,L_fusiform,-0.17,,0.04,-0.37,,,0.12,
APS<GRD,L_inferiorparietal,-0.21,,-0.01,-0.42,,,0.04,
APS<GRD,L_inferiortemporal,0.08,,0.29,-0.13,,,0.45,
APS<GRD,L_isthmuscingulate,-0.05,,0.16,-0.25,,,0.66,
APS<GRD,L_lateraloccipital,-0.20,,0.01,-0.4,,,0.07,
APS<GRD,L_lateralorbitofrontal,-0.16,,0.05,-0.36,,,0.14,
APS<GRD,L_lingual,-0.11,,0.1,-0.32,,,0.32,
APS<GRD,L_medialorbitofrontal,0.02,,0.22,-0.19,,,0.88,
APS<GRD,L_middletemporal,-0.05,,0.15,-0.26,,,0.62,
APS<GRD,L_parahippocampal,-0.01,,0.2,-0.22,,,0.92,
APS<GRD,L_paracentral,-0.15,,0.05,-0.36,,,0.14,
APS<GRD,L_parsopercularis,-0.05,,0.16,-0.25,,,0.66,
APS<GRD,L_parsorbitalis,-0.05,,0.16,-0.26,,,0.64,
APS<GRD,L_parstriangularis,0.08,,0.29,-0.12,,,0.42,
APS<GRD,L_pericalcarine,-0.10,,0.1,-0.31,,,0.33,
APS<GRD,L_postcentral,0.09,,0.3,-0.12,,,0.40,
APS<GRD,L_posteriorcingulate,-0.13,,0.08,-0.34,,,0.22,
APS<GRD,L_precentral,-0.05,,0.16,-0.25,,,0.66,
APS<GRD,L_precuneus,-0.20,,0.01,-0.41,,,0.06,
APS<GRD,L_rostralanteriorcingulate,0.03,,0.23,-0.18,,,0.79,
APS<GRD,L_rostralmiddlefrontal,-0.14,,0.06,-0.35,,,0.17,
APS<GRD,L_superiorfrontal,-0.08,,0.13,-0.29,,,0.45,
APS<GRD,L_superiorparietal,-0.15,,0.06,-0.35,,,0.17,
APS<GRD,L_superiortemporal,-0.11,,0.1,-0.32,,,0.32,
APS<GRD,L_supramarginal,0.05,,0.26,-0.16,,,0.63,
APS<GRD,L_frontalpole,-0.06,,0.15,-0.27,,,0.58,
APS<GRD,L_temporalpole,0.03,,0.24,-0.18,,,0.79,
APS<GRD,L_transversetemporal,0.02,,0.23,-0.18,,,0.81,
APS<GRD,L_insula,0.06,,0.27,-0.14,,,0.56,
APS<GRD,R_bankssts,-0.04,,0.17,-0.25,,,0.73,
APS<GRD,R_caudalanteriorcingulate,-0.29,,-0.08,-0.5,,,6.3E-03,
APS<GRD,R_caudalmiddlefrontal,-0.21,,0,-0.41,,,0.05,
APS<GRD,R_cuneus,-0.02,,0.19,-0.23,,,0.84,
APS<GRD,R_entorhinal,0.09,,0.3,-0.12,,,0.40,
APS<GRD,R_fusiform,-0.02,,0.19,-0.22,,,0.87,
APS<GRD,R_inferiorparietal,-0.23,,-0.03,-0.44,,,0.03,
APS<GRD,R_inferiortemporal,0,,0.21,-0.21,,,1,
APS<GRD,R_isthmuscingulate,-0.03,,0.17,-0.24,,,0.77,
APS<GRD,R_lateraloccipital,-0.07,,0.14,-0.28,,,0.52,
APS<GRD,R_lateralorbitofrontal,-0.12,,0.08,-0.33,,,0.24,
APS<GRD,R_lingual,-0.05,,0.16,-0.26,,,0.62,
APS<GRD,R_medialorbitofrontal,-0.12,,0.08,-0.33,,,0.24,
APS<GRD,R_middletemporal,-0.14,,0.07,-0.35,,,0.20,
APS<GRD,R_parahippocampal,0.02,,0.23,-0.18,,,0.84,
APS<GRD,R_paracentral,-0.12,,0.09,-0.32,,,0.27,
APS<GRD,R_parsopercularis,-0.05,,0.16,-0.25,,,0.65,
APS<GRD,R_parsorbitalis,0.12,,0.33,-0.1,,,0.28,
APS<GRD,R_parstriangularis,0,,0.21,-0.21,,,1,
APS<GRD,R_pericalcarine,-0.12,,0.09,-0.33,,,0.25,
APS<GRD,R_postcentral,-0.12,,0.09,-0.32,,,0.27,
APS<GRD,R_posteriorcingulate,-0.08,,0.13,-0.29,,,0.46,
APS<GRD,R_precentral,-0.18,,0.03,-0.38,,,0.10,
APS<GRD,R_precuneus,-0.03,,0.18,-0.24,,,0.78,
APS<GRD,R_rostralanteriorcingulate,0.03,,0.23,-0.18,,,0.81,
APS<GRD,R_rostralmiddlefrontal,-0.04,,0.17,-0.25,,,0.70,
APS<GRD,R_superiorfrontal,-0.14,,0.07,-0.34,,,0.20,
APS<GRD,R_superiorparietal,-0.25,,-0.05,-0.46,,,0.02,
APS<GRD,R_superiortemporal,0.05,,0.26,-0.15,,,0.62,
APS<GRD,R_supramarginal,-0.10,,0.1,-0.31,,,0.33,
APS<GRD,R_frontalpole,-0.10,,0.11,-0.31,,,0.36,
APS<GRD,R_temporalpole,-0.05,,0.15,-0.26,,,0.61,
APS<GRD,R_transversetemporal,-0.05,,0.15,-0.26,,,0.61,
APS<GRD,R_insula,-0.03,,0.17,-0.24,,,0.75,
