CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<HC,L_bankssts,-0.05,,-0.19,0.08,,,0.44,
GRD<HC,L_caudalanteriorcingulate,-0.03,,-0.16,0.11,,,0.70,
GRD<HC,L_caudalmiddlefrontal,-0.12,,-0.25,0.02,,,0.10,
GRD<HC,L_cuneus,0.07,,-0.07,0.02,,,0.33,
GRD<HC,L_entorhinal,-0.07,,-0.21,0.06,,,0.29,
GRD<HC,L_fusiform,-0.12,,-0.25,0.02,,,0.09,
GRD<HC,L_inferiorparietal,-0.13,,-0.27,0,,,0.06,
GRD<HC,L_inferiortemporal,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,L_isthmuscingulate,-0.02,,-0.15,0.12,,,0.80,
GRD<HC,L_lateraloccipital,-0.04,,-0.17,0.1,,,0.59,
GRD<HC,L_lateralorbitofrontal,0.04,,-0.1,0.17,,,0.60,
GRD<HC,L_lingual,0.03,,-0.11,0.16,,,0.69,
GRD<HC,L_medialorbitofrontal,-0.04,,-0.17,0.1,,,0.60,
GRD<HC,L_middletemporal,-0.03,,-0.17,0.1,,,0.63,
GRD<HC,L_parahippocampal,-0.13,,-0.26,0.01,,,0.06,
GRD<HC,L_paracentral,-0.13,,-0.26,0.01,,,0.07,
GRD<HC,L_parsopercularis,-0.08,,-0.21,0.06,,,0.26,
GRD<HC,L_parsorbitalis,-0.05,,-0.19,0.08,,,0.44,
GRD<HC,L_parstriangularis,-0.04,,-0.18,0.09,,,0.55,
GRD<HC,L_pericalcarine,0.12,,-0.01,0.26,,,0.08,
GRD<HC,L_postcentral,-0.17,,-0.31,-0.03,,,0.02,
GRD<HC,L_posteriorcingulate,-0.07,,-0.21,0.06,,,0.28,
GRD<HC,L_precentral,-0.16,,-0.29,-0.02,,,0.02,
GRD<HC,L_precuneus,-0.09,,-0.22,0.05,,,0.22,
GRD<HC,L_rostralanteriorcingulate,-0.13,,-0.26,0.01,,,0.07,
GRD<HC,L_rostralmiddlefrontal,-0.08,,-0.21,0.06,,,0.28,
GRD<HC,L_superiorfrontal,-0.15,,-0.28,-0.01,,,0.03,
GRD<HC,L_superiorparietal,-0.11,,-0.25,0.03,,,0.12,
GRD<HC,L_superiortemporal,-0.09,,-0.23,0.05,,,0.19,
GRD<HC,L_supramarginal,-0.17,,-0.3,-0.03,,,0.02,
GRD<HC,L_frontalpole,0.01,,-0.12,0.15,,,0.84,
GRD<HC,L_temporalpole,0.07,,-0.07,0.21,,,0.31,
GRD<HC,L_transversetemporal,-0.12,,-0.26,0.02,,,0.09,
GRD<HC,L_insula,-0.22,,-0.36,-0.08,,,1.54E-03,
GRD<HC,R_bankssts,-0.16,,-0.3,-0.03,,,0.02,
GRD<HC,R_caudalanteriorcingulate,0.05,,-0.09,0.19,,,0.47,
GRD<HC,R_caudalmiddlefrontal,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,R_cuneus,-0.03,,-0.17,0.1,,,0.63,
GRD<HC,R_entorhinal,-0.12,,-0.25,0.02,,,0.09,
GRD<HC,R_fusiform,-0.12,,-0.26,0.01,,,0.08,
GRD<HC,R_inferiorparietal,-0.07,,-0.21,0.07,,,0.31,
GRD<HC,R_inferiortemporal,-0.19,,-0.33,-0.06,,,5.94E-03,
GRD<HC,R_isthmuscingulate,-0.10,,-0.23,0.04,,,0.17,
GRD<HC,R_lateraloccipital,-0.19,,-0.32,-0.05,,,7.38E-03,
GRD<HC,R_lateralorbitofrontal,-0.07,,-0.21,0.06,,,0.30,
GRD<HC,R_lingual,0.02,,-0.12,0.15,,,0.80,
GRD<HC,R_medialorbitofrontal,-0.02,,-0.15,0.12,,,0.81,
GRD<HC,R_middletemporal,-0.15,,-0.29,-0.01,,,0.03,
GRD<HC,R_parahippocampal,-0.06,,-0.19,0.08,,,0.41,
GRD<HC,R_paracentral,-0.10,,-0.24,0.04,,,0.16,
GRD<HC,R_parsopercularis,-0.14,,-0.27,0,,,0.05,
GRD<HC,R_parsorbitalis,-0.06,,-0.2,0.08,,,0.39,
GRD<HC,R_parstriangularis,-0.08,,-0.22,0.05,,,0.24,
GRD<HC,R_pericalcarine,0.10,,-0.04,0.23,,,0.17,
GRD<HC,R_postcentral,-0.10,,-0.24,0.03,,,0.14,
GRD<HC,R_posteriorcingulate,-0.13,,-0.27,0.01,,,0.06,
GRD<HC,R_precentral,-0.09,,-0.22,0.05,,,0.22,
GRD<HC,R_precuneus,-0.24,,-0.38,-0.11,,,4.55E-04,
GRD<HC,R_rostralanteriorcingulate,-0.09,,-0.23,0.04,,,0.18,
GRD<HC,R_rostralmiddlefrontal,-0.11,,-0.25,0.03,,,0.12,
GRD<HC,R_superiorfrontal,-0.07,,-0.2,0.07,,,0.34,
GRD<HC,R_superiorparietal,-0.07,,-0.21,0.07,,,0.31,
GRD<HC,R_superiortemporal,-0.16,,-0.3,-0.03,,,0.02,
GRD<HC,R_supramarginal,-0.05,,-0.18,0.09,,,0.50,
GRD<HC,R_frontalpole,-0.06,,-0.2,0.07,,,0.36,
GRD<HC,R_temporalpole,-0.01,,-0.15,0.13,,,0.89,
GRD<HC,R_transversetemporal,-0.11,,-0.24,0.03,,,0.13,
GRD<HC,R_insula,-0.11,,-0.25,0.02,,,0.10,
