CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noGRD<HC,L_bankssts,-0.09,,-0.16,-0.01,,,0.02,
noGRD<HC,L_caudalanteriorcingulate,-0.07,,-0.15,0,,,0.05,
noGRD<HC,L_caudalmiddlefrontal,-0.10,,-0.17,-0.02,,,0.01,
noGRD<HC,L_cuneus,0.02,,-0.06,0.09,,,0.64,
noGRD<HC,L_entorhinal,-0.01,,-0.08,0.06,,,0.79,
noGRD<HC,L_fusiform,-0.16,,-0.23,-0.08,,,3.23E-05,
noGRD<HC,L_inferiorparietal,-0.16,,-0.23,-0.08,,,3.22E-05,
noGRD<HC,L_inferiortemporal,-0.11,,-0.18,-0.03,,,5.44E-03,
noGRD<HC,L_isthmuscingulate,-0.02,,-0.09,0.06,,,0.66,
noGRD<HC,L_lateraloccipital,-0.11,,-0.19,-0.04,,,3.22E-03,
noGRD<HC,L_lateralorbitofrontal,-0.08,,-0.15,0,,,0.04,
noGRD<HC,L_lingual,-0.03,,-0.1,0.05,,,0.50,
noGRD<HC,L_medialorbitofrontal,-0.13,,-0.2,-0.05,,,8.12E-04,
noGRD<HC,L_middletemporal,-0.10,,-0.17,-0.02,,,0.01,
noGRD<HC,L_parahippocampal,-0.11,,-0.19,-0.04,,,2.77E-03,
noGRD<HC,L_paracentral,-0.14,,-0.21,-0.06,,,3.85E-04,
noGRD<HC,L_parsopercularis,-0.03,,-0.1,0.05,,,0.49,
noGRD<HC,L_parsorbitalis,-0.04,,-0.11,0.04,,,0.30,
noGRD<HC,L_parstriangularis,0.04,,-0.03,0.12,,,0.27,
noGRD<HC,L_pericalcarine,0.02,,-0.06,0.09,,,0.67,
noGRD<HC,L_postcentral,-0.07,,-0.14,0.01,,,0.08,
noGRD<HC,L_posteriorcingulate,-0.09,,-0.17,-0.02,,,0.01,
noGRD<HC,L_precentral,-0.10,,-0.17,-0.02,,,0.01,
noGRD<HC,L_precuneus,-0.10,,-0.17,-0.02,,,0.01,
noGRD<HC,L_rostralanteriorcingulate,-0.09,,-0.16,-0.01,,,0.02,
noGRD<HC,L_rostralmiddlefrontal,-0.12,,-0.2,-0.05,,,1.32E-03,
