CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
psychosisvsCN,L_bankssts,-0.09,,-0.16,-0.02,,,0.01,0.03
psychosisvsCN,L_caudalanteriorcingulate,-0.08,,-0.15,-0.01,,,0.02,0.05
psychosisvsCN,L_caudalmiddlefrontal,-0.12,,-0.19,-0.04,,,1.45E-03,7.50E-03
psychosisvsCN,L_cuneus,0.01,,-0.06,0.08,,,0.83,0.89
psychosisvsCN,L_entorhinal,-0.02,,-0.09,0.05,,,0.51,0.65
psychosisvsCN,L_fusiform,-0.17,,-0.24,-0.1,,,1.55E-06,7.07E-05
psychosisvsCN,L_inferiorparietal,-0.16,,-0.24,-0.09,,,5.31E-06,1.65E-04
psychosisvsCN,L_inferiortemporal,-0.13,,-0.2,-0.06,,,4.00E-04,2.95E-03
psychosisvsCN,L_isthmuscingulate,-0.03,,-0.1,0.04,,,0.41,0.56
psychosisvsCN,L_lateraloccipital,-0.12,,-0.19,-0.05,,,1.22E-03,6.99E-03
psychosisvsCN,L_lateralorbitofrontal,-0.08,,-0.15,-0.01,,,0.03,0.07
psychosisvsCN,L_lingual,-0.04,,-0.11,0.04,,,0.33,0.46
psychosisvsCN,L_medialorbitofrontal,-0.13,,-0.2,-0.06,,,2.33E-04,2.17E-03
psychosisvsCN,L_middletemporal,-0.1,,-0.17,-0.03,,,7.30E-03,0.02
psychosisvsCN,L_parahippocampal,-0.13,,-0.2,-0.06,,,4.63E-04,3.26E-03
psychosisvsCN,L_paracentral,-0.15,,-0.22,-0.08,,,3.24E-05,5.58E-04
psychosisvsCN,L_parsopercularis,-0.05,,-0.12,0.02,,,0.19,0.3
psychosisvsCN,L_parsorbitalis,-0.06,,-0.13,0.02,,,0.12,0.23
psychosisvsCN,L_parstriangularis,0.01,,-0.06,0.08,,,0.7,0.81
psychosisvsCN,L_pericalcarine,0.02,,-0.05,0.09,,,0.54,0.68
psychosisvsCN,L_postcentral,-0.1,,-0.17,-0.02,,,8.30E-03,0.03
psychosisvsCN,L_posteriorcingulate,-0.11,,-0.18,-0.03,,,3.48E-03,0.01
psychosisvsCN,L_precentral,-0.13,,-0.2,-0.06,,,3.51E-04,2.17E-03
psychosisvsCN,L_precuneus,-0.11,,-0.18,-0.04,,,1.68E-03,8.39E-03
psychosisvsCN,L_rostralanteriorcingulate,-0.11,,-0.18,-0.04,,,2.38E-03,0.01
psychosisvsCN,L_rostralmiddlefrontal,-0.13,,-0.2,-0.06,,,2.91E-04,2.37E-03
psychosisvsCN,L_superiorfrontal,-0.11,,-0.18,-0.04,,,2.79E-03,0.01
psychosisvsCN,L_superiorparietal,-0.1,,-0.18,-0.03,,,3.88E-03,0.01
psychosisvsCN,L_superiortemporal,-0.12,,-0.19,-0.05,,,1.05E-03,6.48E-03
psychosisvsCN,L_supramarginal,-0.11,,-0.18,-0.04,,,3.27E-03,0.01
psychosisvsCN,L_frontalpole,-0.05,,-0.12,0.02,,,0.2,0.32
psychosisvsCN,L_temporalpole,-0.06,,-0.13,0.02,,,0.13,0.23
