SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_contols,n_patients,pobs,fdr_p
APS<HC,Laccumb,-0.02,,-0.1,0.05,,,0.55,
APS<HC,Lamyg,-0.05,,-0.12,0.03,,,0.23,
APS<HC,Lcaud,0.02,,-0.05,0.1,,,0.51,
APS<HC,Lhippo,-0.07,,-0.15,0,,,-0.08,
APS<HC,Lpal,-0.03,,-0.1,0.05,,,0.45,
APS<HC,Lput,0,,-0.08,0.07,,,0.94,
APS<HC,Lthal,-0.06,,-0.13,0.01,,,0.12,
APS<HC,LLatVent,0.13,,0.05,0.2,,,7.29E-04,
APS<HC,Raccumb,0,,-0.07,0.08,,,0.90,
APS<HC,Ramyg,-0.10,,-0.17,-0.02,,,8.86E-03,
APS<HC,Rcaud,-0.01,,-0.08,0.06,,,0.81,
APS<HC,Rhippo,-0.14,,-0.22,-0.07,,,1.23E-04,
APS<HC,Rpal,-0.03,,-0.1,0.05,,,0.46,
APS<HC,Rput,-0.01,,-0.08,0.06,,,0.77,
APS<HC,Rthal,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,RLatVent,0.11,,0.04,0.19,,,2.88E-03,
